benchmark,config,status,result,time_real,exit_code,time_cpu,memory
PEQ016_size7_p0.smt2,,to,unknown,1201.0,0,1201.0,79.4
PEQ016_size7_p1.smt2,,ok,unsat,850.5,0,850.5,57.8
PEQ016_size7_p10.smt2,,ok,unsat,2.6,0,2.6,31.5
PEQ016_size7_p100.smt2,,ok,unsat,1.1,0,1.0,31.9
PEQ016_size7_p101.smt2,,ok,unsat,1.1,0,1.1,31.4
PEQ016_size7_p102.smt2,,ok,unsat,0.9,0,0.9,31.8
PEQ016_size7_p103.smt2,,ok,unsat,0.9,0,0.8,31.7
PEQ016_size7_p104.smt2,,ok,unsat,1.0,0,0.8,32.7
PEQ016_size7_p105.smt2,,ok,unsat,0.8,0,0.8,32.6
PEQ016_size7_p106.smt2,,ok,unsat,0.8,0,0.8,32.9
PEQ016_size7_p107.smt2,,ok,unsat,0.8,0,0.8,33.3
PEQ016_size7_p108.smt2,,ok,unsat,0.8,0,0.7,34.0
PEQ016_size7_p109.smt2,,ok,unsat,0.7,0,0.7,32.7
PEQ016_size7_p11.smt2,,ok,unsat,1.2,0,1.2,32.6
PEQ016_size7_p110.smt2,,ok,unsat,0.6,0,0.5,32.9
PEQ016_size7_p111.smt2,,ok,unsat,0.7,0,0.7,32.3
PEQ016_size7_p112.smt2,,ok,unsat,0.7,0,0.7,32.6
PEQ016_size7_p113.smt2,,ok,unsat,0.8,0,0.7,33.2
PEQ016_size7_p114.smt2,,ok,unsat,0.6,0,0.5,33.1
PEQ016_size7_p115.smt2,,ok,unsat,0.6,0,0.6,33.1
PEQ016_size7_p116.smt2,,ok,unsat,0.6,0,0.6,32.9
PEQ016_size7_p117.smt2,,ok,unsat,0.6,0,0.6,34.2
PEQ016_size7_p118.smt2,,ok,unsat,0.6,0,0.6,33.8
PEQ016_size7_p119.smt2,,ok,unsat,0.6,0,0.6,34.7
PEQ016_size7_p12.smt2,,ok,unsat,25.0,0,24.9,38.8
PEQ016_size7_p120.smt2,,ok,unsat,0.6,0,0.6,34.9
PEQ016_size7_p121.smt2,,ok,unsat,1.7,0,1.7,31.2
PEQ016_size7_p122.smt2,,ok,unsat,1.2,0,1.2,33.5
PEQ016_size7_p123.smt2,,ok,unsat,0.7,0,0.7,34.6
PEQ016_size7_p124.smt2,,ok,unsat,0.6,0,0.6,33.9
PEQ016_size7_p125.smt2,,ok,unsat,0.8,0,0.8,33.5
PEQ016_size7_p126.smt2,,ok,unsat,0.4,0,0.4,14.4
PEQ016_size7_p127.smt2,,ok,unsat,189.0,0,188.9,45.4
PEQ016_size7_p13.smt2,,ok,unsat,63.6,0,63.5,42.1
PEQ016_size7_p14.smt2,,ok,unsat,31.0,0,30.8,40.6
PEQ016_size7_p15.smt2,,ok,unsat,1.5,0,1.5,33.2
PEQ016_size7_p16.smt2,,ok,unsat,0.9,0,0.8,33.7
PEQ016_size7_p17.smt2,,ok,unsat,0.8,0,0.8,32.7
PEQ016_size7_p18.smt2,,ok,unsat,0.3,0,0.3,13.7
PEQ016_size7_p19.smt2,,ok,unsat,48.0,0,48.0,39.8
PEQ016_size7_p2.smt2,,ok,unsat,737.2,0,737.2,50.7
PEQ016_size7_p20.smt2,,ok,unsat,11.6,0,11.5,37.6
PEQ016_size7_p21.smt2,,ok,unsat,12.7,0,12.7,38.6
PEQ016_size7_p22.smt2,,ok,unsat,27.5,0,27.5,40.1
PEQ016_size7_p23.smt2,,ok,unsat,2.5,0,2.5,34.7
PEQ016_size7_p24.smt2,,ok,unsat,12.2,0,12.2,39.6
PEQ016_size7_p25.smt2,,ok,unsat,0.3,0,0.3,13.7
PEQ016_size7_p26.smt2,,ok,unsat,43.4,0,43.4,40.6
PEQ016_size7_p27.smt2,,ok,unsat,9.8,0,9.8,36.6
PEQ016_size7_p28.smt2,,ok,unsat,4.9,0,4.8,36.2
