benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SEQ026_size7_p0.smt2,,to,unknown,1201.0,0,1200.9,63.2
SEQ026_size7_p1.smt2,,ok,unsat,509.3,0,509.2,46.1
SEQ026_size7_p10.smt2,,ok,unsat,102.2,0,102.2,37.0
SEQ026_size7_p100.smt2,,ok,unsat,0.8,0,0.8,31.2
SEQ026_size7_p101.smt2,,ok,unsat,1.1,0,1.0,33.1
SEQ026_size7_p102.smt2,,ok,unsat,1.0,0,1.0,33.1
SEQ026_size7_p103.smt2,,ok,unsat,1.3,0,1.2,31.1
SEQ026_size7_p104.smt2,,ok,unsat,1.4,0,1.3,31.6
SEQ026_size7_p105.smt2,,ok,unsat,1.0,0,1.0,30.9
SEQ026_size7_p106.smt2,,ok,unsat,1.3,0,1.3,30.9
SEQ026_size7_p107.smt2,,ok,unsat,0.7,0,0.7,32.2
SEQ026_size7_p108.smt2,,ok,unsat,0.8,0,0.7,32.1
SEQ026_size7_p109.smt2,,ok,unsat,0.7,0,0.7,32.4
SEQ026_size7_p11.smt2,,ok,unsat,66.3,0,66.3,38.4
SEQ026_size7_p110.smt2,,ok,unsat,1.0,0,1.0,32.7
SEQ026_size7_p111.smt2,,ok,unsat,0.8,0,0.7,32.5
SEQ026_size7_p112.smt2,,ok,unsat,0.6,0,0.5,32.8
SEQ026_size7_p113.smt2,,ok,unsat,0.6,0,0.5,34.2
SEQ026_size7_p114.smt2,,ok,unsat,0.6,0,0.6,33.2
SEQ026_size7_p115.smt2,,ok,unsat,1.1,0,1.0,32.3
SEQ026_size7_p116.smt2,,ok,unsat,0.6,0,0.5,32.5
SEQ026_size7_p117.smt2,,ok,unsat,1.2,0,1.1,32.8
SEQ026_size7_p118.smt2,,ok,unsat,0.6,0,0.6,33.6
SEQ026_size7_p119.smt2,,ok,unsat,0.5,0,0.5,33.6
SEQ026_size7_p12.smt2,,ok,unsat,105.3,0,105.3,36.6
SEQ026_size7_p120.smt2,,ok,unsat,0.6,0,0.5,32.9
SEQ026_size7_p121.smt2,,ok,unsat,0.7,0,0.6,32.5
SEQ026_size7_p122.smt2,,ok,unsat,0.7,0,0.7,31.5
SEQ026_size7_p123.smt2,,ok,unsat,1.2,0,1.2,31.6
SEQ026_size7_p124.smt2,,ok,unsat,0.6,0,0.6,32.4
SEQ026_size7_p125.smt2,,ok,unsat,0.6,0,0.6,32.6
SEQ026_size7_p126.smt2,,ok,unsat,0.9,0,0.9,30.9
SEQ026_size7_p127.smt2,,ok,unsat,239.6,0,239.5,44.1
SEQ026_size7_p13.smt2,,ok,unsat,87.0,0,87.0,38.8
SEQ026_size7_p14.smt2,,ok,unsat,129.7,0,129.7,40.0
SEQ026_size7_p15.smt2,,ok,unsat,102.6,0,102.6,42.0
SEQ026_size7_p16.smt2,,ok,unsat,83.5,0,83.4,39.1
SEQ026_size7_p17.smt2,,ok,unsat,81.8,0,81.7,38.4
SEQ026_size7_p18.smt2,,ok,unsat,70.8,0,70.8,37.0
SEQ026_size7_p19.smt2,,ok,unsat,153.2,0,153.1,39.9
SEQ026_size7_p2.smt2,,ok,unsat,511.5,0,511.4,42.9
SEQ026_size7_p20.smt2,,ok,unsat,116.5,0,116.5,39.2
SEQ026_size7_p21.smt2,,ok,unsat,86.1,0,86.1,36.4
SEQ026_size7_p22.smt2,,ok,unsat,56.2,0,56.2,36.5
SEQ026_size7_p23.smt2,,ok,unsat,95.1,0,95.1,36.8
SEQ026_size7_p24.smt2,,ok,unsat,165.4,0,165.4,39.4
SEQ026_size7_p25.smt2,,ok,unsat,129.7,0,129.6,37.7
SEQ026_size7_p26.smt2,,ok,unsat,50.2,0,50.2,35.9
SEQ026_size7_p27.smt2,,ok,unsat,59.4,0,59.4,38.4
SEQ026_size7_p28.smt2,,ok,unsat,0.6,0,0.5,31.3
SEQ026_size7_p29.smt2,,ok,unsat,26.0,0,26.0,35.4
SEQ026_size7_p3.smt2,,ok,unsat,160.4,0,160.3,42.1
SEQ026_size7_p30.smt2,,ok,unsat,23.4,0,23.4,36.6
SEQ026_size7_p31.smt2,,ok,unsat,50.4,0,50.3,36.1
SEQ026_size7_p32.smt2,,ok,unsat,44.7,0,44.7,36.0
SEQ026_size7_p33.smt2,,ok,unsat,4.7,0,4.5,32.0
SEQ026_size7_p34.smt2,,ok,unsat,30.4,0,30.4,35.0
SEQ026_size7_p35.smt2,,ok,unsat,25.8,0,25.8,36.2
SEQ026_size7_p36.smt2,,ok,unsat,25.6,0,25.6,36.7
SEQ026_size7_p37.smt2,,ok,unsat,5.6,0,5.5,34.1
SEQ026_size7_p38.smt2,,ok,unsat,0.6,0,0.6,30.7
SEQ026_size7_p39.smt2,,ok,unsat,0.7,0,0.7,29.8
SEQ026_size7_p4.smt2,,ok,unsat,92.4,0,92.4,36.6
SEQ026_size7_p40.smt2,,ok,unsat,0.7,0,0.7,29.9
SEQ026_size7_p41.smt2,,ok,unsat,0.9,0,0.9,31.9
SEQ026_size7_p42.smt2,,ok,unsat,42.9,0,42.8,38.6
SEQ026_size7_p43.smt2,,ok,unsat,26.7,0,26.7,37.3
SEQ026_size7_p44.smt2,,ok,unsat,17.1,0,17.1,36.8
SEQ026_size7_p45.smt2,,ok,unsat,1.2,0,1.2,33.0
