benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,ok,unsat,31.2,0,31.1,376.7
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,unsat,30.7,0,30.6,378.1
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,sat,782.9,0,782.8,489.8
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p100.smt2,,ok,sat,916.7,0,916.6,505.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p101.smt2,,ok,sat,894.4,0,894.3,515.6
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p102.smt2,,ok,sat,836.0,0,835.9,511.3
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p103.smt2,,ok,sat,733.8,0,733.7,481.7
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p104.smt2,,ok,sat,780.7,0,780.6,482.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p105.smt2,,ok,sat,873.7,0,873.6,514.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p106.smt2,,ok,sat,971.9,0,971.8,494.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p107.smt2,,ok,sat,821.9,0,821.8,481.4
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p108.smt2,,ok,sat,779.0,0,778.9,502.5
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p109.smt2,,ok,sat,921.7,0,921.6,500.7
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,unsat,30.4,0,30.4,378.6
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p110.smt2,,ok,sat,956.3,0,956.2,513.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p111.smt2,,ok,sat,953.1,0,953.0,492.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p112.smt2,,ok,sat,896.1,0,896.0,490.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p113.smt2,,ok,unsat,30.6,0,30.5,378.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p114.smt2,,ok,sat,879.1,0,879.1,487.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p115.smt2,,ok,sat,786.2,0,786.1,487.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p116.smt2,,ok,sat,835.4,0,835.3,510.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p117.smt2,,ok,sat,925.4,0,925.3,492.5
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p118.smt2,,ok,sat,788.2,0,788.1,515.8
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p119.smt2,,ok,sat,835.9,0,835.8,515.8
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,sat,772.8,0,772.8,516.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p120.smt2,,ok,sat,866.3,0,866.2,513.1
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p121.smt2,,ok,sat,809.6,0,809.5,516.4
