benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sanfoundry_10_ground.i_6_3_3.bpl_13_p0.smt2,,ok,unsat,166.8,0,166.7,154.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p1.smt2,,ok,unsat,148.5,0,148.3,162.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p10.smt2,,ok,unsat,151.5,0,151.3,155.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p100.smt2,,ok,unsat,58.2,0,58.0,133.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p101.smt2,,ok,unsat,53.9,0,53.9,147.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p102.smt2,,ok,unsat,10.6,0,10.6,108.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p103.smt2,,ok,unsat,10.8,0,10.7,108.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p104.smt2,,ok,unsat,53.1,0,52.9,133.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p105.smt2,,ok,unsat,48.5,0,48.4,132.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p106.smt2,,ok,unsat,52.0,0,51.9,145.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p107.smt2,,ok,unsat,63.7,0,63.6,133.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p108.smt2,,ok,unsat,51.2,0,51.1,133.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p109.smt2,,ok,unsat,42.4,0,42.3,146.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p11.smt2,,ok,unsat,168.3,0,168.2,154.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p110.smt2,,ok,unsat,50.9,0,50.8,146.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p111.smt2,,ok,unsat,34.1,0,34.0,146.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p112.smt2,,ok,unsat,38.2,0,38.1,130.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p113.smt2,,ok,unsat,29.1,0,29.0,126.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p114.smt2,,ok,unsat,66.4,0,66.4,133.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p115.smt2,,ok,unsat,10.8,0,10.7,108.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p116.smt2,,ok,unsat,10.6,0,10.4,107.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p117.smt2,,ok,unsat,10.6,0,10.5,107.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p118.smt2,,ok,unsat,10.4,0,10.3,106.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p119.smt2,,ok,unsat,10.6,0,10.4,107.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p12.smt2,,ok,unsat,353.5,0,353.4,162.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p120.smt2,,ok,unsat,10.5,0,10.3,108.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p121.smt2,,ok,unsat,10.5,0,10.3,107.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p122.smt2,,ok,unsat,10.5,0,10.4,108.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p123.smt2,,ok,unsat,10.5,0,10.4,108.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p124.smt2,,ok,unsat,10.6,0,10.5,108.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p125.smt2,,ok,unsat,10.7,0,10.6,108.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p126.smt2,,ok,unsat,11.0,0,10.9,108.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p127.smt2,,to,unknown,1201.0,0,1200.9,258.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p13.smt2,,ok,unsat,178.0,0,177.8,153.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p14.smt2,,ok,unsat,145.9,0,145.8,150.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p15.smt2,,ok,unsat,428.1,0,428.0,156.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p16.smt2,,ok,unsat,15.1,0,15.0,116.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p17.smt2,,ok,unsat,14.5,0,14.4,117.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p18.smt2,,ok,unsat,200.1,0,199.8,152.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p19.smt2,,ok,unsat,48.1,0,47.9,132.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p2.smt2,,ok,unsat,11.0,0,10.9,108.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p20.smt2,,ok,unsat,40.7,0,40.5,141.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p21.smt2,,ok,unsat,22.0,0,21.9,124.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p22.smt2,,ok,unsat,18.0,0,17.9,119.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p23.smt2,,ok,unsat,17.8,0,17.7,118.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p24.smt2,,ok,unsat,17.7,0,17.6,118.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p25.smt2,,ok,unsat,21.4,0,21.2,117.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p26.smt2,,ok,unsat,17.5,0,17.3,118.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p27.smt2,,ok,unsat,16.1,0,16.0,119.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p28.smt2,,ok,unsat,86.8,0,86.7,143.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p29.smt2,,ok,unsat,150.0,0,149.8,152.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p3.smt2,,ok,unsat,12.1,0,11.9,116.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p30.smt2,,ok,unsat,11.1,0,11.0,108.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p31.smt2,,ok,unsat,11.3,0,11.1,108.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p32.smt2,,ok,unsat,11.3,0,11.1,109.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p33.smt2,,ok,unsat,11.3,0,11.2,110.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p34.smt2,,ok,unsat,11.5,0,11.4,117.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p35.smt2,,ok,unsat,11.3,0,11.2,109.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p36.smt2,,ok,unsat,11.1,0,10.9,108.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p37.smt2,,ok,unsat,10.9,0,10.8,109.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p38.smt2,,ok,unsat,10.9,0,10.8,116.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p39.smt2,,ok,unsat,11.0,0,10.9,108.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p4.smt2,,ok,unsat,180.9,0,180.7,156.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p40.smt2,,ok,unsat,10.8,0,10.7,108.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p41.smt2,,ok,unsat,10.7,0,10.6,108.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p42.smt2,,ok,unsat,11.3,0,11.2,116.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p43.smt2,,ok,unsat,10.8,0,10.6,108.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p44.smt2,,ok,unsat,12.0,0,11.9,116.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p45.smt2,,ok,unsat,11.5,0,11.3,107.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p46.smt2,,ok,unsat,10.5,0,10.4,106.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p47.smt2,,ok,unsat,841.9,0,841.7,199.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p48.smt2,,ok,unsat,101.5,0,101.4,147.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p49.smt2,,ok,unsat,191.3,0,191.1,160.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p5.smt2,,ok,unsat,181.8,0,181.7,156.5
