benchmark,config,status,result,time_real,exit_code,time_cpu,memory
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p0.smt2,,ok,sat,507.7,0,507.4,2275.6
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1201.0,1264.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1201.1,2292.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p100.smt2,,to,unknown,1201.0,0,1201.0,2282.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p101.smt2,,to,unknown,1201.0,0,1201.0,2276.5
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p102.smt2,,to,unknown,1201.0,0,1201.0,2287.7
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p103.smt2,,ok,sat,830.2,0,830.1,2279.2
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p104.smt2,,to,unknown,1201.0,0,1201.0,2286.2
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p105.smt2,,to,unknown,1201.0,0,1201.1,2278.5
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p106.smt2,,ok,sat,938.7,0,938.6,2279.2
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p107.smt2,,to,unknown,1201.0,0,1201.1,2321.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p108.smt2,,to,unknown,1201.0,0,1201.1,2278.2
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p109.smt2,,to,unknown,1201.0,0,1201.0,1313.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,1262.5
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p110.smt2,,to,unknown,1201.0,0,1201.0,1279.7
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p111.smt2,,to,unknown,1201.0,0,1201.0,2277.9
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p112.smt2,,ok,sat,830.3,0,830.2,2279.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p113.smt2,,to,unknown,1201.0,0,1201.1,2277.9
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p114.smt2,,to,unknown,1201.0,0,1201.1,2303.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p115.smt2,,to,unknown,1201.0,0,1201.1,2318.1
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p116.smt2,,to,unknown,1201.0,0,1201.1,2289.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p117.smt2,,to,unknown,1201.0,0,1200.9,2277.2
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p118.smt2,,to,unknown,1201.0,0,1201.0,2308.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p119.smt2,,to,unknown,1201.0,0,1201.0,2276.9
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1201.0,2269.9
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p120.smt2,,to,unknown,1201.0,0,1201.1,2276.7
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p121.smt2,,ok,sat,550.2,0,550.1,2277.6
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p122.smt2,,ok,sat,1019.0,0,1018.9,2298.7
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p123.smt2,,to,unknown,1201.0,0,1201.0,2308.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p124.smt2,,to,unknown,1201.0,0,1201.1,2288.1
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p125.smt2,,ok,sat,955.2,0,955.1,2298.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p126.smt2,,to,unknown,1201.0,0,1201.0,1277.5
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p127.smt2,,to,unknown,1201.0,0,1201.0,2319.7
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p13.smt2,,to,unknown,1201.0,0,1201.1,2269.8
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p14.smt2,,to,unknown,1201.0,0,1201.1,2277.5
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p15.smt2,,to,unknown,1201.0,0,1201.1,2302.9
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,sat,568.4,0,568.4,1275.3
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p17.smt2,,to,unknown,1201.0,0,1201.1,2270.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,48.5,0,48.4,275.9
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,sat,934.7,0,934.6,2308.3
