benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_two_index_05.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,22.3,0,22.2,17.3
_standard_two_index_05.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,84.1,0,84.1,31.4
_standard_two_index_05.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,1.0,0,0.9,14.1
_standard_two_index_05.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,0.6,0,0.6,11.1
_standard_two_index_05.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,0.6,0,0.6,11.4
_standard_two_index_05.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,0.7,0,0.6,11.3
_standard_two_index_05.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,0.7,0,0.7,11.1
_standard_two_index_05.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,871.1,0,871.0,131.1
_standard_two_index_05.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,61.5,0,61.4,26.0
_standard_two_index_05.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,2.4,0,2.3,12.6
_standard_two_index_05.i_3_2_2.bpl_11_p4.smt2,,ok,unsat,22.4,0,22.4,19.3
_standard_two_index_05.i_3_2_2.bpl_11_p5.smt2,,ok,unsat,2.5,0,2.5,13.7
_standard_two_index_05.i_3_2_2.bpl_11_p6.smt2,,ok,unsat,4.2,0,4.2,13.9
_standard_two_index_05.i_3_2_2.bpl_11_p7.smt2,,ok,unsat,1.3,0,1.2,11.9
_standard_two_index_05.i_3_2_2.bpl_11_p8.smt2,,ok,unsat,1.0,0,0.9,12.3
_standard_two_index_05.i_3_2_2.bpl_11_p9.smt2,,ok,unsat,1.0,0,0.9,13.3
