benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pp08a-7349_p0.smt2,,to,unknown,1201.0,0,1201.0,119.2
pp08a-7349_p1.smt2,,to,unknown,1201.0,0,1201.0,97.8
pp08a-7349_p10.smt2,,ok,unsat,0.4,0,0.4,11.7
pp08a-7349_p11.smt2,,ok,unsat,0.5,0,0.4,12.1
pp08a-7349_p12.smt2,,ok,unsat,0.4,0,0.4,11.1
pp08a-7349_p13.smt2,,ok,unsat,0.5,0,0.4,11.4
pp08a-7349_p14.smt2,,ok,unsat,0.5,0,0.5,11.2
pp08a-7349_p15.smt2,,ok,unsat,0.7,0,0.7,11.9
pp08a-7349_p16.smt2,,ok,unsat,0.4,0,0.4,11.4
pp08a-7349_p17.smt2,,ok,unsat,0.5,0,0.5,11.5
pp08a-7349_p18.smt2,,ok,unsat,0.5,0,0.5,12.0
pp08a-7349_p19.smt2,,ok,unsat,0.5,0,0.5,12.3
pp08a-7349_p2.smt2,,to,unknown,1201.0,0,1201.0,101.9
pp08a-7349_p20.smt2,,ok,unsat,0.8,0,0.8,12.1
pp08a-7349_p21.smt2,,ok,unsat,0.5,0,0.5,11.5
pp08a-7349_p22.smt2,,ok,unsat,0.5,0,0.4,11.5
pp08a-7349_p23.smt2,,ok,unsat,0.4,0,0.4,11.4
pp08a-7349_p24.smt2,,ok,unsat,0.6,0,0.5,12.7
pp08a-7349_p25.smt2,,ok,unsat,0.5,0,0.5,11.1
pp08a-7349_p26.smt2,,ok,unsat,0.4,0,0.4,11.1
pp08a-7349_p27.smt2,,to,unknown,1201.0,0,1201.0,95.6
pp08a-7349_p28.smt2,,to,unknown,1201.0,0,1201.0,103.1
pp08a-7349_p29.smt2,,to,unknown,1201.0,0,1201.0,95.9
pp08a-7349_p3.smt2,,to,unknown,1201.0,0,1200.9,100.5
pp08a-7349_p30.smt2,,to,unknown,1201.0,0,1201.0,102.5
pp08a-7349_p31.smt2,,to,unknown,1201.0,0,1201.0,115.8
pp08a-7349_p4.smt2,,to,unknown,1201.0,0,1201.0,116.4
pp08a-7349_p5.smt2,,to,unknown,1201.0,0,1201.0,101.7
pp08a-7349_p6.smt2,,ok,unsat,800.6,0,800.6,84.4
pp08a-7349_p7.smt2,,ok,unsat,453.3,0,453.3,41.5
pp08a-7349_p8.smt2,,ok,unsat,0.7,0,0.7,12.3
pp08a-7349_p9.smt2,,ok,unsat,0.5,0,0.5,12.5
