benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sc-40.base.cvc_p0.smt2,,ok,unsat,422.4,0,422.4,69.1
sc-40.base.cvc_p1.smt2,,ok,unsat,412.4,0,412.4,59.3
sc-40.base.cvc_p10.smt2,,ok,unsat,196.9,0,196.8,64.0
sc-40.base.cvc_p11.smt2,,ok,unsat,464.7,0,464.7,63.8
sc-40.base.cvc_p12.smt2,,ok,unsat,169.6,0,169.6,54.2
sc-40.base.cvc_p13.smt2,,ok,unsat,190.8,0,190.8,57.5
sc-40.base.cvc_p14.smt2,,ok,unsat,157.9,0,157.9,60.2
sc-40.base.cvc_p15.smt2,,ok,unsat,167.3,0,167.3,59.6
sc-40.base.cvc_p16.smt2,,ok,unsat,154.1,0,154.1,51.2
sc-40.base.cvc_p17.smt2,,ok,unsat,155.1,0,155.0,53.4
sc-40.base.cvc_p18.smt2,,ok,unsat,333.3,0,333.3,52.8
sc-40.base.cvc_p19.smt2,,ok,unsat,178.8,0,178.8,53.2
sc-40.base.cvc_p2.smt2,,ok,unsat,413.6,0,413.6,60.9
sc-40.base.cvc_p20.smt2,,ok,unsat,132.8,0,132.8,56.4
sc-40.base.cvc_p21.smt2,,ok,unsat,136.9,0,136.9,57.4
sc-40.base.cvc_p22.smt2,,ok,unsat,174.8,0,174.8,55.9
sc-40.base.cvc_p23.smt2,,ok,unsat,95.7,0,95.7,45.6
sc-40.base.cvc_p24.smt2,,ok,unsat,117.1,0,117.1,48.5
sc-40.base.cvc_p25.smt2,,ok,unsat,104.7,0,104.6,51.8
sc-40.base.cvc_p26.smt2,,ok,unsat,142.8,0,142.8,47.9
sc-40.base.cvc_p27.smt2,,ok,unsat,126.7,0,126.7,59.9
sc-40.base.cvc_p28.smt2,,ok,unsat,107.7,0,107.7,49.5
sc-40.base.cvc_p29.smt2,,ok,unsat,109.8,0,109.8,45.7
sc-40.base.cvc_p3.smt2,,ok,unsat,363.0,0,363.0,69.7
sc-40.base.cvc_p30.smt2,,ok,unsat,128.5,0,128.5,50.1
sc-40.base.cvc_p31.smt2,,ok,unsat,418.7,0,418.6,59.9
sc-40.base.cvc_p4.smt2,,ok,unsat,421.5,0,421.4,62.4
sc-40.base.cvc_p5.smt2,,ok,unsat,420.3,0,420.3,59.0
sc-40.base.cvc_p6.smt2,,ok,unsat,496.4,0,496.1,60.7
sc-40.base.cvc_p7.smt2,,ok,unsat,174.8,0,174.8,55.3
sc-40.base.cvc_p8.smt2,,ok,unsat,383.7,0,383.7,60.8
sc-40.base.cvc_p9.smt2,,ok,unsat,154.7,0,154.7,53.0
