benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_62_p0.smt2,,to,unknown,1201.0,0,1200.8,869.3
smtcomp_62_p1.smt2,,to,unknown,1201.0,0,1200.7,922.9
smtcomp_62_p10.smt2,,to,unknown,1201.0,0,1200.6,830.0
smtcomp_62_p11.smt2,,to,unknown,1201.0,0,1200.7,843.5
smtcomp_62_p12.smt2,,to,unknown,1201.0,0,1200.6,837.7
smtcomp_62_p13.smt2,,to,unknown,1201.0,0,1200.7,875.8
smtcomp_62_p14.smt2,,ok,unsat,2.0,0,1.8,33.3
smtcomp_62_p15.smt2,,ok,unsat,2.1,0,1.8,33.6
smtcomp_62_p16.smt2,,ok,unsat,2.1,0,1.8,33.6
smtcomp_62_p17.smt2,,ok,unsat,2.7,0,2.0,35.2
smtcomp_62_p18.smt2,,ok,unsat,2.3,0,1.9,34.6
smtcomp_62_p19.smt2,,ok,unsat,2.5,0,2.0,34.8
smtcomp_62_p2.smt2,,to,unknown,1201.0,0,1200.8,842.9
smtcomp_62_p20.smt2,,ok,unsat,2.5,0,2.0,35.5
smtcomp_62_p21.smt2,,ok,unsat,2.3,0,2.0,34.4
smtcomp_62_p22.smt2,,ok,unsat,2.4,0,2.1,34.4
smtcomp_62_p23.smt2,,ok,unsat,2.6,0,2.0,35.2
smtcomp_62_p24.smt2,,ok,unsat,2.5,0,2.1,34.8
smtcomp_62_p25.smt2,,ok,unsat,2.6,0,2.0,35.0
smtcomp_62_p26.smt2,,ok,unsat,2.3,0,2.0,33.8
smtcomp_62_p27.smt2,,ok,unsat,2.8,0,2.6,34.2
smtcomp_62_p28.smt2,,ok,unsat,2.5,0,2.0,34.2
smtcomp_62_p29.smt2,,ok,unsat,2.2,0,1.8,34.6
smtcomp_62_p3.smt2,,to,unknown,1201.0,0,1200.8,895.2
smtcomp_62_p30.smt2,,ok,unsat,2.0,0,1.8,33.8
smtcomp_62_p31.smt2,,to,unknown,1201.0,0,1200.7,941.4
smtcomp_62_p4.smt2,,to,unknown,1201.0,0,1200.6,882.9
smtcomp_62_p5.smt2,,to,unknown,1201.0,0,1200.8,913.3
smtcomp_62_p6.smt2,,to,unknown,1201.0,0,1200.8,695.8
smtcomp_62_p7.smt2,,to,unknown,1201.0,0,1200.8,889.7
smtcomp_62_p8.smt2,,to,unknown,1201.0,0,1200.6,876.2
smtcomp_62_p9.smt2,,to,unknown,1201.0,0,1200.8,842.1
