benchmark,config,status,result,time_real,exit_code,time_cpu,memory
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p0.smt2,,ok,sat,838.7,0,838.7,362.7
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p1.smt2,,ok,sat,621.4,0,621.4,348.0
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p10.smt2,,ok,sat,779.5,0,779.4,348.9
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p11.smt2,,ok,sat,978.1,0,978.1,349.7
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p12.smt2,,ok,sat,674.6,0,674.5,330.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p13.smt2,,ok,unsat,31.4,0,31.4,203.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p14.smt2,,ok,sat,729.1,0,728.9,335.2
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p15.smt2,,ok,unsat,420.0,0,419.9,323.7
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p16.smt2,,ok,sat,843.1,0,843.0,333.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p17.smt2,,ok,sat,955.0,0,955.0,339.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p18.smt2,,ok,sat,648.4,0,648.3,334.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p19.smt2,,ok,sat,668.4,0,668.4,320.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p2.smt2,,ok,unsat,31.4,0,31.3,202.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p20.smt2,,ok,sat,605.2,0,605.2,351.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p21.smt2,,ok,sat,984.6,0,984.6,370.7
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p22.smt2,,to,unknown,1201.0,0,1201.0,335.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p23.smt2,,ok,sat,664.9,0,664.8,334.9
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p24.smt2,,ok,sat,808.6,0,808.5,350.5
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p25.smt2,,ok,sat,856.1,0,856.0,355.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p26.smt2,,ok,sat,1174.4,0,1174.4,379.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p27.smt2,,ok,sat,726.3,0,726.3,334.4
