benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_array_monotonic.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,1.7,0,1.6,11.3
_array_monotonic.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,1.0,0,1.0,10.2
_array_monotonic.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,1.1,0,0.9,10.7
_array_monotonic.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,1.0,0,0.9,10.9
_array_monotonic.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,0.5,0,0.5,9.9
_array_monotonic.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,0.8,0,0.8,10.5
_array_monotonic.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,0.9,0,0.8,11.1
_array_monotonic.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,0.7,0,0.7,10.2
_array_monotonic.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,0.6,0,0.5,9.3
_array_monotonic.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,0.6,0,0.5,9.5
_array_monotonic.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,0.6,0,0.6,10.2
_array_monotonic.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,1.0,0,0.6,9.7
_array_monotonic.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,1.8,0,1.8,11.5
_array_monotonic.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,0.6,0,0.6,10.0
_array_monotonic.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,0.8,0,0.5,9.9
_array_monotonic.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,0.6,0,0.6,10.1
_array_monotonic.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,0.6,0,0.6,10.6
_array_monotonic.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,0.6,0,0.6,9.5
_array_monotonic.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,0.6,0,0.6,9.4
_array_monotonic.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,0.6,0,0.6,10.8
_array_monotonic.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,4.7,0,4.7,12.3
_array_monotonic.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,1.2,0,1.1,10.9
_array_monotonic.i_3_2_2.bpl_11_p29.smt2,,ok,unsat,0.9,0,0.8,10.9
_array_monotonic.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,5.1,0,5.1,12.7
_array_monotonic.i_3_2_2.bpl_11_p30.smt2,,ok,unsat,0.7,0,0.7,10.3
_array_monotonic.i_3_2_2.bpl_11_p31.smt2,,ok,unsat,0.6,0,0.6,9.9
_array_monotonic.i_3_2_2.bpl_11_p32.smt2,,ok,unsat,0.7,0,0.6,10.1
_array_monotonic.i_3_2_2.bpl_11_p33.smt2,,ok,unsat,0.7,0,0.7,10.4
_array_monotonic.i_3_2_2.bpl_11_p34.smt2,,ok,unsat,0.7,0,0.7,10.5
_array_monotonic.i_3_2_2.bpl_11_p35.smt2,,ok,unsat,1.7,0,1.7,12.2
_array_monotonic.i_3_2_2.bpl_11_p36.smt2,,ok,unsat,0.7,0,0.7,10.2
_array_monotonic.i_3_2_2.bpl_11_p37.smt2,,ok,unsat,1.2,0,1.2,11.3
_array_monotonic.i_3_2_2.bpl_11_p38.smt2,,ok,unsat,0.9,0,0.8,10.7
_array_monotonic.i_3_2_2.bpl_11_p39.smt2,,ok,unsat,0.9,0,0.8,11.3
