benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_partial_init_ground.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,1.8,0,1.8,13.6
_standard_partial_init_ground.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,1.2,0,1.2,12.4
_standard_partial_init_ground.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,1.4,0,1.3,13.3
_standard_partial_init_ground.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,15.8,0,15.7,17.8
_standard_partial_init_ground.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,22.7,0,22.7,19.5
_standard_partial_init_ground.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,2.6,0,2.6,13.6
_standard_partial_init_ground.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,1.4,0,1.4,12.8
_standard_partial_init_ground.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,1.0,0,1.0,12.2
_standard_partial_init_ground.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,1.1,0,1.0,13.2
_standard_partial_init_ground.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,1.7,0,1.7,14.1
_standard_partial_init_ground.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,1.8,0,1.8,13.5
_standard_partial_init_ground.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,2.0,0,2.0,13.6
_standard_partial_init_ground.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,1.1,0,1.1,12.8
_standard_partial_init_ground.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,0.8,0,0.8,12.3
_standard_partial_init_ground.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,0.9,0,0.6,11.4
_standard_partial_init_ground.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,0.8,0,0.7,12.4
_standard_partial_init_ground.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,0.8,0,0.8,12.7
_standard_partial_init_ground.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,0.8,0,0.7,12.6
_standard_partial_init_ground.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,0.7,0,0.7,11.7
_standard_partial_init_ground.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,0.8,0,0.8,12.3
_standard_partial_init_ground.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,0.8,0,0.7,11.7
_standard_partial_init_ground.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,0.7,0,0.7,11.6
