benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-166_p0.smt2,,ok,unsat,1.3,0,1.3,18.7
danoint-166_p1.smt2,,ok,unsat,1.3,0,1.3,18.8
danoint-166_p10.smt2,,ok,unsat,1.3,0,1.3,18.9
danoint-166_p11.smt2,,ok,unsat,1.7,0,1.6,19.5
danoint-166_p12.smt2,,ok,unsat,1.3,0,1.3,19.0
danoint-166_p13.smt2,,ok,unsat,1.3,0,1.3,19.0
danoint-166_p14.smt2,,ok,unsat,1.3,0,1.3,19.3
danoint-166_p15.smt2,,ok,unsat,1.3,0,1.3,19.4
danoint-166_p16.smt2,,ok,unsat,1.3,0,1.3,19.1
danoint-166_p17.smt2,,ok,unsat,1.3,0,1.3,19.0
danoint-166_p18.smt2,,ok,unsat,7.7,0,7.7,27.5
danoint-166_p19.smt2,,ok,unsat,31.8,0,31.7,50.7
danoint-166_p2.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-166_p20.smt2,,ok,unsat,76.0,0,76.0,50.2
danoint-166_p21.smt2,,ok,unsat,1.5,0,1.4,20.6
danoint-166_p22.smt2,,ok,unsat,13.2,0,13.2,35.8
danoint-166_p23.smt2,,ok,unsat,5.4,0,5.3,27.0
danoint-166_p24.smt2,,ok,unsat,1.3,0,1.3,19.8
danoint-166_p25.smt2,,ok,unsat,67.9,0,67.9,37.4
danoint-166_p26.smt2,,ok,unsat,1.3,0,1.3,19.3
danoint-166_p27.smt2,,ok,unsat,2.0,0,2.0,20.7
danoint-166_p28.smt2,,ok,unsat,1.4,0,1.3,19.7
danoint-166_p29.smt2,,ok,unsat,1.4,0,1.4,20.0
danoint-166_p3.smt2,,ok,unsat,1.3,0,1.3,17.7
danoint-166_p30.smt2,,ok,unsat,1.4,0,1.4,19.8
danoint-166_p31.smt2,,ok,unsat,45.8,0,45.7,37.6
danoint-166_p32.smt2,,ok,unsat,1.3,0,1.3,19.3
danoint-166_p33.smt2,,ok,unsat,1.3,0,1.3,19.8
danoint-166_p34.smt2,,ok,unsat,1.3,0,1.3,19.6
danoint-166_p35.smt2,,ok,unsat,4.2,0,4.1,22.8
danoint-166_p36.smt2,,ok,unsat,1.3,0,1.3,18.8
danoint-166_p37.smt2,,ok,unsat,1.3,0,1.3,20.1
danoint-166_p38.smt2,,ok,unsat,1.4,0,1.4,19.8
danoint-166_p39.smt2,,ok,unsat,1.8,0,1.8,20.0
danoint-166_p4.smt2,,ok,unsat,1.4,0,1.3,19.2
danoint-166_p40.smt2,,ok,unsat,57.4,0,57.4,50.4
danoint-166_p41.smt2,,ok,unsat,1.4,0,1.4,20.0
danoint-166_p42.smt2,,ok,unsat,1.5,0,1.5,21.3
danoint-166_p43.smt2,,ok,unsat,1.3,0,1.3,19.5
danoint-166_p44.smt2,,ok,unsat,2.8,0,2.8,23.7
danoint-166_p45.smt2,,ok,unsat,1.3,0,1.3,20.2
danoint-166_p46.smt2,,ok,unsat,1.3,0,1.3,19.9
danoint-166_p47.smt2,,ok,unsat,1.3,0,1.3,19.9
danoint-166_p48.smt2,,ok,unsat,2.9,0,2.9,22.5
danoint-166_p49.smt2,,ok,unsat,1.4,0,1.4,19.8
danoint-166_p5.smt2,,ok,unsat,1.4,0,1.3,18.7
danoint-166_p50.smt2,,ok,unsat,1.3,0,1.3,19.8
danoint-166_p51.smt2,,ok,unsat,1.3,0,1.3,19.3
danoint-166_p52.smt2,,ok,unsat,1.4,0,1.4,20.9
danoint-166_p53.smt2,,ok,unsat,1.4,0,1.4,19.3
danoint-166_p54.smt2,,ok,unsat,1.3,0,1.3,19.8
danoint-166_p55.smt2,,ok,unsat,1.3,0,1.3,19.8
danoint-166_p56.smt2,,ok,unsat,1.4,0,1.3,20.4
danoint-166_p57.smt2,,ok,unsat,1.3,0,1.3,19.4
danoint-166_p58.smt2,,ok,unsat,1.4,0,1.3,19.2
danoint-166_p59.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-166_p6.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-166_p60.smt2,,ok,unsat,1.3,0,1.3,19.1
danoint-166_p61.smt2,,ok,unsat,1.3,0,1.3,19.0
danoint-166_p62.smt2,,ok,unsat,1.3,0,1.3,18.6
danoint-166_p63.smt2,,to,unknown,1201.0,0,1201.0,91.2
danoint-166_p7.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-166_p8.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-166_p9.smt2,,ok,unsat,1.3,0,1.3,19.2
