benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,ok,unsat,4.3,0,4.2,49.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,unsat,4.3,0,4.3,50.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,sat,759.1,0,759.0,122.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,sat,982.4,0,982.3,133.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,unsat,4.5,0,4.5,51.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p13.smt2,,ok,unsat,4.4,0,4.4,51.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p14.smt2,,ok,unsat,4.3,0,4.3,51.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p15.smt2,,ok,unsat,4.5,0,4.5,56.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p16.smt2,,ok,unsat,4.7,0,4.7,56.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p17.smt2,,ok,unsat,4.5,0,4.4,51.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p18.smt2,,ok,unsat,4.5,0,4.4,51.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p19.smt2,,ok,unsat,4.6,0,4.6,56.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p2.smt2,,ok,unsat,4.3,0,4.3,50.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p20.smt2,,ok,unsat,4.3,0,4.3,51.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p21.smt2,,to,unknown,1201.0,0,1200.8,158.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p22.smt2,,ok,unsat,4.7,0,4.7,56.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p23.smt2,,to,unknown,1201.0,0,1201.0,119.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p24.smt2,,to,unknown,1201.0,0,1201.0,151.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p25.smt2,,ok,unsat,79.3,0,79.3,85.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p26.smt2,,ok,unsat,715.1,0,715.0,96.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p27.smt2,,ok,unsat,4.6,0,4.6,52.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p28.smt2,,ok,unsat,4.4,0,4.4,51.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p29.smt2,,ok,unsat,4.4,0,4.4,51.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p3.smt2,,ok,unsat,4.3,0,4.3,49.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p30.smt2,,ok,unsat,4.3,0,4.3,51.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p31.smt2,,ok,unsat,4.4,0,4.3,52.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p32.smt2,,ok,unsat,4.5,0,4.4,51.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p33.smt2,,ok,unsat,4.5,0,4.4,51.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p34.smt2,,to,unknown,1201.0,0,1200.9,143.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p35.smt2,,ok,sat,1141.6,0,1141.5,141.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p36.smt2,,to,unknown,1201.0,0,1201.0,136.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p37.smt2,,to,unknown,1201.0,0,1200.9,134.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p38.smt2,,ok,sat,1026.0,0,1025.9,136.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p39.smt2,,ok,sat,1080.9,0,1080.8,133.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p4.smt2,,ok,unsat,4.4,0,4.4,50.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p40.smt2,,ok,sat,463.9,0,463.9,96.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p41.smt2,,to,unknown,1201.0,0,1201.0,129.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p42.smt2,,ok,sat,805.6,0,805.6,118.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p43.smt2,,ok,unsat,4.4,0,4.4,51.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p44.smt2,,ok,unsat,4.4,0,4.4,51.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p45.smt2,,ok,unsat,4.5,0,4.4,51.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p46.smt2,,ok,unsat,4.6,0,4.6,53.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p47.smt2,,ok,unsat,4.4,0,4.3,52.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p48.smt2,,ok,unsat,4.4,0,4.3,51.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p49.smt2,,ok,unsat,4.4,0,4.4,51.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p5.smt2,,ok,unsat,4.4,0,4.3,50.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p50.smt2,,ok,unsat,4.5,0,4.4,52.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p51.smt2,,ok,unsat,4.4,0,4.3,52.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p52.smt2,,ok,unsat,4.4,0,4.4,51.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p53.smt2,,to,unknown,1201.0,0,1200.9,128.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p54.smt2,,to,unknown,1201.0,0,1201.0,133.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p55.smt2,,ok,sat,757.6,0,757.6,125.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p56.smt2,,ok,unsat,4.3,0,4.3,51.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p57.smt2,,to,unknown,1201.0,0,1201.0,135.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p58.smt2,,ok,unsat,4.3,0,4.3,49.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p59.smt2,,ok,unsat,4.3,0,4.3,49.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p6.smt2,,ok,unsat,4.4,0,4.4,50.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p60.smt2,,ok,unsat,4.3,0,4.2,49.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p61.smt2,,ok,unsat,4.3,0,4.3,49.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p62.smt2,,ok,unsat,4.3,0,4.3,50.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p63.smt2,,to,unknown,1201.0,0,1201.0,142.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p7.smt2,,ok,unsat,4.4,0,4.3,49.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p8.smt2,,to,unknown,1201.0,0,1201.0,169.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p9.smt2,,to,unknown,1201.0,0,1200.9,135.1
