benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-39.base.cvc_p0.smt2,,ok,unsat,729.0,0,729.0,92.7
uart-39.base.cvc_p1.smt2,,ok,unsat,1.8,0,1.8,43.3
uart-39.base.cvc_p10.smt2,,ok,unsat,1.8,0,1.8,39.8
uart-39.base.cvc_p11.smt2,,ok,unsat,1.7,0,1.7,39.9
uart-39.base.cvc_p12.smt2,,ok,unsat,1.5,0,1.5,39.5
uart-39.base.cvc_p13.smt2,,ok,unsat,1.5,0,1.5,40.0
uart-39.base.cvc_p14.smt2,,ok,unsat,1.6,0,1.5,40.3
uart-39.base.cvc_p15.smt2,,ok,unsat,1.6,0,1.6,40.5
uart-39.base.cvc_p16.smt2,,ok,unsat,1.5,0,1.5,39.9
uart-39.base.cvc_p17.smt2,,ok,unsat,1.6,0,1.6,39.9
uart-39.base.cvc_p18.smt2,,ok,unsat,1.6,0,1.6,39.8
uart-39.base.cvc_p19.smt2,,ok,unsat,1.5,0,1.5,39.7
uart-39.base.cvc_p2.smt2,,ok,unsat,1.9,0,1.9,41.7
uart-39.base.cvc_p20.smt2,,ok,unsat,1.7,0,1.6,39.5
uart-39.base.cvc_p21.smt2,,ok,unsat,1.5,0,1.5,38.5
uart-39.base.cvc_p22.smt2,,ok,unsat,1.5,0,1.5,40.8
uart-39.base.cvc_p23.smt2,,ok,unsat,1.6,0,1.6,40.2
uart-39.base.cvc_p24.smt2,,ok,unsat,1.6,0,1.6,40.5
uart-39.base.cvc_p25.smt2,,ok,unsat,1.6,0,1.6,40.4
uart-39.base.cvc_p26.smt2,,ok,unsat,3.4,0,3.4,46.9
uart-39.base.cvc_p27.smt2,,ok,unsat,2.4,0,2.4,43.6
uart-39.base.cvc_p28.smt2,,ok,unsat,2.1,0,2.1,42.2
uart-39.base.cvc_p29.smt2,,ok,unsat,1.5,0,1.5,40.2
uart-39.base.cvc_p3.smt2,,ok,unsat,1.7,0,1.7,40.6
uart-39.base.cvc_p30.smt2,,ok,unsat,1.6,0,1.6,39.9
uart-39.base.cvc_p31.smt2,,ok,unsat,5.8,0,5.8,45.4
uart-39.base.cvc_p32.smt2,,ok,unsat,2.9,0,2.8,44.0
uart-39.base.cvc_p33.smt2,,ok,unsat,5.6,0,5.6,46.3
uart-39.base.cvc_p34.smt2,,ok,unsat,2.0,0,1.9,41.2
uart-39.base.cvc_p35.smt2,,ok,unsat,1.9,0,1.9,42.8
uart-39.base.cvc_p36.smt2,,ok,unsat,1.5,0,1.5,40.1
uart-39.base.cvc_p37.smt2,,ok,unsat,1.6,0,1.5,40.6
uart-39.base.cvc_p38.smt2,,ok,unsat,1.5,0,1.5,40.6
uart-39.base.cvc_p39.smt2,,ok,unsat,2.5,0,2.4,43.1
uart-39.base.cvc_p4.smt2,,ok,unsat,2.8,0,2.8,43.9
uart-39.base.cvc_p40.smt2,,ok,unsat,1.5,0,1.5,41.0
uart-39.base.cvc_p41.smt2,,ok,unsat,1.6,0,1.5,41.0
uart-39.base.cvc_p42.smt2,,ok,unsat,1.7,0,1.6,40.8
uart-39.base.cvc_p43.smt2,,ok,unsat,1.5,0,1.5,38.3
uart-39.base.cvc_p44.smt2,,ok,unsat,1.6,0,1.6,39.1
uart-39.base.cvc_p45.smt2,,ok,unsat,1.7,0,1.6,40.9
uart-39.base.cvc_p46.smt2,,ok,unsat,1.9,0,1.6,40.2
uart-39.base.cvc_p47.smt2,,ok,unsat,1.6,0,1.6,39.8
uart-39.base.cvc_p48.smt2,,ok,unsat,1.9,0,1.9,42.6
uart-39.base.cvc_p49.smt2,,ok,unsat,2.2,0,2.2,43.9
uart-39.base.cvc_p5.smt2,,ok,unsat,1.8,0,1.7,40.3
uart-39.base.cvc_p50.smt2,,ok,unsat,1.6,0,1.5,40.2
uart-39.base.cvc_p51.smt2,,ok,unsat,1.8,0,1.8,42.2
uart-39.base.cvc_p52.smt2,,ok,unsat,1.8,0,1.8,41.8
uart-39.base.cvc_p53.smt2,,ok,unsat,2.2,0,2.1,43.0
uart-39.base.cvc_p54.smt2,,ok,unsat,2.1,0,2.1,43.2
uart-39.base.cvc_p55.smt2,,ok,unsat,1.5,0,1.5,40.2
uart-39.base.cvc_p56.smt2,,ok,unsat,1.6,0,1.6,41.1
uart-39.base.cvc_p57.smt2,,ok,unsat,1.6,0,1.5,40.1
uart-39.base.cvc_p58.smt2,,ok,unsat,1.6,0,1.5,40.1
uart-39.base.cvc_p59.smt2,,ok,unsat,1.6,0,1.6,41.0
uart-39.base.cvc_p6.smt2,,ok,unsat,2.1,0,2.1,43.2
uart-39.base.cvc_p60.smt2,,ok,unsat,1.8,0,1.8,41.0
uart-39.base.cvc_p61.smt2,,ok,unsat,1.5,0,1.5,40.4
uart-39.base.cvc_p62.smt2,,ok,unsat,1.6,0,1.6,40.3
uart-39.base.cvc_p63.smt2,,ok,unsat,647.6,0,647.6,94.4
uart-39.base.cvc_p7.smt2,,ok,unsat,1.7,0,1.7,42.5
uart-39.base.cvc_p8.smt2,,ok,unsat,2.1,0,2.1,43.3
uart-39.base.cvc_p9.smt2,,ok,unsat,1.5,0,1.5,39.0
