benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_277_p0.smt2,,to,unknown,1201.0,0,1200.8,163.9
smtcomp_277_p1.smt2,,ok,unsat,4.3,0,4.0,36.2
smtcomp_277_p10.smt2,,ok,unsat,4.3,0,4.0,36.5
smtcomp_277_p100.smt2,,ok,unsat,4.3,0,4.0,36.5
smtcomp_277_p101.smt2,,ok,unsat,4.3,0,4.1,36.1
smtcomp_277_p102.smt2,,ok,unsat,4.3,0,4.0,36.1
smtcomp_277_p103.smt2,,ok,unsat,4.4,0,4.1,36.6
smtcomp_277_p104.smt2,,ok,unsat,4.3,0,4.1,36.2
smtcomp_277_p105.smt2,,ok,unsat,4.1,0,4.0,36.4
smtcomp_277_p106.smt2,,ok,unsat,4.2,0,4.0,36.9
smtcomp_277_p107.smt2,,ok,unsat,4.3,0,3.9,36.9
smtcomp_277_p108.smt2,,ok,unsat,4.3,0,3.9,36.6
smtcomp_277_p109.smt2,,ok,unsat,4.3,0,3.9,36.7
smtcomp_277_p11.smt2,,ok,unsat,4.3,0,4.0,36.5
smtcomp_277_p110.smt2,,ok,unsat,4.2,0,3.9,36.6
smtcomp_277_p111.smt2,,ok,unsat,4.3,0,4.1,36.4
smtcomp_277_p112.smt2,,ok,unsat,4.5,0,4.1,37.1
smtcomp_277_p113.smt2,,ok,unsat,4.3,0,4.0,36.6
smtcomp_277_p114.smt2,,ok,unsat,4.1,0,4.0,35.9
smtcomp_277_p115.smt2,,ok,unsat,4.3,0,4.0,36.6
smtcomp_277_p116.smt2,,ok,unsat,4.2,0,3.9,36.5
smtcomp_277_p117.smt2,,ok,unsat,4.3,0,4.0,36.8
smtcomp_277_p118.smt2,,ok,unsat,4.5,0,4.3,36.3
smtcomp_277_p119.smt2,,ok,unsat,4.2,0,4.0,36.6
smtcomp_277_p12.smt2,,ok,unsat,4.3,0,4.1,35.7
smtcomp_277_p120.smt2,,ok,unsat,4.1,0,4.0,36.3
smtcomp_277_p121.smt2,,ok,unsat,4.3,0,4.1,36.3
smtcomp_277_p122.smt2,,ok,unsat,4.3,0,4.0,36.7
smtcomp_277_p123.smt2,,ok,unsat,4.2,0,3.9,36.3
smtcomp_277_p124.smt2,,ok,unsat,4.4,0,4.0,36.6
smtcomp_277_p125.smt2,,ok,unsat,4.2,0,4.0,36.5
smtcomp_277_p126.smt2,,ok,unsat,4.4,0,4.1,37.1
smtcomp_277_p127.smt2,,to,unknown,1201.0,0,1200.7,160.9
smtcomp_277_p13.smt2,,ok,unsat,4.2,0,3.9,36.1
smtcomp_277_p14.smt2,,ok,unsat,4.3,0,4.0,36.7
smtcomp_277_p15.smt2,,ok,unsat,4.2,0,3.9,36.2
smtcomp_277_p16.smt2,,ok,unsat,4.1,0,4.0,35.8
smtcomp_277_p17.smt2,,ok,unsat,4.4,0,4.1,36.4
smtcomp_277_p18.smt2,,ok,unsat,4.3,0,4.0,36.7
smtcomp_277_p19.smt2,,ok,unsat,4.4,0,4.1,36.5
smtcomp_277_p2.smt2,,ok,unsat,4.2,0,4.0,36.2
smtcomp_277_p20.smt2,,ok,unsat,4.4,0,4.0,36.6
smtcomp_277_p21.smt2,,ok,unsat,4.2,0,3.9,36.3
smtcomp_277_p22.smt2,,ok,unsat,4.3,0,4.0,36.3
smtcomp_277_p23.smt2,,ok,unsat,4.3,0,4.0,36.3
smtcomp_277_p24.smt2,,ok,unsat,4.5,0,4.1,36.4
smtcomp_277_p25.smt2,,ok,unsat,4.3,0,4.0,36.4
smtcomp_277_p26.smt2,,ok,unsat,4.2,0,4.0,36.3
smtcomp_277_p27.smt2,,ok,unsat,4.1,0,3.9,36.0
smtcomp_277_p28.smt2,,ok,unsat,4.6,0,4.2,36.4
smtcomp_277_p29.smt2,,ok,unsat,4.2,0,3.9,36.5
smtcomp_277_p3.smt2,,ok,unsat,4.2,0,4.0,36.0
smtcomp_277_p30.smt2,,ok,unsat,4.3,0,4.0,36.4
smtcomp_277_p31.smt2,,ok,unsat,4.3,0,4.0,36.4
smtcomp_277_p32.smt2,,ok,unsat,4.2,0,4.0,36.3
smtcomp_277_p33.smt2,,ok,unsat,4.3,0,4.1,36.3
smtcomp_277_p34.smt2,,ok,unsat,4.4,0,4.1,37.1
smtcomp_277_p35.smt2,,ok,unsat,4.5,0,4.1,37.1
smtcomp_277_p36.smt2,,ok,unsat,4.4,0,4.2,36.1
smtcomp_277_p37.smt2,,ok,unsat,4.2,0,4.0,35.8
smtcomp_277_p38.smt2,,ok,unsat,4.3,0,4.0,36.6
smtcomp_277_p39.smt2,,ok,unsat,4.2,0,4.0,36.4
smtcomp_277_p4.smt2,,ok,unsat,4.5,0,4.2,36.2
smtcomp_277_p40.smt2,,ok,unsat,4.1,0,3.9,36.7
smtcomp_277_p41.smt2,,ok,unsat,4.1,0,4.0,36.0
smtcomp_277_p42.smt2,,ok,unsat,4.3,0,4.0,36.2
smtcomp_277_p43.smt2,,ok,unsat,4.2,0,4.0,36.5
smtcomp_277_p44.smt2,,ok,unsat,4.3,0,4.1,36.0
smtcomp_277_p45.smt2,,ok,unsat,4.2,0,4.0,36.3
smtcomp_277_p46.smt2,,ok,unsat,4.3,0,4.0,36.4
smtcomp_277_p47.smt2,,ok,unsat,4.5,0,4.1,36.4
smtcomp_277_p48.smt2,,ok,unsat,4.3,0,4.0,36.5
smtcomp_277_p49.smt2,,ok,unsat,4.2,0,4.0,36.2
smtcomp_277_p5.smt2,,ok,unsat,4.3,0,4.0,36.2
smtcomp_277_p50.smt2,,ok,unsat,4.2,0,3.9,36.2
smtcomp_277_p51.smt2,,ok,unsat,4.4,0,3.9,37.0
smtcomp_277_p52.smt2,,ok,unsat,4.3,0,4.0,36.3
smtcomp_277_p53.smt2,,ok,unsat,4.3,0,4.1,36.7
smtcomp_277_p54.smt2,,ok,unsat,4.3,0,4.0,36.7
smtcomp_277_p55.smt2,,ok,unsat,4.3,0,4.0,37.2
smtcomp_277_p56.smt2,,ok,unsat,4.2,0,3.9,36.3
