benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p0.smt2,,ok,unsat,32.4,0,32.2,114.2
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p1.smt2,,ok,unsat,1019.3,0,1019.1,685.6
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p10.smt2,,ok,unsat,62.5,0,62.4,409.3
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1200.7,932.7
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p2.smt2,,ok,unsat,31.6,0,31.5,113.8
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p3.smt2,,ok,unsat,63.2,0,63.0,409.0
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p4.smt2,,ok,unsat,31.8,0,31.7,114.8
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p5.smt2,,to,unknown,1201.0,0,1200.8,703.2
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p6.smt2,,ok,unsat,62.4,0,62.3,409.1
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p7.smt2,,ok,unsat,63.8,0,63.7,429.3
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p8.smt2,,ok,unsat,62.8,0,62.7,409.1
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p9.smt2,,ok,unsat,62.7,0,62.4,409.0
