benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_simple1.i_3_6_2.bpl_11_p0.smt2,,ok,unsat,1156.5,0,1156.5,81.7
_simple1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,2.6,0,2.5,10.8
_simple1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,0.5,0,0.5,7.6
_simple1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,0.5,0,0.5,8.2
_simple1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,0.5,0,0.5,8.2
_simple1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,0.5,0,0.5,8.4
_simple1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,0.5,0,0.5,8.1
_simple1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,0.5,0,0.5,8.6
_simple1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,0.5,0,0.5,8.6
_simple1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,0.5,0,0.5,8.9
_simple1.i_3_6_2.bpl_11_p18.smt2,,ok,unsat,0.5,0,0.5,8.2
_simple1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,0.7,0,0.7,8.7
_simple1.i_3_6_2.bpl_11_p2.smt2,,ok,unsat,1.6,0,1.6,9.6
_simple1.i_3_6_2.bpl_11_p20.smt2,,ok,unsat,0.4,0,0.4,5.5
_simple1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,0.4,0,0.4,5.4
_simple1.i_3_6_2.bpl_11_p22.smt2,,ok,unsat,0.5,0,0.5,7.8
_simple1.i_3_6_2.bpl_11_p23.smt2,,ok,unsat,0.5,0,0.4,6.3
_simple1.i_3_6_2.bpl_11_p24.smt2,,ok,unsat,0.6,0,0.5,7.9
_simple1.i_3_6_2.bpl_11_p25.smt2,,ok,unsat,0.6,0,0.5,8.1
_simple1.i_3_6_2.bpl_11_p26.smt2,,ok,unsat,0.6,0,0.6,9.6
_simple1.i_3_6_2.bpl_11_p27.smt2,,ok,unsat,0.4,0,0.4,6.0
_simple1.i_3_6_2.bpl_11_p28.smt2,,ok,unsat,0.4,0,0.3,5.1
_simple1.i_3_6_2.bpl_11_p29.smt2,,ok,unsat,0.5,0,0.5,8.6
_simple1.i_3_6_2.bpl_11_p3.smt2,,ok,unsat,0.5,0,0.5,9.0
_simple1.i_3_6_2.bpl_11_p30.smt2,,ok,unsat,0.4,0,0.4,5.2
_simple1.i_3_6_2.bpl_11_p31.smt2,,to,unknown,1201.0,0,1200.9,88.6
_simple1.i_3_6_2.bpl_11_p4.smt2,,ok,unsat,0.5,0,0.4,8.0
_simple1.i_3_6_2.bpl_11_p5.smt2,,ok,unsat,0.5,0,0.5,8.8
_simple1.i_3_6_2.bpl_11_p6.smt2,,ok,unsat,0.5,0,0.5,8.4
_simple1.i_3_6_2.bpl_11_p7.smt2,,ok,unsat,0.5,0,0.5,7.6
_simple1.i_3_6_2.bpl_11_p8.smt2,,ok,unsat,0.5,0,0.5,8.2
_simple1.i_3_6_2.bpl_11_p9.smt2,,ok,unsat,0.5,0,0.5,8.5
