benchmark,config,status,result,time_real,exit_code,time_cpu,memory
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p0.smt2,,ok,unsat,11.8,0,11.6,68.3
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p1.smt2,,ok,sat,1075.0,0,1074.8,473.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p10.smt2,,ok,unsat,20.8,0,20.7,222.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,21.0,0,20.9,222.8
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p12.smt2,,ok,unsat,20.9,0,20.8,223.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p13.smt2,,ok,unsat,21.4,0,21.3,222.9
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p14.smt2,,ok,unsat,21.1,0,21.0,222.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p15.smt2,,ok,unsat,20.8,0,20.7,223.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p16.smt2,,ok,unsat,21.1,0,21.1,222.5
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p17.smt2,,ok,unsat,20.9,0,20.8,223.1
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p18.smt2,,ok,unsat,20.8,0,20.7,222.9
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p19.smt2,,ok,unsat,21.1,0,21.0,222.9
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p2.smt2,,ok,unsat,11.7,0,11.6,69.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p20.smt2,,ok,unsat,21.0,0,20.9,222.6
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p21.smt2,,ok,unsat,20.8,0,20.8,222.4
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p22.smt2,,ok,unsat,20.8,0,20.7,222.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p23.smt2,,ok,unsat,20.8,0,20.7,223.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p24.smt2,,ok,unsat,21.1,0,21.0,222.8
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p25.smt2,,ok,unsat,20.7,0,20.6,222.8
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p26.smt2,,ok,unsat,21.2,0,21.1,222.4
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p27.smt2,,ok,unsat,21.2,0,21.2,222.8
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p28.smt2,,ok,unsat,20.8,0,20.8,222.9
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p29.smt2,,ok,unsat,21.1,0,21.0,223.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p3.smt2,,ok,sat,607.8,0,607.7,397.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p30.smt2,,ok,unsat,21.1,0,21.0,222.8
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p31.smt2,,ok,sat,693.0,0,692.9,408.4
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p4.smt2,,ok,unsat,11.8,0,11.7,69.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p5.smt2,,ok,sat,150.7,0,150.5,325.9
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p6.smt2,,ok,unsat,20.9,0,20.8,222.1
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p7.smt2,,ok,unsat,21.4,0,21.3,227.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p8.smt2,,ok,unsat,21.8,0,21.7,222.3
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p9.smt2,,ok,unsat,21.4,0,21.3,222.3
