benchmark,config,status,result,time_real,exit_code,time_cpu,memory
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p0.smt2,,ok,unsat,26.3,0,25.8,174.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p1.smt2,,ok,sat,1002.4,0,1002.2,760.6
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p10.smt2,,ok,unsat,45.3,0,44.8,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p11.smt2,,ok,unsat,44.1,0,43.6,567.4
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p12.smt2,,ok,unsat,44.5,0,43.9,567.1
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p13.smt2,,ok,unsat,44.1,0,43.9,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p14.smt2,,ok,unsat,44.2,0,44.0,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p15.smt2,,ok,unsat,44.4,0,43.9,566.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p16.smt2,,ok,unsat,43.8,0,43.6,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p17.smt2,,ok,unsat,44.0,0,43.7,567.4
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p18.smt2,,ok,unsat,45.1,0,44.4,566.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p19.smt2,,ok,unsat,44.2,0,43.7,566.8
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p2.smt2,,ok,unsat,26.9,0,26.1,176.5
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p20.smt2,,ok,unsat,44.5,0,44.0,567.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p21.smt2,,ok,unsat,44.0,0,43.5,567.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p22.smt2,,ok,unsat,44.1,0,43.9,567.4
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p23.smt2,,ok,unsat,44.2,0,43.6,567.8
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p24.smt2,,ok,unsat,45.0,0,44.4,567.4
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p25.smt2,,ok,unsat,43.9,0,43.8,567.6
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p26.smt2,,ok,unsat,43.9,0,43.8,568.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p27.smt2,,ok,unsat,43.7,0,43.5,567.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p28.smt2,,ok,unsat,44.8,0,44.2,568.1
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p29.smt2,,ok,unsat,44.5,0,44.1,567.8
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p3.smt2,,ok,sat,1116.7,0,1116.2,782.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p30.smt2,,ok,unsat,44.5,0,44.3,568.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p31.smt2,,ok,sat,733.3,0,732.6,726.5
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p4.smt2,,ok,unsat,26.0,0,25.7,176.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p5.smt2,,ok,sat,806.3,0,806.1,745.3
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p6.smt2,,ok,unsat,44.1,0,43.8,566.7
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p7.smt2,,ok,unsat,44.8,0,44.3,605.8
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p8.smt2,,ok,unsat,43.7,0,43.5,566.9
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate_p9.smt2,,ok,unsat,44.0,0,43.8,567.0
