benchmark,config,status,result,time_real,exit_code,time_cpu,memory
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p0.smt2,,ok,unsat,13.1,0,13.1,60.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1201.0,1223.2
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p10.smt2,,ok,unsat,23.4,0,23.4,213.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,24.1,0,24.0,212.7
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p12.smt2,,ok,unsat,23.5,0,23.5,213.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p13.smt2,,ok,unsat,23.3,0,23.0,212.3
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p14.smt2,,ok,unsat,23.5,0,23.5,212.8
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p15.smt2,,ok,unsat,23.2,0,23.0,212.5
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p16.smt2,,ok,unsat,23.4,0,23.3,212.4
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p17.smt2,,ok,unsat,23.4,0,23.3,212.3
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p18.smt2,,ok,unsat,23.3,0,23.2,213.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p19.smt2,,ok,unsat,23.2,0,23.1,212.8
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p2.smt2,,ok,unsat,13.3,0,13.2,60.8
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p20.smt2,,ok,unsat,23.3,0,23.3,212.9
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p21.smt2,,ok,unsat,23.2,0,23.1,212.2
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p22.smt2,,ok,unsat,23.3,0,23.3,212.2
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p23.smt2,,ok,unsat,23.1,0,23.0,212.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p24.smt2,,ok,unsat,23.9,0,23.7,213.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p25.smt2,,ok,unsat,23.5,0,23.5,212.6
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p26.smt2,,ok,unsat,23.3,0,23.3,212.3
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p27.smt2,,ok,unsat,23.4,0,23.4,212.5
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p28.smt2,,ok,unsat,23.5,0,23.4,212.7
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate_p29.smt2,,ok,unsat,23.2,0,23.2,212.4
