benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_init9_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,1038.5,0,1038.5,219.1
_standard_init9_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,1098.5,0,1098.4,203.3
_standard_init9_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,1132.3,0,1132.2,204.6
_standard_init9_ground.i_3_2_2.bpl_7_p100.smt2,,ok,unsat,1048.7,0,1048.6,188.6
_standard_init9_ground.i_3_2_2.bpl_7_p101.smt2,,ok,unsat,930.2,0,930.2,176.3
_standard_init9_ground.i_3_2_2.bpl_7_p102.smt2,,to,unknown,1201.0,0,1200.9,213.7
_standard_init9_ground.i_3_2_2.bpl_7_p103.smt2,,to,unknown,1201.0,0,1200.9,214.7
_standard_init9_ground.i_3_2_2.bpl_7_p104.smt2,,to,unknown,1201.0,0,1201.0,206.0
_standard_init9_ground.i_3_2_2.bpl_7_p105.smt2,,ok,unsat,1069.5,0,1069.4,198.0
_standard_init9_ground.i_3_2_2.bpl_7_p106.smt2,,ok,unsat,1080.2,0,1080.1,225.7
_standard_init9_ground.i_3_2_2.bpl_7_p107.smt2,,to,unknown,1201.0,0,1200.9,212.3
_standard_init9_ground.i_3_2_2.bpl_7_p108.smt2,,to,unknown,1201.0,0,1201.0,210.0
_standard_init9_ground.i_3_2_2.bpl_7_p109.smt2,,to,unknown,1201.0,0,1201.0,207.3
_standard_init9_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,915.2,0,915.1,179.3
_standard_init9_ground.i_3_2_2.bpl_7_p110.smt2,,to,unknown,1201.0,0,1201.0,215.1
_standard_init9_ground.i_3_2_2.bpl_7_p111.smt2,,to,unknown,1201.0,0,1200.9,206.6
_standard_init9_ground.i_3_2_2.bpl_7_p112.smt2,,to,unknown,1201.0,0,1201.0,207.7
_standard_init9_ground.i_3_2_2.bpl_7_p113.smt2,,ok,unsat,1021.4,0,1021.3,190.9
_standard_init9_ground.i_3_2_2.bpl_7_p114.smt2,,to,unknown,1201.0,0,1201.0,206.7
_standard_init9_ground.i_3_2_2.bpl_7_p115.smt2,,to,unknown,1201.0,0,1201.0,211.0
_standard_init9_ground.i_3_2_2.bpl_7_p116.smt2,,to,unknown,1201.0,0,1200.9,212.2
_standard_init9_ground.i_3_2_2.bpl_7_p117.smt2,,ok,unsat,1113.9,0,1113.9,204.7
_standard_init9_ground.i_3_2_2.bpl_7_p118.smt2,,ok,unsat,1090.2,0,1090.0,190.3
_standard_init9_ground.i_3_2_2.bpl_7_p119.smt2,,ok,unsat,1111.6,0,1111.6,197.2
_standard_init9_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,1142.6,0,1142.6,203.3
_standard_init9_ground.i_3_2_2.bpl_7_p120.smt2,,ok,unsat,1126.8,0,1126.7,203.7
_standard_init9_ground.i_3_2_2.bpl_7_p121.smt2,,ok,unsat,1084.9,0,1084.8,196.8
_standard_init9_ground.i_3_2_2.bpl_7_p122.smt2,,to,unknown,1201.0,0,1201.0,211.1
_standard_init9_ground.i_3_2_2.bpl_7_p123.smt2,,to,unknown,1201.0,0,1201.0,210.6
_standard_init9_ground.i_3_2_2.bpl_7_p124.smt2,,ok,unsat,1091.3,0,1091.3,197.9
_standard_init9_ground.i_3_2_2.bpl_7_p125.smt2,,to,unknown,1201.0,0,1201.0,215.0
_standard_init9_ground.i_3_2_2.bpl_7_p126.smt2,,ok,unsat,1013.4,0,1013.4,186.4
_standard_init9_ground.i_3_2_2.bpl_7_p127.smt2,,to,unknown,1201.0,0,1201.0,206.9
_standard_init9_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,1150.6,0,1150.5,199.9
_standard_init9_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,1161.6,0,1161.5,208.4
_standard_init9_ground.i_3_2_2.bpl_7_p15.smt2,,to,unknown,1201.0,0,1201.0,205.6
_standard_init9_ground.i_3_2_2.bpl_7_p16.smt2,,to,unknown,1201.0,0,1201.0,202.8
_standard_init9_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,1094.4,0,1094.4,192.8
_standard_init9_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,3.0,0,2.9,30.3
_standard_init9_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,994.6,0,994.6,187.2
_standard_init9_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,1148.7,0,1148.7,212.1
_standard_init9_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,960.9,0,960.8,185.7
_standard_init9_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,939.9,0,939.6,183.1
_standard_init9_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,1174.6,0,1174.5,210.4
_standard_init9_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,1199.5,0,1199.4,199.4
_standard_init9_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,865.8,0,865.8,175.2
_standard_init9_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,1114.9,0,1114.8,201.9
_standard_init9_ground.i_3_2_2.bpl_7_p26.smt2,,to,unknown,1201.0,0,1200.9,214.6
_standard_init9_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,855.8,0,855.7,167.7
_standard_init9_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,1137.8,0,1137.7,202.5
_standard_init9_ground.i_3_2_2.bpl_7_p29.smt2,,ok,unsat,1085.4,0,1085.4,197.0
_standard_init9_ground.i_3_2_2.bpl_7_p3.smt2,,to,unknown,1201.0,0,1201.0,211.9
_standard_init9_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,965.5,0,965.4,184.7
_standard_init9_ground.i_3_2_2.bpl_7_p31.smt2,,ok,unsat,1056.7,0,1056.7,197.7
_standard_init9_ground.i_3_2_2.bpl_7_p32.smt2,,ok,unsat,992.4,0,992.3,187.2
_standard_init9_ground.i_3_2_2.bpl_7_p33.smt2,,to,unknown,1201.0,0,1201.0,216.6
_standard_init9_ground.i_3_2_2.bpl_7_p34.smt2,,ok,unsat,1072.3,0,1072.2,191.6
_standard_init9_ground.i_3_2_2.bpl_7_p35.smt2,,ok,unsat,1151.9,0,1151.8,203.3
_standard_init9_ground.i_3_2_2.bpl_7_p36.smt2,,ok,unsat,1132.3,0,1132.3,204.2
_standard_init9_ground.i_3_2_2.bpl_7_p37.smt2,,ok,unsat,1051.2,0,1051.2,200.1
_standard_init9_ground.i_3_2_2.bpl_7_p38.smt2,,to,unknown,1201.0,0,1200.9,207.8
_standard_init9_ground.i_3_2_2.bpl_7_p39.smt2,,to,unknown,1201.0,0,1201.0,214.4
_standard_init9_ground.i_3_2_2.bpl_7_p4.smt2,,to,unknown,1201.0,0,1201.0,213.2
_standard_init9_ground.i_3_2_2.bpl_7_p40.smt2,,ok,unsat,1163.9,0,1163.8,214.6
_standard_init9_ground.i_3_2_2.bpl_7_p41.smt2,,ok,unsat,1164.3,0,1164.3,207.6
_standard_init9_ground.i_3_2_2.bpl_7_p42.smt2,,ok,unsat,1179.6,0,1179.5,213.1
_standard_init9_ground.i_3_2_2.bpl_7_p43.smt2,,to,unknown,1201.0,0,1200.9,211.5
_standard_init9_ground.i_3_2_2.bpl_7_p44.smt2,,to,unknown,1201.0,0,1201.0,213.3
_standard_init9_ground.i_3_2_2.bpl_7_p45.smt2,,ok,unsat,1126.0,0,1126.0,198.7
_standard_init9_ground.i_3_2_2.bpl_7_p46.smt2,,to,unknown,1201.0,0,1201.0,202.0
_standard_init9_ground.i_3_2_2.bpl_7_p47.smt2,,ok,unsat,1131.5,0,1131.5,204.8
_standard_init9_ground.i_3_2_2.bpl_7_p48.smt2,,to,unknown,1201.0,0,1201.0,200.0
_standard_init9_ground.i_3_2_2.bpl_7_p49.smt2,,to,unknown,1201.0,0,1200.9,202.7
_standard_init9_ground.i_3_2_2.bpl_7_p5.smt2,,to,unknown,1201.0,0,1201.0,211.5
_standard_init9_ground.i_3_2_2.bpl_7_p50.smt2,,ok,unsat,2.1,0,2.0,26.5
_standard_init9_ground.i_3_2_2.bpl_7_p51.smt2,,ok,unsat,1110.8,0,1110.5,203.3
_standard_init9_ground.i_3_2_2.bpl_7_p52.smt2,,to,unknown,1201.0,0,1201.0,211.2
_standard_init9_ground.i_3_2_2.bpl_7_p53.smt2,,to,unknown,1201.0,0,1201.0,215.7
_standard_init9_ground.i_3_2_2.bpl_7_p54.smt2,,to,unknown,1201.0,0,1201.0,212.0
_standard_init9_ground.i_3_2_2.bpl_7_p55.smt2,,ok,unsat,1028.9,0,1028.8,191.7
_standard_init9_ground.i_3_2_2.bpl_7_p56.smt2,,to,unknown,1201.0,0,1201.0,209.6
_standard_init9_ground.i_3_2_2.bpl_7_p57.smt2,,ok,unsat,1075.6,0,1075.4,197.9
_standard_init9_ground.i_3_2_2.bpl_7_p58.smt2,,ok,unsat,1179.2,0,1179.1,202.8
_standard_init9_ground.i_3_2_2.bpl_7_p59.smt2,,ok,unsat,972.4,0,972.4,186.0
