benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pp08a-7350_p0.smt2,,ok,unsat,0.5,0,0.5,10.5
pp08a-7350_p1.smt2,,ok,unsat,0.4,0,0.4,10.7
pp08a-7350_p10.smt2,,ok,unsat,0.5,0,0.5,11.4
pp08a-7350_p11.smt2,,ok,unsat,0.5,0,0.5,11.7
pp08a-7350_p12.smt2,,ok,unsat,0.4,0,0.4,11.3
pp08a-7350_p13.smt2,,ok,unsat,0.5,0,0.5,11.7
pp08a-7350_p14.smt2,,ok,unsat,0.5,0,0.5,11.8
pp08a-7350_p15.smt2,,ok,unsat,0.5,0,0.4,11.3
pp08a-7350_p16.smt2,,ok,unsat,0.5,0,0.4,11.3
pp08a-7350_p17.smt2,,ok,unsat,0.5,0,0.5,11.7
pp08a-7350_p18.smt2,,ok,unsat,0.5,0,0.5,11.5
pp08a-7350_p19.smt2,,ok,unsat,0.5,0,0.5,11.4
pp08a-7350_p2.smt2,,ok,unsat,0.4,0,0.4,11.5
pp08a-7350_p20.smt2,,ok,unsat,0.5,0,0.5,11.5
pp08a-7350_p21.smt2,,ok,unsat,0.5,0,0.5,11.5
pp08a-7350_p22.smt2,,ok,unsat,0.5,0,0.5,12.0
pp08a-7350_p23.smt2,,ok,unsat,0.5,0,0.5,11.7
pp08a-7350_p24.smt2,,ok,unsat,0.5,0,0.5,11.7
pp08a-7350_p25.smt2,,ok,unsat,0.5,0,0.5,11.4
pp08a-7350_p26.smt2,,ok,unsat,0.5,0,0.5,12.6
pp08a-7350_p27.smt2,,to,unknown,1201.0,0,1200.9,105.6
pp08a-7350_p28.smt2,,ok,unsat,0.5,0,0.5,12.8
pp08a-7350_p29.smt2,,ok,unsat,0.5,0,0.5,11.9
pp08a-7350_p3.smt2,,ok,unsat,0.5,0,0.5,11.0
pp08a-7350_p30.smt2,,to,unknown,1201.0,0,1201.0,87.4
pp08a-7350_p31.smt2,,ok,unsat,0.6,0,0.6,12.6
pp08a-7350_p32.smt2,,to,unknown,1201.0,0,1201.0,91.6
pp08a-7350_p33.smt2,,to,unknown,1201.0,0,1201.0,93.2
pp08a-7350_p34.smt2,,ok,unsat,0.5,0,0.5,12.1
pp08a-7350_p35.smt2,,to,unknown,1201.0,0,1200.9,115.4
pp08a-7350_p36.smt2,,ok,unsat,0.5,0,0.5,12.0
pp08a-7350_p37.smt2,,ok,unsat,0.5,0,0.5,12.2
pp08a-7350_p38.smt2,,ok,unsat,0.5,0,0.5,12.1
pp08a-7350_p39.smt2,,to,unknown,1201.0,0,1200.9,100.7
pp08a-7350_p4.smt2,,ok,unsat,0.5,0,0.4,11.6
pp08a-7350_p40.smt2,,ok,unsat,0.5,0,0.5,11.9
pp08a-7350_p41.smt2,,to,unknown,1201.0,0,1201.0,95.5
pp08a-7350_p42.smt2,,to,unknown,1201.0,0,1201.0,97.8
pp08a-7350_p43.smt2,,to,unknown,1201.0,0,1201.0,91.4
pp08a-7350_p5.smt2,,ok,unsat,0.5,0,0.5,11.0
pp08a-7350_p6.smt2,,ok,unsat,1.0,0,1.0,12.6
pp08a-7350_p7.smt2,,ok,unsat,0.5,0,0.4,11.3
pp08a-7350_p8.smt2,,ok,unsat,0.5,0,0.5,11.2
pp08a-7350_p9.smt2,,ok,unsat,0.5,0,0.5,11.3
