benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,ok,sat,777.0,0,776.9,270.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1200.9,288.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,unsat,531.8,0,531.7,253.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p100.smt2,,ok,unsat,734.2,0,734.2,261.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p101.smt2,,ok,unsat,571.5,0,571.4,248.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p102.smt2,,ok,unsat,666.7,0,666.6,259.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p103.smt2,,ok,unsat,185.3,0,185.2,255.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p104.smt2,,ok,unsat,581.7,0,581.6,253.7
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p105.smt2,,ok,unsat,639.5,0,639.5,256.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p106.smt2,,ok,unsat,610.3,0,610.2,254.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p107.smt2,,ok,unsat,551.1,0,551.0,254.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p108.smt2,,ok,unsat,640.1,0,640.0,265.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p109.smt2,,ok,unsat,569.8,0,569.8,256.9
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,unsat,775.4,0,775.2,256.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p110.smt2,,ok,unsat,760.4,0,760.3,262.1
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p111.smt2,,ok,unsat,639.0,0,638.9,260.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p112.smt2,,ok,unsat,678.5,0,678.3,255.6
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p113.smt2,,ok,unsat,770.9,0,770.3,263.5
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p114.smt2,,ok,unsat,739.4,0,738.9,265.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p115.smt2,,ok,unsat,495.2,0,495.2,250.4
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p116.smt2,,ok,unsat,688.1,0,688.0,269.3
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p117.smt2,,ok,unsat,173.3,0,173.3,236.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p118.smt2,,ok,unsat,534.2,0,534.1,260.2
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p119.smt2,,ok,unsat,189.5,0,189.4,237.8
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,unsat,764.4,0,764.4,263.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p120.smt2,,ok,unsat,927.7,0,927.7,278.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate_p121.smt2,,ok,unsat,640.4,0,640.3,262.3
