benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p0.smt2,,ok,sat,988.1,0,987.9,518.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p1.smt2,,ok,sat,1032.9,0,1032.8,563.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1200.2,509.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1200.9,591.6
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1200.9,555.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p13.smt2,,ok,sat,898.8,0,898.7,568.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p14.smt2,,ok,sat,1163.7,0,1163.4,553.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p15.smt2,,ok,sat,917.9,0,917.7,647.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p16.smt2,,ok,sat,755.1,0,755.0,507.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p17.smt2,,ok,sat,764.3,0,764.2,506.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p18.smt2,,ok,sat,787.0,0,786.8,520.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p19.smt2,,ok,sat,1087.0,0,1086.9,545.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p2.smt2,,to,unknown,1201.0,0,1201.0,607.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p20.smt2,,ok,sat,758.7,0,758.6,496.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p21.smt2,,ok,sat,863.2,0,862.9,596.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p22.smt2,,ok,sat,1118.3,0,1118.2,592.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p23.smt2,,ok,sat,953.4,0,953.3,595.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p24.smt2,,ok,sat,935.9,0,935.4,623.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p25.smt2,,ok,sat,1141.0,0,1140.8,527.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p26.smt2,,ok,sat,848.0,0,847.9,583.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p27.smt2,,to,unknown,1201.0,0,1200.6,588.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p28.smt2,,ok,sat,156.4,0,156.2,436.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p29.smt2,,ok,sat,892.9,0,892.8,511.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p3.smt2,,ok,unsat,43.4,0,43.3,313.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p30.smt2,,ok,sat,991.3,0,991.1,575.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p31.smt2,,ok,sat,1141.1,0,1141.0,611.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p32.smt2,,ok,sat,1015.6,0,1015.5,624.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p33.smt2,,ok,sat,923.1,0,922.9,556.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p34.smt2,,ok,sat,770.4,0,770.3,491.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p35.smt2,,ok,sat,961.6,0,961.5,589.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p36.smt2,,to,unknown,1201.0,0,1200.9,498.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p37.smt2,,ok,sat,936.8,0,936.7,565.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p38.smt2,,ok,sat,726.6,0,726.5,476.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p39.smt2,,ok,sat,883.0,0,882.9,567.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p4.smt2,,to,unknown,1201.0,0,1200.9,633.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p40.smt2,,ok,sat,711.3,0,711.2,583.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p41.smt2,,to,unknown,1201.0,0,1200.8,555.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p42.smt2,,ok,sat,1036.6,0,1036.5,561.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p43.smt2,,ok,sat,864.4,0,864.3,562.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p44.smt2,,ok,unsat,44.9,0,44.8,315.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p45.smt2,,ok,sat,698.0,0,697.9,448.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p46.smt2,,ok,sat,837.6,0,837.5,558.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p47.smt2,,ok,sat,1095.8,0,1095.6,560.6
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p48.smt2,,ok,sat,1034.5,0,1034.4,614.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p49.smt2,,ok,sat,582.7,0,582.6,578.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p5.smt2,,ok,sat,1071.4,0,1071.3,569.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p50.smt2,,ok,sat,845.2,0,845.0,515.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p51.smt2,,ok,sat,919.8,0,919.7,485.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p52.smt2,,ok,sat,921.6,0,921.4,594.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p53.smt2,,ok,sat,813.0,0,812.6,548.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p54.smt2,,ok,sat,762.0,0,761.9,556.6
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p55.smt2,,ok,sat,840.4,0,840.3,600.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p56.smt2,,ok,sat,907.3,0,907.1,566.6
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p57.smt2,,ok,sat,946.5,0,946.4,554.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p58.smt2,,ok,sat,852.9,0,852.8,558.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p59.smt2,,ok,sat,738.4,0,738.2,454.6
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p6.smt2,,ok,sat,848.7,0,848.5,558.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p60.smt2,,ok,sat,834.2,0,834.0,559.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p61.smt2,,ok,sat,820.6,0,820.4,585.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p62.smt2,,ok,sat,631.3,0,631.2,563.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p63.smt2,,ok,sat,1067.8,0,1067.7,615.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p64.smt2,,to,unknown,1201.0,0,1200.9,565.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p65.smt2,,ok,sat,881.4,0,881.3,661.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p66.smt2,,ok,sat,837.7,0,837.0,596.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p67.smt2,,ok,sat,663.0,0,662.9,481.6
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p68.smt2,,ok,sat,842.1,0,841.9,624.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p69.smt2,,ok,sat,125.1,0,125.1,390.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p7.smt2,,ok,sat,647.3,0,647.1,564.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p70.smt2,,to,unknown,1201.0,0,1200.9,596.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p71.smt2,,ok,sat,928.5,0,928.2,555.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p72.smt2,,ok,sat,605.2,0,605.0,481.9
