benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_gj2007.c.i_4_3_3.bpl_11_p0.smt2,,to,unknown,1201.0,0,1200.6,122.6
_gj2007.c.i_4_3_3.bpl_11_p1.smt2,,to,unknown,1201.0,0,1200.9,124.3
_gj2007.c.i_4_3_3.bpl_11_p10.smt2,,ok,unsat,10.1,0,10.0,26.4
_gj2007.c.i_4_3_3.bpl_11_p11.smt2,,ok,unsat,12.2,0,12.2,26.2
_gj2007.c.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,13.3,0,13.3,26.0
_gj2007.c.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,8.1,0,8.1,23.5
_gj2007.c.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,30.2,0,30.2,30.8
_gj2007.c.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,12.9,0,12.9,27.4
_gj2007.c.i_4_3_3.bpl_11_p2.smt2,,to,unknown,1201.0,0,1201.0,112.5
_gj2007.c.i_4_3_3.bpl_11_p3.smt2,,to,unknown,1201.0,0,1200.9,136.1
_gj2007.c.i_4_3_3.bpl_11_p4.smt2,,to,unknown,1201.0,0,1201.0,129.0
_gj2007.c.i_4_3_3.bpl_11_p5.smt2,,ok,unsat,65.6,0,65.5,37.5
_gj2007.c.i_4_3_3.bpl_11_p6.smt2,,ok,unsat,18.3,0,18.3,28.7
_gj2007.c.i_4_3_3.bpl_11_p7.smt2,,ok,unsat,8.3,0,8.2,24.7
_gj2007.c.i_4_3_3.bpl_11_p8.smt2,,ok,unsat,14.4,0,14.3,28.3
_gj2007.c.i_4_3_3.bpl_11_p9.smt2,,ok,unsat,4.8,0,4.7,22.7
