benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_simple4.i_3_4_2.bpl_11_p0.smt2,,ok,unsat,634.1,0,634.1,61.5
_simple4.i_3_4_2.bpl_11_p1.smt2,,ok,unsat,522.2,0,522.1,56.5
_simple4.i_3_4_2.bpl_11_p10.smt2,,ok,unsat,51.3,0,51.3,21.9
_simple4.i_3_4_2.bpl_11_p11.smt2,,ok,unsat,142.7,0,142.7,32.7
_simple4.i_3_4_2.bpl_11_p12.smt2,,ok,unsat,194.9,0,194.9,42.9
_simple4.i_3_4_2.bpl_11_p13.smt2,,ok,unsat,501.9,0,501.8,53.5
_simple4.i_3_4_2.bpl_11_p14.smt2,,ok,unsat,131.0,0,131.0,30.1
_simple4.i_3_4_2.bpl_11_p15.smt2,,ok,unsat,936.9,0,936.8,86.8
_simple4.i_3_4_2.bpl_11_p2.smt2,,ok,unsat,140.0,0,139.9,36.8
_simple4.i_3_4_2.bpl_11_p3.smt2,,ok,unsat,155.8,0,155.8,41.7
_simple4.i_3_4_2.bpl_11_p4.smt2,,ok,unsat,177.0,0,177.0,37.8
_simple4.i_3_4_2.bpl_11_p5.smt2,,ok,unsat,509.5,0,509.5,48.5
_simple4.i_3_4_2.bpl_11_p6.smt2,,ok,unsat,171.0,0,171.0,37.8
_simple4.i_3_4_2.bpl_11_p7.smt2,,ok,unsat,95.8,0,95.8,32.5
_simple4.i_3_4_2.bpl_11_p8.smt2,,ok,unsat,490.1,0,490.1,50.0
_simple4.i_3_4_2.bpl_11_p9.smt2,,ok,unsat,471.9,0,471.8,48.2
