benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_array_monotonic.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,620.4,0,620.3,66.9
_array_monotonic.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,87.8,0,87.7,31.0
_array_monotonic.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,9.3,0,9.3,14.8
_array_monotonic.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,3.1,0,3.1,13.3
_array_monotonic.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,23.0,0,22.9,17.8
_array_monotonic.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,16.1,0,16.1,18.6
_array_monotonic.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,17.1,0,17.1,16.3
_array_monotonic.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,7.7,0,7.7,15.3
_array_monotonic.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,15.9,0,15.9,16.3
_array_monotonic.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,7.6,0,7.6,14.9
_array_monotonic.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,13.9,0,13.9,15.7
_array_monotonic.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,5.4,0,5.3,13.4
_array_monotonic.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,25.9,0,25.8,16.8
_array_monotonic.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,13.7,0,13.7,16.1
_array_monotonic.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,17.6,0,17.6,17.5
_array_monotonic.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,18.2,0,18.2,17.3
_array_monotonic.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,2.0,0,2.0,11.5
_array_monotonic.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,19.6,0,19.6,17.9
_array_monotonic.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,1.0,0,0.9,10.8
_array_monotonic.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,12.5,0,12.4,15.7
_array_monotonic.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,1.2,0,1.2,11.1
_array_monotonic.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,19.4,0,19.4,17.8
_array_monotonic.i_3_2_2.bpl_11_p29.smt2,,ok,unsat,0.6,0,0.6,9.2
_array_monotonic.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,21.6,0,21.6,17.5
_array_monotonic.i_3_2_2.bpl_11_p30.smt2,,ok,unsat,0.6,0,0.6,9.5
_array_monotonic.i_3_2_2.bpl_11_p31.smt2,,ok,unsat,0.6,0,0.6,9.3
_array_monotonic.i_3_2_2.bpl_11_p4.smt2,,ok,unsat,77.6,0,77.5,28.5
_array_monotonic.i_3_2_2.bpl_11_p5.smt2,,ok,unsat,3.4,0,3.4,12.2
_array_monotonic.i_3_2_2.bpl_11_p6.smt2,,ok,unsat,6.5,0,6.5,13.1
_array_monotonic.i_3_2_2.bpl_11_p7.smt2,,ok,unsat,27.4,0,27.4,19.6
_array_monotonic.i_3_2_2.bpl_11_p8.smt2,,ok,unsat,16.4,0,16.4,17.7
_array_monotonic.i_3_2_2.bpl_11_p9.smt2,,ok,unsat,8.2,0,8.2,14.9
