benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_strcpy_original.i_3_3_2.bpl_11_p0.smt2,,ok,unsat,38.8,0,38.8,19.3
_standard_strcpy_original.i_3_3_2.bpl_11_p1.smt2,,ok,unsat,66.4,0,66.4,23.4
_standard_strcpy_original.i_3_3_2.bpl_11_p10.smt2,,ok,unsat,77.2,0,77.1,26.0
_standard_strcpy_original.i_3_3_2.bpl_11_p11.smt2,,ok,unsat,26.3,0,26.2,17.8
_standard_strcpy_original.i_3_3_2.bpl_11_p12.smt2,,ok,unsat,4.5,0,4.5,15.3
_standard_strcpy_original.i_3_3_2.bpl_11_p13.smt2,,ok,unsat,21.1,0,21.0,17.8
_standard_strcpy_original.i_3_3_2.bpl_11_p14.smt2,,ok,unsat,4.3,0,4.3,15.1
_standard_strcpy_original.i_3_3_2.bpl_11_p15.smt2,,ok,unsat,16.7,0,16.7,17.5
_standard_strcpy_original.i_3_3_2.bpl_11_p16.smt2,,ok,unsat,28.7,0,28.7,19.4
_standard_strcpy_original.i_3_3_2.bpl_11_p17.smt2,,ok,unsat,10.7,0,10.7,16.7
_standard_strcpy_original.i_3_3_2.bpl_11_p18.smt2,,ok,unsat,6.3,0,6.3,15.8
_standard_strcpy_original.i_3_3_2.bpl_11_p19.smt2,,ok,unsat,5.7,0,5.6,16.1
_standard_strcpy_original.i_3_3_2.bpl_11_p2.smt2,,ok,unsat,12.5,0,12.5,16.9
_standard_strcpy_original.i_3_3_2.bpl_11_p20.smt2,,ok,unsat,8.3,0,8.3,16.9
_standard_strcpy_original.i_3_3_2.bpl_11_p21.smt2,,ok,unsat,1.3,0,1.3,13.0
_standard_strcpy_original.i_3_3_2.bpl_11_p22.smt2,,ok,unsat,10.0,0,9.9,17.1
_standard_strcpy_original.i_3_3_2.bpl_11_p23.smt2,,ok,unsat,9.2,0,9.2,17.2
_standard_strcpy_original.i_3_3_2.bpl_11_p24.smt2,,ok,unsat,7.3,0,7.3,15.4
_standard_strcpy_original.i_3_3_2.bpl_11_p25.smt2,,ok,unsat,7.7,0,7.7,15.7
_standard_strcpy_original.i_3_3_2.bpl_11_p26.smt2,,ok,unsat,8.8,0,8.8,17.0
_standard_strcpy_original.i_3_3_2.bpl_11_p27.smt2,,ok,unsat,1.7,0,1.6,14.0
_standard_strcpy_original.i_3_3_2.bpl_11_p28.smt2,,ok,unsat,9.8,0,9.8,16.7
_standard_strcpy_original.i_3_3_2.bpl_11_p29.smt2,,ok,unsat,7.2,0,7.2,15.9
_standard_strcpy_original.i_3_3_2.bpl_11_p3.smt2,,ok,unsat,402.2,0,402.1,40.9
_standard_strcpy_original.i_3_3_2.bpl_11_p30.smt2,,ok,unsat,8.9,0,8.9,17.1
_standard_strcpy_original.i_3_3_2.bpl_11_p31.smt2,,ok,unsat,7.9,0,7.9,16.1
_standard_strcpy_original.i_3_3_2.bpl_11_p4.smt2,,ok,unsat,4.3,0,4.3,14.7
_standard_strcpy_original.i_3_3_2.bpl_11_p5.smt2,,ok,unsat,43.5,0,43.5,20.5
_standard_strcpy_original.i_3_3_2.bpl_11_p6.smt2,,ok,unsat,28.7,0,28.6,18.8
_standard_strcpy_original.i_3_3_2.bpl_11_p7.smt2,,ok,unsat,515.7,0,515.6,36.8
_standard_strcpy_original.i_3_3_2.bpl_11_p8.smt2,,ok,unsat,166.7,0,166.4,30.5
_standard_strcpy_original.i_3_3_2.bpl_11_p9.smt2,,ok,unsat,157.3,0,157.2,33.7
