benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_two_index_05.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,46.2,0,46.2,26.1
_standard_two_index_05.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,187.4,0,187.3,53.8
_standard_two_index_05.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,13.5,0,13.5,17.3
_standard_two_index_05.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,28.8,0,28.8,23.6
_standard_two_index_05.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,21.7,0,21.7,21.2
_standard_two_index_05.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,7.3,0,7.3,16.3
_standard_two_index_05.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,11.3,0,11.3,17.3
_standard_two_index_05.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,14.8,0,14.8,18.8
_standard_two_index_05.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,4.9,0,4.9,15.3
_standard_two_index_05.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,4.4,0,4.3,15.3
_standard_two_index_05.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,1.6,0,1.6,12.6
_standard_two_index_05.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,2.2,0,2.2,12.8
_standard_two_index_05.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,39.5,0,39.4,25.5
_standard_two_index_05.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,4.0,0,4.0,14.4
_standard_two_index_05.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,5.8,0,5.8,14.8
_standard_two_index_05.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,5.6,0,5.6,15.2
_standard_two_index_05.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,8.5,0,8.5,16.3
_standard_two_index_05.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,6.5,0,6.5,15.2
_standard_two_index_05.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,1.8,0,1.8,12.4
_standard_two_index_05.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,1.7,0,1.7,13.5
_standard_two_index_05.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,5.2,0,5.2,15.4
_standard_two_index_05.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,4.0,0,4.0,14.0
_standard_two_index_05.i_3_2_2.bpl_11_p29.smt2,,ok,unsat,2.2,0,2.1,14.1
_standard_two_index_05.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,73.6,0,73.6,33.0
_standard_two_index_05.i_3_2_2.bpl_11_p30.smt2,,ok,unsat,1.7,0,1.6,12.9
_standard_two_index_05.i_3_2_2.bpl_11_p31.smt2,,ok,unsat,4.6,0,4.6,14.5
_standard_two_index_05.i_3_2_2.bpl_11_p4.smt2,,ok,unsat,77.3,0,77.3,33.8
_standard_two_index_05.i_3_2_2.bpl_11_p5.smt2,,ok,unsat,470.3,0,470.3,81.0
_standard_two_index_05.i_3_2_2.bpl_11_p6.smt2,,ok,unsat,25.0,0,24.9,21.2
_standard_two_index_05.i_3_2_2.bpl_11_p7.smt2,,ok,unsat,3.2,0,3.2,14.4
_standard_two_index_05.i_3_2_2.bpl_11_p8.smt2,,ok,unsat,22.5,0,22.5,22.3
_standard_two_index_05.i_3_2_2.bpl_11_p9.smt2,,ok,unsat,43.5,0,43.5,25.5
