benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple_startup_15nodes.abstract.induct_p0.smt2,,ok,unsat,1.2,0,1.2,21.9
simple_startup_15nodes.abstract.induct_p1.smt2,,ok,unsat,3.4,0,3.3,60.0
simple_startup_15nodes.abstract.induct_p10.smt2,,ok,unsat,1.3,0,1.2,23.4
simple_startup_15nodes.abstract.induct_p11.smt2,,ok,unsat,7.8,0,7.8,66.5
simple_startup_15nodes.abstract.induct_p12.smt2,,ok,unsat,1.2,0,1.2,22.4
simple_startup_15nodes.abstract.induct_p13.smt2,,ok,unsat,1.3,0,1.3,23.0
simple_startup_15nodes.abstract.induct_p14.smt2,,ok,unsat,2.8,0,2.8,55.4
simple_startup_15nodes.abstract.induct_p15.smt2,,ok,unsat,1.3,0,1.3,22.7
simple_startup_15nodes.abstract.induct_p16.smt2,,ok,unsat,1.3,0,1.2,22.6
simple_startup_15nodes.abstract.induct_p17.smt2,,ok,unsat,1.2,0,1.2,23.1
simple_startup_15nodes.abstract.induct_p18.smt2,,ok,unsat,1.2,0,1.2,22.1
simple_startup_15nodes.abstract.induct_p19.smt2,,ok,unsat,1.2,0,1.2,22.2
simple_startup_15nodes.abstract.induct_p2.smt2,,ok,unsat,1.2,0,1.2,23.1
simple_startup_15nodes.abstract.induct_p20.smt2,,ok,unsat,1.3,0,1.2,22.6
simple_startup_15nodes.abstract.induct_p21.smt2,,ok,unsat,1.2,0,1.2,22.4
simple_startup_15nodes.abstract.induct_p22.smt2,,ok,unsat,1.2,0,1.2,22.2
simple_startup_15nodes.abstract.induct_p23.smt2,,ok,unsat,1.2,0,1.2,22.8
simple_startup_15nodes.abstract.induct_p24.smt2,,ok,unsat,1.2,0,1.2,22.3
simple_startup_15nodes.abstract.induct_p25.smt2,,ok,unsat,1.2,0,1.2,22.2
simple_startup_15nodes.abstract.induct_p26.smt2,,ok,unsat,1.2,0,1.2,23.1
simple_startup_15nodes.abstract.induct_p27.smt2,,ok,unsat,1.3,0,1.2,23.1
simple_startup_15nodes.abstract.induct_p28.smt2,,ok,unsat,1.2,0,1.2,22.2
simple_startup_15nodes.abstract.induct_p29.smt2,,ok,unsat,1.3,0,1.3,22.3
simple_startup_15nodes.abstract.induct_p3.smt2,,ok,unsat,4.7,0,4.6,67.4
simple_startup_15nodes.abstract.induct_p30.smt2,,ok,unsat,1.2,0,1.2,22.6
simple_startup_15nodes.abstract.induct_p31.smt2,,ok,unsat,921.6,0,921.4,312.1
simple_startup_15nodes.abstract.induct_p4.smt2,,ok,unsat,1.2,0,1.2,22.1
simple_startup_15nodes.abstract.induct_p5.smt2,,ok,unsat,1.4,0,1.3,23.4
simple_startup_15nodes.abstract.induct_p6.smt2,,ok,unsat,1.3,0,1.3,23.8
simple_startup_15nodes.abstract.induct_p7.smt2,,ok,unsat,1.2,0,1.2,23.2
simple_startup_15nodes.abstract.induct_p8.smt2,,ok,unsat,945.3,0,945.3,313.5
simple_startup_15nodes.abstract.induct_p9.smt2,,ok,unsat,3.4,0,3.4,61.0
