benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sanfoundry_10_ground.i_6_3_3.bpl_13_p0.smt2,,to,unknown,1201.0,0,1200.9,261.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p1.smt2,,to,unknown,1201.0,0,1200.9,274.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p10.smt2,,to,unknown,1201.0,0,1200.9,235.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p11.smt2,,to,unknown,1201.0,0,1200.2,257.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p12.smt2,,ok,unsat,1147.0,0,1146.9,231.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p13.smt2,,ok,unsat,680.7,0,680.6,218.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p14.smt2,,ok,unsat,962.0,0,961.8,253.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p15.smt2,,ok,unsat,657.7,0,657.5,192.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p16.smt2,,ok,unsat,767.3,0,767.1,229.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p17.smt2,,ok,unsat,572.8,0,572.5,196.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p18.smt2,,ok,unsat,519.2,0,519.1,195.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p19.smt2,,ok,unsat,435.5,0,435.4,187.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p2.smt2,,to,unknown,1201.0,0,1200.9,250.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p20.smt2,,ok,unsat,613.2,0,613.1,211.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p21.smt2,,ok,unsat,454.1,0,454.0,185.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p22.smt2,,ok,unsat,536.4,0,536.1,197.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p23.smt2,,ok,unsat,451.7,0,451.6,181.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p24.smt2,,ok,unsat,162.1,0,162.0,168.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p25.smt2,,ok,unsat,145.0,0,144.8,163.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p26.smt2,,ok,unsat,476.0,0,475.8,174.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p27.smt2,,ok,unsat,536.1,0,536.0,182.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p28.smt2,,ok,unsat,465.7,0,465.6,197.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p29.smt2,,ok,unsat,483.7,0,483.6,174.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p3.smt2,,to,unknown,1201.0,0,1200.9,251.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p30.smt2,,ok,unsat,393.7,0,393.6,173.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p31.smt2,,ok,unsat,144.2,0,144.1,159.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p32.smt2,,ok,unsat,460.0,0,459.9,181.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p33.smt2,,ok,unsat,182.2,0,182.1,164.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p34.smt2,,ok,unsat,1068.3,0,1068.2,229.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p35.smt2,,ok,unsat,139.2,0,139.1,157.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p36.smt2,,ok,unsat,375.8,0,375.6,169.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p37.smt2,,ok,unsat,133.0,0,132.8,152.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p38.smt2,,ok,unsat,376.4,0,376.2,165.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p39.smt2,,ok,unsat,569.3,0,569.2,192.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p4.smt2,,to,unknown,1201.0,0,1200.9,276.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p40.smt2,,ok,unsat,441.9,0,441.8,184.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p41.smt2,,ok,unsat,472.0,0,471.9,181.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p42.smt2,,ok,unsat,427.5,0,427.4,172.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p43.smt2,,ok,unsat,437.2,0,436.9,175.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p44.smt2,,ok,unsat,475.6,0,475.5,182.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p45.smt2,,ok,unsat,85.3,0,85.1,148.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p46.smt2,,ok,unsat,99.4,0,99.3,152.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p47.smt2,,ok,unsat,173.2,0,173.1,165.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p48.smt2,,ok,unsat,133.0,0,132.8,160.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p49.smt2,,ok,unsat,105.4,0,105.2,150.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p5.smt2,,to,unknown,1201.0,0,1200.8,255.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p50.smt2,,ok,unsat,99.5,0,99.3,149.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p51.smt2,,ok,unsat,104.6,0,104.5,148.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p52.smt2,,ok,unsat,103.5,0,103.4,149.6
_sanfoundry_10_ground.i_6_3_3.bpl_13_p53.smt2,,ok,unsat,128.4,0,128.3,153.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p54.smt2,,ok,unsat,87.8,0,87.7,143.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p55.smt2,,ok,unsat,104.6,0,104.4,154.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p56.smt2,,ok,unsat,96.7,0,96.6,148.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p57.smt2,,ok,unsat,140.0,0,139.9,151.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p58.smt2,,ok,unsat,121.0,0,120.8,159.1
_sanfoundry_10_ground.i_6_3_3.bpl_13_p59.smt2,,ok,unsat,400.7,0,400.6,189.2
