benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pk1-11_p0.smt2,,ok,unsat,1.0,0,1.0,11.0
pk1-11_p1.smt2,,ok,unsat,1.0,0,1.0,11.5
pk1-11_p10.smt2,,ok,unsat,1.0,0,1.0,11.4
pk1-11_p11.smt2,,ok,unsat,1.1,0,1.1,11.4
pk1-11_p12.smt2,,ok,unsat,1.2,0,1.2,11.5
pk1-11_p13.smt2,,ok,unsat,1.1,0,1.1,11.5
pk1-11_p14.smt2,,ok,unsat,47.4,0,47.4,13.8
pk1-11_p15.smt2,,ok,unsat,1.1,0,1.1,11.3
pk1-11_p16.smt2,,to,unknown,1201.0,0,1201.0,419.6
pk1-11_p17.smt2,,ok,unsat,1.2,0,1.2,12.2
pk1-11_p18.smt2,,ok,unsat,1.1,0,1.1,11.4
pk1-11_p19.smt2,,ok,unsat,1.1,0,1.1,11.4
pk1-11_p2.smt2,,ok,unsat,1.0,0,1.0,11.4
pk1-11_p20.smt2,,ok,unsat,1.1,0,1.1,11.9
pk1-11_p21.smt2,,ok,unsat,1.1,0,1.1,11.9
pk1-11_p22.smt2,,ok,unsat,1.1,0,1.1,12.4
pk1-11_p23.smt2,,ok,unsat,1.1,0,1.1,11.8
pk1-11_p24.smt2,,ok,unsat,1.1,0,1.1,11.7
pk1-11_p25.smt2,,ok,unsat,1.1,0,1.1,11.9
pk1-11_p26.smt2,,ok,unsat,1.1,0,1.1,12.0
pk1-11_p27.smt2,,ok,unsat,1.1,0,1.1,11.8
pk1-11_p28.smt2,,ok,unsat,1.1,0,1.1,11.9
pk1-11_p29.smt2,,ok,unsat,1.1,0,1.1,12.0
pk1-11_p3.smt2,,ok,unsat,1.1,0,1.0,11.0
pk1-11_p30.smt2,,ok,unsat,1.2,0,1.2,12.5
pk1-11_p31.smt2,,ok,unsat,1.2,0,1.2,13.7
pk1-11_p32.smt2,,ok,unsat,1.1,0,1.1,12.3
pk1-11_p33.smt2,,ok,unsat,1.4,0,1.4,12.4
pk1-11_p34.smt2,,ok,unsat,1.3,0,1.2,12.3
pk1-11_p35.smt2,,ok,unsat,1.1,0,1.1,12.1
pk1-11_p36.smt2,,to,unknown,1201.0,0,1201.0,430.4
pk1-11_p37.smt2,,ok,unsat,1.1,0,1.1,12.5
pk1-11_p38.smt2,,ok,unsat,1.1,0,1.1,12.5
pk1-11_p39.smt2,,ok,unsat,1.1,0,1.1,12.1
pk1-11_p4.smt2,,ok,unsat,1.1,0,1.1,11.1
pk1-11_p40.smt2,,ok,unsat,1.2,0,1.2,13.0
pk1-11_p41.smt2,,to,unknown,1201.0,0,1201.0,431.5
pk1-11_p42.smt2,,ok,unsat,1.2,0,1.2,12.5
pk1-11_p43.smt2,,ok,unsat,1.1,0,1.1,12.3
pk1-11_p44.smt2,,ok,unsat,1.2,0,1.1,13.0
pk1-11_p45.smt2,,ok,unsat,1.2,0,1.2,12.8
pk1-11_p46.smt2,,ok,unsat,1.2,0,1.1,12.1
pk1-11_p47.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-11_p48.smt2,,to,unknown,1201.0,0,1201.0,437.7
pk1-11_p49.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-11_p5.smt2,,ok,unsat,1.0,0,1.0,10.8
pk1-11_p50.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-11_p51.smt2,,ok,unsat,1.2,0,1.2,14.2
pk1-11_p52.smt2,,ok,unsat,1.2,0,1.2,12.7
pk1-11_p53.smt2,,ok,unsat,1.4,0,1.4,13.3
pk1-11_p54.smt2,,ok,unsat,1.2,0,1.2,13.3
pk1-11_p55.smt2,,ok,unsat,1.3,0,1.3,13.6
pk1-11_p56.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-11_p57.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-11_p58.smt2,,ok,unsat,1.2,0,1.2,13.1
pk1-11_p59.smt2,,ok,unsat,1.3,0,1.3,12.7
pk1-11_p6.smt2,,ok,unsat,1.3,0,1.1,12.0
pk1-11_p60.smt2,,ok,unsat,1.2,0,1.2,13.6
pk1-11_p61.smt2,,ok,unsat,1.2,0,1.2,13.4
pk1-11_p62.smt2,,ok,unsat,1.2,0,1.2,13.1
pk1-11_p63.smt2,,to,unknown,1201.0,0,1201.0,426.1
pk1-11_p7.smt2,,to,unknown,1201.0,0,1201.0,429.9
pk1-11_p8.smt2,,ok,unsat,1.1,0,1.1,11.9
pk1-11_p9.smt2,,ok,unsat,1.1,0,1.1,11.3
