benchmark,config,status,result,time_real,exit_code,time_cpu,memory
0150-labyrinth-16-0_p0.smt2,,to,unknown,1201.0,0,1200.3,1858.5
0150-labyrinth-16-0_p1.smt2,,to,unknown,1201.0,0,1199.4,1761.6
0150-labyrinth-16-0_p10.smt2,,ok,sat,709.6,0,707.9,1576.9
0150-labyrinth-16-0_p100.smt2,,to,unknown,1201.0,0,1200.5,1915.1
0150-labyrinth-16-0_p101.smt2,,to,unknown,1201.0,0,1200.8,1781.6
0150-labyrinth-16-0_p102.smt2,,ok,sat,1179.7,0,1179.2,1717.8
0150-labyrinth-16-0_p103.smt2,,ok,sat,774.5,0,773.1,1590.2
0150-labyrinth-16-0_p104.smt2,,to,unknown,1201.0,0,1200.7,1728.2
0150-labyrinth-16-0_p105.smt2,,ok,sat,713.4,0,711.4,1522.3
0150-labyrinth-16-0_p106.smt2,,to,unknown,1201.0,0,1199.7,1732.8
0150-labyrinth-16-0_p107.smt2,,ok,sat,564.5,0,561.8,1483.3
0150-labyrinth-16-0_p108.smt2,,ok,sat,355.4,0,354.5,1450.9
0150-labyrinth-16-0_p109.smt2,,ok,sat,790.5,0,789.2,1601.6
0150-labyrinth-16-0_p11.smt2,,to,unknown,1201.0,0,1199.8,1731.9
0150-labyrinth-16-0_p110.smt2,,to,unknown,1201.0,0,1199.8,1765.3
0150-labyrinth-16-0_p111.smt2,,ok,sat,981.6,0,980.4,1691.3
0150-labyrinth-16-0_p112.smt2,,to,unknown,1201.0,0,1200.6,1746.8
0150-labyrinth-16-0_p113.smt2,,ok,sat,1099.8,0,1097.9,1773.5
0150-labyrinth-16-0_p114.smt2,,to,unknown,1201.0,0,1200.4,1693.7
0150-labyrinth-16-0_p115.smt2,,to,unknown,1201.0,0,1200.7,1886.5
0150-labyrinth-16-0_p116.smt2,,to,unknown,1201.0,0,1200.0,1850.4
0150-labyrinth-16-0_p117.smt2,,ok,sat,874.9,0,874.2,1597.4
0150-labyrinth-16-0_p118.smt2,,ok,sat,713.1,0,712.6,1542.3
0150-labyrinth-16-0_p119.smt2,,ok,sat,650.5,0,649.7,1522.1
0150-labyrinth-16-0_p12.smt2,,ok,sat,664.4,0,663.7,1548.5
0150-labyrinth-16-0_p120.smt2,,ok,sat,1130.4,0,1129.5,1729.9
0150-labyrinth-16-0_p121.smt2,,to,unknown,1201.0,0,1199.8,1673.7
0150-labyrinth-16-0_p122.smt2,,ok,sat,773.0,0,771.5,1549.4
0150-labyrinth-16-0_p123.smt2,,to,unknown,1201.0,0,1200.7,1743.8
0150-labyrinth-16-0_p124.smt2,,ok,sat,708.8,0,708.4,1562.9
0150-labyrinth-16-0_p125.smt2,,to,unknown,1201.0,0,1200.2,1732.9
0150-labyrinth-16-0_p126.smt2,,ok,sat,441.9,0,440.6,1460.6
0150-labyrinth-16-0_p127.smt2,,to,unknown,1201.0,0,1199.8,1790.7
0150-labyrinth-16-0_p13.smt2,,ok,sat,672.4,0,672.0,1542.9
0150-labyrinth-16-0_p14.smt2,,ok,sat,993.8,0,990.6,1689.8
0150-labyrinth-16-0_p15.smt2,,ok,sat,1093.0,0,1091.9,1719.6
0150-labyrinth-16-0_p16.smt2,,to,unknown,1201.0,0,1199.1,1903.1
0150-labyrinth-16-0_p17.smt2,,to,unknown,1201.0,0,1200.5,1724.0
0150-labyrinth-16-0_p18.smt2,,ok,sat,679.3,0,677.3,1537.2
0150-labyrinth-16-0_p19.smt2,,ok,sat,638.3,0,637.0,1513.2
0150-labyrinth-16-0_p2.smt2,,to,unknown,1201.0,0,1200.2,1670.3
0150-labyrinth-16-0_p20.smt2,,ok,sat,800.7,0,800.1,1604.1
0150-labyrinth-16-0_p21.smt2,,to,unknown,1201.0,0,1199.4,1704.3
0150-labyrinth-16-0_p22.smt2,,to,unknown,1201.0,0,1200.7,1779.0
0150-labyrinth-16-0_p23.smt2,,ok,sat,839.6,0,839.1,1613.6
0150-labyrinth-16-0_p24.smt2,,ok,sat,492.8,0,491.9,1464.3
0150-labyrinth-16-0_p25.smt2,,ok,sat,745.7,0,744.2,1539.5
0150-labyrinth-16-0_p26.smt2,,ok,sat,458.9,0,458.5,1458.2
0150-labyrinth-16-0_p27.smt2,,to,unknown,1201.0,0,1200.2,1750.9
0150-labyrinth-16-0_p28.smt2,,to,unknown,1201.0,0,1200.7,1709.6
0150-labyrinth-16-0_p29.smt2,,to,unknown,1201.0,0,1199.4,1695.7
0150-labyrinth-16-0_p3.smt2,,to,unknown,1201.0,0,1197.6,1866.7
0150-labyrinth-16-0_p30.smt2,,ok,sat,512.8,0,512.2,1469.0
0150-labyrinth-16-0_p31.smt2,,ok,sat,646.3,0,644.8,1504.2
0150-labyrinth-16-0_p32.smt2,,ok,sat,470.8,0,469.6,1472.9
0150-labyrinth-16-0_p33.smt2,,to,unknown,1201.0,0,1200.1,1796.2
0150-labyrinth-16-0_p34.smt2,,ok,sat,824.6,0,823.8,1629.6
0150-labyrinth-16-0_p35.smt2,,ok,sat,560.8,0,560.3,1486.0
0150-labyrinth-16-0_p36.smt2,,to,unknown,1201.0,0,1200.3,1761.1
0150-labyrinth-16-0_p37.smt2,,to,unknown,1201.0,0,1200.6,1767.8
0150-labyrinth-16-0_p38.smt2,,ok,sat,583.7,0,582.5,1531.1
0150-labyrinth-16-0_p39.smt2,,ok,sat,1026.1,0,1021.1,1776.1
0150-labyrinth-16-0_p4.smt2,,ok,sat,718.8,0,718.3,1549.5
0150-labyrinth-16-0_p40.smt2,,to,unknown,1201.0,0,1200.7,1691.0
0150-labyrinth-16-0_p41.smt2,,ok,sat,696.7,0,695.0,1541.1
0150-labyrinth-16-0_p42.smt2,,ok,sat,624.6,0,623.8,1503.8
0150-labyrinth-16-0_p43.smt2,,to,unknown,1201.0,0,1196.2,1881.0
0150-labyrinth-16-0_p44.smt2,,to,unknown,1201.0,0,1200.0,1808.4
0150-labyrinth-16-0_p45.smt2,,to,unknown,1201.0,0,1200.3,1691.4
0150-labyrinth-16-0_p46.smt2,,ok,sat,915.7,0,913.8,1601.4
0150-labyrinth-16-0_p47.smt2,,ok,sat,1156.9,0,1156.1,1813.9
0150-labyrinth-16-0_p48.smt2,,ok,sat,184.1,0,182.1,1413.0
0150-labyrinth-16-0_p49.smt2,,to,unknown,1201.0,0,1199.7,1768.8
0150-labyrinth-16-0_p5.smt2,,to,unknown,1201.0,0,1200.4,1857.2
0150-labyrinth-16-0_p50.smt2,,to,unknown,1201.0,0,1200.3,1761.2
0150-labyrinth-16-0_p51.smt2,,ok,sat,1185.6,0,1185.2,1782.9
0150-labyrinth-16-0_p52.smt2,,to,unknown,1201.0,0,1199.8,1723.4
0150-labyrinth-16-0_p53.smt2,,to,unknown,1201.0,0,1200.1,1779.3
0150-labyrinth-16-0_p54.smt2,,to,unknown,1201.0,0,1200.6,1716.1
0150-labyrinth-16-0_p55.smt2,,to,unknown,1201.0,0,1200.6,1819.7
0150-labyrinth-16-0_p56.smt2,,ok,sat,867.9,0,866.8,1595.9
0150-labyrinth-16-0_p57.smt2,,to,unknown,1201.0,0,1200.4,1742.2
0150-labyrinth-16-0_p58.smt2,,to,unknown,1201.0,0,1200.6,1784.3
0150-labyrinth-16-0_p59.smt2,,to,unknown,1201.0,0,1200.7,1806.7
0150-labyrinth-16-0_p6.smt2,,to,unknown,1201.0,0,1199.4,2035.3
0150-labyrinth-16-0_p60.smt2,,ok,sat,942.4,0,941.9,1778.5
0150-labyrinth-16-0_p61.smt2,,ok,sat,1021.8,0,1021.3,1756.4
0150-labyrinth-16-0_p62.smt2,,to,unknown,1201.0,0,1199.1,1802.1
0150-labyrinth-16-0_p63.smt2,,to,unknown,1201.0,0,1199.7,1709.8
0150-labyrinth-16-0_p64.smt2,,to,unknown,1201.0,0,1200.3,1837.5
0150-labyrinth-16-0_p65.smt2,,to,unknown,1201.0,0,1200.7,1690.9
0150-labyrinth-16-0_p66.smt2,,ok,sat,683.9,0,682.5,1546.5
0150-labyrinth-16-0_p67.smt2,,ok,sat,540.2,0,539.7,1483.5
0150-labyrinth-16-0_p68.smt2,,ok,sat,1065.6,0,1065.0,1668.4
0150-labyrinth-16-0_p69.smt2,,to,unknown,1201.0,0,1200.3,1645.0
0150-labyrinth-16-0_p7.smt2,,ok,sat,991.7,0,989.4,1708.9
0150-labyrinth-16-0_p70.smt2,,ok,sat,646.1,0,645.0,1511.8
0150-labyrinth-16-0_p71.smt2,,to,unknown,1201.0,0,1200.6,1761.2
0150-labyrinth-16-0_p72.smt2,,ok,sat,554.0,0,550.2,1484.2
0150-labyrinth-16-0_p73.smt2,,ok,sat,796.4,0,794.7,1585.5
0150-labyrinth-16-0_p74.smt2,,to,unknown,1201.0,0,1199.5,1883.0
0150-labyrinth-16-0_p75.smt2,,ok,sat,1138.7,0,1137.4,1740.3
0150-labyrinth-16-0_p76.smt2,,ok,sat,713.0,0,712.3,1539.2
0150-labyrinth-16-0_p77.smt2,,to,unknown,1201.0,0,1200.1,1730.6
0150-labyrinth-16-0_p78.smt2,,ok,sat,865.0,0,863.9,1640.0
