benchmark,config,status,result,time_real,exit_code,time_cpu,memory
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p0.smt2,,ok,unsat,31.4,0,31.3,202.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p1.smt2,,ok,sat,658.8,0,658.7,340.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p10.smt2,,ok,unsat,31.0,0,31.0,201.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p100.smt2,,ok,unsat,31.1,0,31.0,202.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p101.smt2,,ok,sat,627.7,0,627.7,339.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p102.smt2,,ok,unsat,31.1,0,31.1,202.0
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p103.smt2,,ok,sat,683.1,0,683.0,341.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p104.smt2,,ok,unsat,31.1,0,31.0,202.5
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p105.smt2,,ok,sat,712.4,0,712.4,338.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p106.smt2,,ok,unsat,31.4,0,31.3,201.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p107.smt2,,ok,sat,527.2,0,527.1,353.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p108.smt2,,ok,unsat,31.0,0,31.0,201.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p109.smt2,,ok,sat,743.9,0,743.8,333.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p11.smt2,,ok,sat,612.9,0,612.8,340.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p110.smt2,,ok,unsat,31.4,0,31.4,201.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p111.smt2,,ok,sat,790.5,0,790.4,362.0
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p112.smt2,,ok,unsat,31.6,0,31.5,202.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p113.smt2,,ok,sat,825.4,0,825.3,337.9
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p114.smt2,,ok,unsat,31.1,0,31.0,202.0
