benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,ok,unsat,30.6,0,30.6,377.3
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,unsat,30.5,0,30.5,376.5
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,sat,897.6,0,897.5,512.8
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p100.smt2,,ok,unsat,30.6,0,30.5,378.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p101.smt2,,ok,unsat,30.8,0,30.7,377.8
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p102.smt2,,ok,unsat,30.7,0,30.6,378.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p103.smt2,,ok,unsat,31.0,0,30.9,378.6
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p104.smt2,,ok,unsat,30.5,0,30.5,378.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p105.smt2,,ok,unsat,31.3,0,31.2,378.4
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p106.smt2,,ok,unsat,31.4,0,31.2,378.3
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p107.smt2,,ok,unsat,30.6,0,30.5,378.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p108.smt2,,ok,unsat,30.4,0,30.3,378.2
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p109.smt2,,ok,unsat,30.2,0,30.2,377.7
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,sat,804.2,0,804.1,527.6
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p110.smt2,,ok,unsat,30.4,0,30.2,378.1
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p111.smt2,,ok,unsat,30.6,0,30.5,378.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p112.smt2,,ok,unsat,30.4,0,30.3,361.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p113.smt2,,ok,unsat,30.4,0,30.3,361.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p114.smt2,,ok,unsat,30.3,0,30.2,360.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p115.smt2,,ok,unsat,30.8,0,30.7,360.7
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p116.smt2,,ok,unsat,30.7,0,30.7,360.8
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p117.smt2,,ok,unsat,30.0,0,29.9,360.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p118.smt2,,ok,unsat,31.0,0,30.9,361.1
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p119.smt2,,ok,unsat,31.2,0,31.1,360.9
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,unsat,30.3,0,30.3,378.2
