benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p0.smt2,,ok,sat,999.3,0,999.1,977.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p1.smt2,,ok,unsat,52.9,0,52.8,422.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p10.smt2,,ok,unsat,52.1,0,51.9,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p100.smt2,,ok,unsat,52.8,0,52.7,422.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p101.smt2,,ok,unsat,53.0,0,52.9,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p102.smt2,,ok,unsat,52.6,0,52.5,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p103.smt2,,ok,unsat,52.4,0,52.3,422.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p104.smt2,,ok,unsat,53.0,0,52.8,422.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p105.smt2,,ok,unsat,52.9,0,52.8,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p106.smt2,,ok,unsat,52.2,0,52.1,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p107.smt2,,ok,unsat,53.2,0,53.1,421.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p108.smt2,,ok,unsat,53.0,0,52.9,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p109.smt2,,ok,unsat,52.7,0,52.6,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p11.smt2,,ok,unsat,52.9,0,52.8,421.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p110.smt2,,ok,unsat,53.3,0,53.1,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p111.smt2,,ok,unsat,53.2,0,53.1,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p112.smt2,,ok,unsat,53.9,0,53.7,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p113.smt2,,ok,unsat,53.5,0,53.4,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p114.smt2,,ok,unsat,52.9,0,52.8,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p115.smt2,,ok,unsat,52.9,0,52.8,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p116.smt2,,ok,unsat,53.4,0,53.3,422.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p117.smt2,,ok,unsat,53.6,0,53.5,422.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p118.smt2,,ok,unsat,52.3,0,52.2,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p119.smt2,,ok,unsat,53.4,0,53.2,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p12.smt2,,ok,unsat,53.4,0,53.2,422.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p120.smt2,,ok,unsat,52.8,0,52.7,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p121.smt2,,ok,unsat,53.4,0,53.0,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p122.smt2,,ok,unsat,53.8,0,53.7,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p123.smt2,,ok,unsat,53.3,0,53.2,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p124.smt2,,ok,unsat,53.0,0,52.8,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p125.smt2,,ok,unsat,53.2,0,53.0,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p126.smt2,,ok,unsat,53.0,0,52.9,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p127.smt2,,ok,unsat,53.0,0,52.9,421.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p13.smt2,,ok,unsat,53.3,0,53.2,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p14.smt2,,ok,unsat,53.8,0,53.7,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p15.smt2,,ok,unsat,54.0,0,53.9,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,unsat,52.6,0,52.5,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p17.smt2,,ok,unsat,53.1,0,52.7,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,53.1,0,53.0,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,unsat,52.7,0,52.6,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p2.smt2,,ok,unsat,53.1,0,53.0,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p20.smt2,,ok,unsat,52.8,0,52.7,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p21.smt2,,ok,unsat,53.2,0,53.1,421.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p22.smt2,,ok,unsat,53.1,0,52.7,422.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p23.smt2,,ok,unsat,55.0,0,54.8,422.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p24.smt2,,ok,unsat,53.0,0,52.8,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p25.smt2,,ok,unsat,53.1,0,53.0,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p26.smt2,,ok,unsat,53.1,0,53.0,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p27.smt2,,ok,unsat,53.5,0,53.4,422.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p28.smt2,,ok,unsat,53.4,0,53.2,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p29.smt2,,ok,unsat,53.9,0,53.8,421.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p3.smt2,,ok,unsat,53.2,0,53.1,421.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p30.smt2,,ok,unsat,53.2,0,53.0,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p31.smt2,,ok,unsat,53.2,0,53.1,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p32.smt2,,ok,unsat,53.7,0,53.5,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p33.smt2,,ok,unsat,53.0,0,52.9,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p34.smt2,,ok,unsat,53.9,0,53.8,421.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p35.smt2,,ok,unsat,53.0,0,52.9,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p36.smt2,,ok,unsat,52.6,0,52.5,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p37.smt2,,ok,unsat,52.6,0,52.5,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p38.smt2,,ok,unsat,53.1,0,53.0,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p39.smt2,,ok,unsat,53.0,0,52.8,421.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p4.smt2,,ok,unsat,53.3,0,53.2,421.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p40.smt2,,ok,unsat,52.7,0,52.6,421.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p41.smt2,,ok,unsat,53.8,0,53.7,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p42.smt2,,ok,unsat,53.8,0,53.6,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p43.smt2,,ok,unsat,53.0,0,52.8,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p44.smt2,,ok,unsat,53.1,0,52.9,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p45.smt2,,ok,unsat,53.1,0,52.9,421.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p46.smt2,,ok,unsat,53.2,0,53.1,422.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p47.smt2,,ok,unsat,53.9,0,53.4,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p48.smt2,,ok,unsat,52.7,0,52.6,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p49.smt2,,ok,unsat,52.6,0,52.5,421.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p5.smt2,,ok,unsat,53.5,0,53.4,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p50.smt2,,ok,unsat,53.3,0,53.1,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p51.smt2,,ok,unsat,52.9,0,52.7,421.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p52.smt2,,ok,unsat,53.6,0,53.4,421.7
