benchmark,config,status,result,time_real,exit_code,time_cpu,memory
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,441.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p1.smt2,,ok,unsat,21.1,0,20.8,221.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p10.smt2,,ok,unsat,20.7,0,20.6,221.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p100.smt2,,ok,unsat,21.0,0,20.9,221.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p101.smt2,,ok,unsat,20.8,0,20.7,222.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p102.smt2,,ok,unsat,21.0,0,20.9,221.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p103.smt2,,ok,unsat,20.6,0,20.6,221.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p104.smt2,,ok,unsat,20.6,0,20.5,221.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p105.smt2,,ok,unsat,20.9,0,20.8,222.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p106.smt2,,ok,unsat,20.8,0,20.7,221.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p107.smt2,,ok,unsat,21.0,0,21.0,221.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p108.smt2,,ok,unsat,20.8,0,20.7,221.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p109.smt2,,ok,unsat,21.6,0,21.5,221.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,20.6,0,20.5,221.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p110.smt2,,ok,unsat,20.6,0,20.6,221.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p111.smt2,,ok,unsat,20.8,0,20.7,221.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p112.smt2,,ok,unsat,20.8,0,20.6,221.5
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p113.smt2,,ok,unsat,20.7,0,20.6,221.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p114.smt2,,ok,unsat,21.2,0,21.1,222.1
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p115.smt2,,ok,unsat,20.7,0,20.6,220.9
