benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,576.8
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,ok,sat,1172.6,0,1172.6,489.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1201.0,581.7
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p100.smt2,,ok,sat,1160.7,0,1160.7,603.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p101.smt2,,ok,sat,928.3,0,928.2,497.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p102.smt2,,to,unknown,1201.0,0,1201.0,584.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p103.smt2,,to,unknown,1201.0,0,1201.0,837.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p104.smt2,,to,unknown,1201.0,0,1201.0,591.1
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p105.smt2,,ok,sat,928.5,0,928.3,842.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p106.smt2,,ok,sat,558.0,0,557.8,457.9
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p107.smt2,,to,unknown,1201.0,0,1201.0,837.8
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p108.smt2,,ok,unsat,33.3,0,33.3,314.7
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p109.smt2,,ok,unsat,33.6,0,33.6,315.3
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,577.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p110.smt2,,ok,unsat,33.2,0,33.1,314.7
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p111.smt2,,ok,unsat,33.7,0,33.6,315.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p112.smt2,,ok,sat,748.5,0,748.4,488.8
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p113.smt2,,to,unknown,1201.0,0,1200.9,589.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p114.smt2,,ok,sat,702.8,0,702.7,596.7
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p115.smt2,,to,unknown,1201.0,0,1201.0,517.1
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p116.smt2,,to,unknown,1201.0,0,1200.9,583.6
