benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p0.smt2,,ok,sat,1064.2,0,1064.0,776.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p1.smt2,,ok,sat,1140.7,0,1140.6,874.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1200.9,751.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p100.smt2,,ok,sat,1166.7,0,1166.5,902.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p101.smt2,,ok,sat,995.7,0,995.6,806.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p102.smt2,,ok,sat,1040.9,0,1040.7,799.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p103.smt2,,ok,unsat,85.6,0,85.5,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p104.smt2,,ok,unsat,85.6,0,85.5,620.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p105.smt2,,ok,unsat,86.7,0,86.6,622.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p106.smt2,,ok,unsat,84.2,0,84.1,621.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p107.smt2,,ok,unsat,84.2,0,84.1,599.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p108.smt2,,ok,sat,964.2,0,964.0,818.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p109.smt2,,ok,sat,1175.5,0,1175.4,853.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p11.smt2,,ok,unsat,85.1,0,85.0,599.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p110.smt2,,ok,sat,1068.9,0,1068.7,920.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p111.smt2,,ok,unsat,84.3,0,84.2,599.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p112.smt2,,ok,unsat,84.4,0,84.2,598.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p113.smt2,,ok,unsat,84.5,0,84.4,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p114.smt2,,ok,unsat,84.8,0,84.7,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p115.smt2,,ok,unsat,84.9,0,84.8,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p116.smt2,,ok,unsat,84.3,0,84.1,598.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p117.smt2,,ok,unsat,83.6,0,83.5,598.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p118.smt2,,ok,unsat,85.6,0,85.5,599.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p119.smt2,,ok,unsat,84.3,0,84.1,599.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p12.smt2,,ok,sat,975.9,0,975.8,779.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p120.smt2,,ok,unsat,84.5,0,84.4,599.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p121.smt2,,ok,unsat,84.5,0,84.5,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p122.smt2,,ok,unsat,84.9,0,84.7,599.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p123.smt2,,ok,unsat,84.8,0,84.7,599.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p124.smt2,,ok,unsat,84.0,0,83.9,598.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p125.smt2,,ok,unsat,85.1,0,85.0,599.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p126.smt2,,ok,unsat,84.1,0,84.0,599.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p127.smt2,,ok,unsat,84.8,0,84.7,599.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p13.smt2,,ok,sat,1133.0,0,1132.8,907.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p14.smt2,,ok,sat,1020.4,0,1020.3,807.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p15.smt2,,ok,unsat,84.3,0,84.2,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p16.smt2,,ok,sat,1159.5,0,1159.4,761.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p17.smt2,,ok,sat,988.7,0,988.6,856.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p18.smt2,,ok,sat,901.0,0,900.8,791.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p19.smt2,,ok,unsat,86.1,0,86.0,599.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p2.smt2,,ok,sat,904.2,0,904.1,784.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p20.smt2,,ok,sat,1009.9,0,1009.7,784.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p21.smt2,,ok,sat,1140.5,0,1140.4,787.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p22.smt2,,ok,sat,1071.1,0,1070.8,775.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p23.smt2,,ok,unsat,83.8,0,83.7,599.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p24.smt2,,ok,sat,771.5,0,771.2,734.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p25.smt2,,ok,sat,811.7,0,811.5,721.7
