benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SEQ038_size8_p0.smt2,,ok,unsat,2.4,0,2.3,18.7
SEQ038_size8_p1.smt2,,ok,unsat,0.8,0,0.8,15.9
SEQ038_size8_p10.smt2,,ok,unsat,2.7,0,2.7,17.1
SEQ038_size8_p11.smt2,,ok,unsat,1.2,0,1.1,16.7
SEQ038_size8_p12.smt2,,ok,unsat,4.5,0,4.5,17.8
SEQ038_size8_p13.smt2,,ok,unsat,1.6,0,1.5,16.3
SEQ038_size8_p14.smt2,,ok,unsat,28.1,0,28.1,19.4
SEQ038_size8_p15.smt2,,ok,unsat,8.5,0,8.4,18.0
SEQ038_size8_p16.smt2,,ok,unsat,12.1,0,12.1,18.7
SEQ038_size8_p17.smt2,,ok,unsat,2.8,0,2.8,17.5
SEQ038_size8_p18.smt2,,ok,unsat,35.6,0,35.6,20.9
SEQ038_size8_p19.smt2,,ok,unsat,9.0,0,9.0,17.2
SEQ038_size8_p2.smt2,,ok,unsat,6.6,0,6.6,17.9
SEQ038_size8_p20.smt2,,ok,unsat,29.1,0,29.1,18.7
SEQ038_size8_p21.smt2,,ok,unsat,8.6,0,8.5,17.7
SEQ038_size8_p22.smt2,,ok,unsat,220.8,0,220.8,31.1
SEQ038_size8_p23.smt2,,ok,unsat,41.1,0,41.1,18.2
SEQ038_size8_p24.smt2,,ok,unsat,20.0,0,20.0,18.7
SEQ038_size8_p25.smt2,,ok,unsat,5.1,0,5.1,18.0
SEQ038_size8_p26.smt2,,ok,unsat,73.2,0,73.2,21.7
SEQ038_size8_p27.smt2,,ok,unsat,16.8,0,16.8,18.1
SEQ038_size8_p28.smt2,,ok,unsat,74.7,0,74.7,21.6
SEQ038_size8_p29.smt2,,ok,unsat,15.4,0,15.4,18.1
SEQ038_size8_p3.smt2,,ok,unsat,1.8,0,1.8,17.2
SEQ038_size8_p30.smt2,,ok,unsat,430.2,0,430.1,36.3
SEQ038_size8_p31.smt2,,ok,unsat,77.7,0,77.7,20.6
SEQ038_size8_p4.smt2,,ok,unsat,1.2,0,1.2,17.5
SEQ038_size8_p5.smt2,,ok,unsat,0.6,0,0.6,15.4
SEQ038_size8_p6.smt2,,ok,unsat,12.5,0,12.5,18.3
SEQ038_size8_p7.smt2,,ok,unsat,3.9,0,3.9,17.7
SEQ038_size8_p8.smt2,,ok,unsat,0.9,0,0.9,17.1
SEQ038_size8_p9.smt2,,ok,unsat,0.5,0,0.5,15.6
