benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_simple1.i_3_6_2.bpl_11_p0.smt2,,ok,unsat,40.5,0,40.5,16.5
_simple1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,37.7,0,37.6,15.8
_simple1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,438.1,0,438.1,36.2
_simple1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,13.6,0,13.6,13.5
_simple1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,15.7,0,15.7,12.4
_simple1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,9.5,0,9.5,11.6
_simple1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,12.6,0,12.6,11.7
_simple1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,7.7,0,7.6,11.9
_simple1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,148.5,0,148.5,24.6
_simple1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,179.4,0,179.4,29.9
_simple1.i_3_6_2.bpl_11_p18.smt2,,ok,unsat,445.8,0,445.8,32.5
_simple1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,157.6,0,157.6,27.1
_simple1.i_3_6_2.bpl_11_p2.smt2,,ok,unsat,31.2,0,31.2,16.1
_simple1.i_3_6_2.bpl_11_p20.smt2,,ok,unsat,11.4,0,11.3,11.6
_simple1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,11.5,0,11.5,11.8
_simple1.i_3_6_2.bpl_11_p22.smt2,,ok,unsat,10.2,0,10.2,12.6
_simple1.i_3_6_2.bpl_11_p23.smt2,,ok,unsat,11.4,0,11.4,11.4
_simple1.i_3_6_2.bpl_11_p24.smt2,,ok,unsat,441.9,0,441.8,31.3
_simple1.i_3_6_2.bpl_11_p25.smt2,,ok,unsat,165.0,0,165.0,25.8
_simple1.i_3_6_2.bpl_11_p26.smt2,,ok,unsat,699.4,0,699.3,48.2
_simple1.i_3_6_2.bpl_11_p27.smt2,,ok,unsat,141.4,0,141.4,26.7
_simple1.i_3_6_2.bpl_11_p28.smt2,,ok,unsat,7.6,0,7.6,11.6
_simple1.i_3_6_2.bpl_11_p29.smt2,,ok,unsat,13.6,0,13.6,11.9
_simple1.i_3_6_2.bpl_11_p3.smt2,,ok,unsat,11.2,0,11.2,12.7
_simple1.i_3_6_2.bpl_11_p30.smt2,,ok,unsat,14.7,0,14.7,12.8
_simple1.i_3_6_2.bpl_11_p31.smt2,,ok,unsat,13.3,0,13.2,12.3
_simple1.i_3_6_2.bpl_11_p4.smt2,,ok,unsat,4.4,0,4.3,11.0
_simple1.i_3_6_2.bpl_11_p5.smt2,,ok,unsat,3.7,0,3.7,10.5
_simple1.i_3_6_2.bpl_11_p6.smt2,,ok,unsat,5.7,0,5.7,11.6
_simple1.i_3_6_2.bpl_11_p7.smt2,,ok,unsat,2.6,0,2.6,10.7
_simple1.i_3_6_2.bpl_11_p8.smt2,,ok,unsat,137.3,0,137.3,27.2
_simple1.i_3_6_2.bpl_11_p9.smt2,,ok,unsat,38.3,0,38.3,16.0
