benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_copy7_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,884.6,0,884.5,166.0
_standard_copy7_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,895.8,0,895.8,166.2
_standard_copy7_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,2.2,0,2.2,21.3
_standard_copy7_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,1.6,0,1.6,20.1
_standard_copy7_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,972.1,0,972.0,175.3
_standard_copy7_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,982.9,0,982.9,179.0
_standard_copy7_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,1.5,0,1.4,20.4
_standard_copy7_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,1.6,0,1.6,19.9
_standard_copy7_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,1.5,0,1.5,20.3
_standard_copy7_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,1.6,0,1.6,22.7
_standard_copy7_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,1.5,0,1.5,20.3
_standard_copy7_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,1.5,0,1.5,20.9
_standard_copy7_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,1.5,0,1.5,20.3
_standard_copy7_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,1.5,0,1.5,20.4
_standard_copy7_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,1.7,0,1.6,22.6
_standard_copy7_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,1.6,0,1.6,20.5
_standard_copy7_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,1.5,0,1.5,20.0
_standard_copy7_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,1.5,0,1.5,21.1
_standard_copy7_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,1.7,0,1.6,22.3
_standard_copy7_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,1.6,0,1.6,20.4
