benchmark,config,status,result,time_real,exit_code,time_cpu,memory
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p0.smt2,,ok,unsat,86.0,0,86.0,276.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p1.smt2,,ok,unsat,13.6,0,13.6,131.0
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p10.smt2,,ok,unsat,13.3,0,13.2,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p11.smt2,,ok,unsat,13.5,0,13.5,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p12.smt2,,ok,unsat,13.5,0,13.5,131.1
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p13.smt2,,ok,unsat,13.8,0,13.7,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p14.smt2,,ok,unsat,13.3,0,13.3,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p15.smt2,,ok,unsat,13.4,0,13.3,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p16.smt2,,ok,unsat,13.5,0,13.5,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p17.smt2,,ok,unsat,13.5,0,13.4,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p18.smt2,,ok,unsat,13.5,0,13.4,131.3
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p19.smt2,,ok,unsat,13.4,0,13.3,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p2.smt2,,ok,unsat,13.5,0,13.4,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p20.smt2,,ok,unsat,13.6,0,13.5,130.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p21.smt2,,ok,unsat,13.4,0,13.3,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p22.smt2,,ok,unsat,13.3,0,13.3,130.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p23.smt2,,ok,unsat,13.4,0,13.4,131.3
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p24.smt2,,ok,unsat,13.6,0,13.5,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p25.smt2,,ok,unsat,13.3,0,13.3,131.4
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p26.smt2,,ok,unsat,13.4,0,13.4,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p27.smt2,,ok,unsat,13.5,0,13.4,130.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p28.smt2,,ok,unsat,13.4,0,13.4,130.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p29.smt2,,ok,unsat,13.2,0,13.1,131.1
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p3.smt2,,ok,unsat,13.8,0,13.7,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p30.smt2,,ok,unsat,13.4,0,13.3,130.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p31.smt2,,ok,unsat,13.7,0,13.7,131.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p32.smt2,,ok,unsat,415.3,0,415.2,398.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p33.smt2,,ok,unsat,13.5,0,13.5,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p34.smt2,,ok,unsat,13.4,0,13.4,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p35.smt2,,ok,unsat,13.3,0,13.2,131.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p36.smt2,,ok,unsat,13.4,0,13.3,131.0
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p37.smt2,,ok,unsat,13.7,0,13.7,130.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p38.smt2,,ok,unsat,13.2,0,13.2,130.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p39.smt2,,ok,unsat,13.5,0,13.4,131.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p4.smt2,,ok,unsat,13.4,0,13.3,131.0
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p40.smt2,,ok,unsat,13.7,0,13.7,130.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p41.smt2,,ok,unsat,13.5,0,13.5,130.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p42.smt2,,ok,unsat,13.3,0,13.2,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p43.smt2,,ok,unsat,13.3,0,13.2,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p44.smt2,,ok,unsat,13.5,0,13.5,131.0
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p45.smt2,,ok,unsat,13.6,0,13.6,131.1
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p46.smt2,,ok,unsat,13.5,0,13.5,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p47.smt2,,ok,unsat,13.7,0,13.7,132.0
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p48.smt2,,ok,unsat,13.5,0,13.4,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p49.smt2,,ok,unsat,13.6,0,13.6,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p5.smt2,,ok,unsat,13.5,0,13.4,131.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p50.smt2,,ok,unsat,13.4,0,13.3,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p51.smt2,,ok,unsat,13.3,0,13.2,131.0
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p52.smt2,,ok,unsat,13.3,0,13.2,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p53.smt2,,ok,unsat,13.5,0,13.5,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p54.smt2,,ok,unsat,14.1,0,13.7,130.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p55.smt2,,ok,unsat,13.2,0,13.2,132.1
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p56.smt2,,ok,unsat,13.2,0,13.2,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p57.smt2,,ok,unsat,13.6,0,13.5,131.3
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p58.smt2,,ok,unsat,13.8,0,13.8,130.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p59.smt2,,ok,unsat,13.3,0,13.2,131.6
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p6.smt2,,ok,unsat,13.4,0,13.3,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p60.smt2,,ok,unsat,13.4,0,13.3,130.8
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p61.smt2,,ok,unsat,13.7,0,13.7,131.5
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p62.smt2,,ok,unsat,13.3,0,13.2,130.9
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p63.smt2,,ok,unsat,13.4,0,13.3,130.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p7.smt2,,ok,unsat,13.3,0,13.3,131.4
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p8.smt2,,ok,unsat,13.5,0,13.5,131.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate_p9.smt2,,ok,unsat,13.2,0,13.2,131.2
