benchmark,config,status,result,time_real,exit_code,time_cpu,memory
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1200.7,704.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p1.smt2,,ok,unsat,35.5,0,35.5,196.7
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p10.smt2,,ok,unsat,35.6,0,35.5,197.5
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p11.smt2,,ok,unsat,35.0,0,34.9,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p12.smt2,,ok,unsat,35.6,0,35.4,196.6
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p13.smt2,,ok,unsat,35.5,0,35.4,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p14.smt2,,ok,unsat,34.8,0,34.8,197.3
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p15.smt2,,ok,unsat,36.3,0,36.2,197.3
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,unsat,35.3,0,35.3,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p17.smt2,,ok,unsat,35.1,0,35.0,196.6
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,35.3,0,35.2,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,unsat,35.6,0,35.5,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p2.smt2,,ok,unsat,35.5,0,35.4,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p20.smt2,,ok,unsat,36.7,0,36.6,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p21.smt2,,ok,unsat,35.1,0,35.1,197.3
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p22.smt2,,ok,unsat,35.5,0,35.4,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p23.smt2,,ok,unsat,35.9,0,35.6,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p24.smt2,,ok,unsat,35.7,0,35.7,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p25.smt2,,ok,unsat,35.6,0,35.5,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p26.smt2,,ok,unsat,36.4,0,36.3,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p27.smt2,,ok,unsat,35.5,0,35.4,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p28.smt2,,ok,unsat,35.4,0,35.3,197.5
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p29.smt2,,ok,unsat,35.3,0,35.2,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p3.smt2,,ok,unsat,35.8,0,35.7,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p30.smt2,,ok,unsat,35.6,0,35.5,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p31.smt2,,ok,unsat,35.8,0,35.7,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p32.smt2,,to,unknown,1201.0,0,1201.0,1199.1
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p33.smt2,,ok,unsat,36.5,0,36.4,197.5
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p34.smt2,,ok,unsat,35.6,0,35.5,197.5
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p35.smt2,,ok,unsat,35.7,0,35.6,196.7
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p36.smt2,,ok,unsat,35.8,0,35.8,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p37.smt2,,ok,unsat,35.5,0,35.4,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p38.smt2,,ok,unsat,35.3,0,35.2,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p39.smt2,,ok,unsat,35.3,0,35.2,196.7
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p4.smt2,,ok,unsat,35.4,0,35.4,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p40.smt2,,ok,unsat,35.3,0,35.3,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p41.smt2,,ok,unsat,35.3,0,35.2,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p42.smt2,,ok,unsat,35.2,0,35.1,197.3
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p43.smt2,,ok,unsat,35.0,0,35.0,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p44.smt2,,ok,unsat,35.1,0,35.0,196.9
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p45.smt2,,ok,unsat,35.6,0,35.6,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p46.smt2,,ok,unsat,35.8,0,35.7,197.3
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p47.smt2,,ok,unsat,35.5,0,35.4,197.1
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p48.smt2,,ok,unsat,35.2,0,35.1,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p49.smt2,,ok,unsat,35.6,0,35.5,197.3
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p5.smt2,,ok,unsat,35.4,0,35.3,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p50.smt2,,ok,unsat,35.7,0,35.7,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p51.smt2,,ok,unsat,35.8,0,35.7,197.1
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p52.smt2,,ok,unsat,35.5,0,35.4,197.6
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p53.smt2,,ok,unsat,36.1,0,36.1,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p54.smt2,,ok,unsat,36.0,0,35.9,197.2
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p55.smt2,,ok,unsat,35.4,0,35.3,197.4
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p56.smt2,,ok,unsat,35.6,0,35.4,197.5
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p57.smt2,,ok,unsat,35.4,0,35.3,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p58.smt2,,ok,unsat,35.4,0,35.3,196.6
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p59.smt2,,ok,unsat,35.6,0,35.5,196.9
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p6.smt2,,ok,unsat,35.5,0,35.5,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p60.smt2,,ok,unsat,34.9,0,34.9,196.9
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p61.smt2,,ok,unsat,35.6,0,35.6,196.8
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p62.smt2,,ok,unsat,35.3,0,35.3,197.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate_p63.smt2,,ok,unsat,35.1,0,35.0,197.3
