benchmark,config,status,result,time_real,exit_code,time_cpu,memory
0110-labyrinth-16-0_p0.smt2,,ok,sat,678.3,0,667.2,1523.4
0110-labyrinth-16-0_p1.smt2,,ok,unsat,39.0,0,30.6,1042.4
0110-labyrinth-16-0_p10.smt2,,ok,unsat,36.6,0,31.1,1041.8
0110-labyrinth-16-0_p100.smt2,,ok,unsat,58.6,0,30.6,1041.5
0110-labyrinth-16-0_p101.smt2,,ok,unsat,57.3,0,31.5,1041.6
0110-labyrinth-16-0_p102.smt2,,ok,unsat,35.9,0,32.8,1042.1
0110-labyrinth-16-0_p103.smt2,,ok,unsat,43.4,0,31.0,1042.0
0110-labyrinth-16-0_p104.smt2,,ok,unsat,39.1,0,30.5,1041.7
0110-labyrinth-16-0_p105.smt2,,ok,unsat,41.1,0,30.2,1041.5
0110-labyrinth-16-0_p106.smt2,,ok,unsat,37.2,0,30.5,1041.5
0110-labyrinth-16-0_p107.smt2,,ok,unsat,37.8,0,31.8,1041.6
0110-labyrinth-16-0_p108.smt2,,ok,unsat,46.9,0,30.2,1041.8
0110-labyrinth-16-0_p109.smt2,,ok,unsat,56.4,0,30.0,1042.1
0110-labyrinth-16-0_p11.smt2,,ok,unsat,55.1,0,31.1,1041.7
0110-labyrinth-16-0_p110.smt2,,ok,unsat,37.1,0,30.8,1041.6
0110-labyrinth-16-0_p111.smt2,,ok,unsat,59.6,0,30.6,1041.4
0110-labyrinth-16-0_p112.smt2,,ok,unsat,34.9,0,30.8,1042.0
0110-labyrinth-16-0_p113.smt2,,ok,unsat,36.5,0,30.0,1041.5
0110-labyrinth-16-0_p114.smt2,,ok,unsat,48.8,0,30.0,1041.5
0110-labyrinth-16-0_p115.smt2,,ok,unsat,58.9,0,30.8,1041.6
0110-labyrinth-16-0_p116.smt2,,ok,unsat,62.4,0,30.3,1042.2
0110-labyrinth-16-0_p117.smt2,,ok,unsat,44.0,0,31.2,1041.7
0110-labyrinth-16-0_p118.smt2,,ok,unsat,39.1,0,30.8,1041.7
0110-labyrinth-16-0_p119.smt2,,ok,unsat,53.6,0,30.1,1041.8
0110-labyrinth-16-0_p12.smt2,,ok,unsat,38.1,0,30.7,1042.1
0110-labyrinth-16-0_p120.smt2,,ok,unsat,32.2,0,30.1,1041.5
0110-labyrinth-16-0_p121.smt2,,ok,unsat,38.9,0,30.5,1041.5
0110-labyrinth-16-0_p122.smt2,,ok,unsat,76.7,0,30.0,1041.6
0110-labyrinth-16-0_p123.smt2,,ok,unsat,60.7,0,30.1,1041.8
0110-labyrinth-16-0_p124.smt2,,ok,unsat,43.5,0,30.4,1041.8
