benchmark,config,status,result,time_real,exit_code,time_cpu,memory
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,ok,unsat,706.1,0,706.0,75.8
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,unsat,554.1,0,553.3,59.4
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,unsat,139.9,0,139.8,43.4
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p100.smt2,,ok,unsat,1.3,0,1.3,18.2
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p101.smt2,,ok,unsat,1.2,0,1.2,17.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p102.smt2,,ok,unsat,1.2,0,1.2,17.9
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p103.smt2,,ok,unsat,1.3,0,1.2,17.7
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p104.smt2,,ok,unsat,708.1,0,707.8,81.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p105.smt2,,ok,unsat,799.0,0,799.0,84.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p106.smt2,,ok,unsat,90.4,0,90.4,35.3
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p107.smt2,,ok,unsat,113.0,0,113.0,38.7
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p108.smt2,,ok,unsat,1.2,0,1.2,18.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p109.smt2,,ok,unsat,1.3,0,1.3,18.0
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,unsat,99.8,0,99.8,38.9
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p110.smt2,,ok,unsat,1.4,0,1.3,18.9
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p111.smt2,,ok,unsat,1.3,0,1.2,17.8
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p112.smt2,,ok,unsat,623.3,0,623.3,70.4
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p113.smt2,,ok,unsat,473.9,0,473.9,56.7
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p114.smt2,,ok,unsat,593.1,0,593.0,69.7
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p115.smt2,,ok,unsat,177.3,0,177.3,49.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p116.smt2,,ok,unsat,1.3,0,1.2,17.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p117.smt2,,ok,unsat,1.2,0,1.2,18.0
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p118.smt2,,ok,unsat,1.5,0,1.3,18.5
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p119.smt2,,ok,unsat,1.2,0,1.2,17.4
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,unsat,1.6,0,1.3,19.2
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p120.smt2,,ok,unsat,630.7,0,630.6,70.3
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p121.smt2,,ok,unsat,123.9,0,123.8,41.1
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p122.smt2,,ok,unsat,112.6,0,112.6,40.1
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p123.smt2,,ok,unsat,31.9,0,31.9,30.7
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p124.smt2,,ok,unsat,1.2,0,1.2,18.2
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p125.smt2,,ok,unsat,1.3,0,1.2,17.6
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p126.smt2,,ok,unsat,1.2,0,1.2,17.9
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p127.smt2,,ok,unsat,1.2,0,1.2,17.9
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p13.smt2,,ok,unsat,1.2,0,1.2,18.0
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p14.smt2,,ok,unsat,1.3,0,1.2,17.7
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate_p15.smt2,,ok,unsat,1.4,0,1.3,17.8
