benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p0.smt2,,ok,unsat,919.8,0,919.7,111.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p1.smt2,,ok,unsat,94.0,0,93.9,51.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p10.smt2,,ok,unsat,2.8,0,2.7,33.2
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p11.smt2,,ok,unsat,46.4,0,46.3,48.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,2.8,0,2.8,33.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,376.6,0,376.4,64.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,2.9,0,2.8,33.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,48.2,0,48.2,47.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p2.smt2,,ok,unsat,386.2,0,386.0,72.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p3.smt2,,ok,unsat,49.1,0,49.0,48.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p4.smt2,,ok,unsat,775.5,0,775.4,99.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p5.smt2,,ok,unsat,100.2,0,100.2,54.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p6.smt2,,ok,unsat,151.7,0,151.6,63.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p7.smt2,,ok,unsat,42.1,0,42.0,45.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p8.smt2,,ok,unsat,2.9,0,2.8,32.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p9.smt2,,ok,unsat,97.1,0,97.0,56.8
