benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sc-40.base.cvc_p0.smt2,,ok,unsat,381.0,0,381.0,58.6
sc-40.base.cvc_p1.smt2,,ok,unsat,154.1,0,154.1,55.3
sc-40.base.cvc_p10.smt2,,ok,unsat,1.3,0,1.3,28.2
sc-40.base.cvc_p11.smt2,,ok,unsat,1.6,0,1.6,32.0
sc-40.base.cvc_p12.smt2,,ok,unsat,2.0,0,2.0,31.8
sc-40.base.cvc_p13.smt2,,ok,unsat,2.7,0,2.7,32.6
sc-40.base.cvc_p14.smt2,,ok,unsat,1.3,0,1.3,32.5
sc-40.base.cvc_p15.smt2,,ok,unsat,1.4,0,1.3,33.0
sc-40.base.cvc_p2.smt2,,ok,unsat,1.0,0,0.9,24.1
sc-40.base.cvc_p3.smt2,,ok,unsat,1.4,0,1.4,32.2
sc-40.base.cvc_p4.smt2,,ok,unsat,361.7,0,361.7,60.4
sc-40.base.cvc_p5.smt2,,ok,unsat,371.5,0,371.4,59.0
sc-40.base.cvc_p6.smt2,,ok,unsat,386.0,0,385.9,66.4
sc-40.base.cvc_p7.smt2,,ok,unsat,164.1,0,164.1,56.7
sc-40.base.cvc_p8.smt2,,ok,unsat,1.3,0,1.3,28.6
sc-40.base.cvc_p9.smt2,,ok,unsat,1.3,0,1.3,31.9
