benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_const1.i_3_6_2.bpl_11_p0.smt2,,to,unknown,1201.0,0,1201.0,101.6
_const1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,749.1,0,749.1,79.6
_const1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,187.9,0,187.9,43.9
_const1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,160.2,0,160.2,34.7
_const1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,731.6,0,731.6,67.3
_const1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,763.5,0,763.4,73.4
_const1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,97.4,0,97.4,29.6
_const1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,51.6,0,51.6,25.2
_const1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,133.8,0,133.7,34.8
_const1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,102.4,0,102.4,30.8
_const1.i_3_6_2.bpl_11_p18.smt2,,ok,unsat,49.2,0,49.2,23.9
_const1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,27.1,0,27.0,21.0
_const1.i_3_6_2.bpl_11_p2.smt2,,ok,unsat,509.2,0,509.2,49.8
_const1.i_3_6_2.bpl_11_p20.smt2,,ok,unsat,168.9,0,168.9,39.5
_const1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,173.3,0,173.3,33.7
_const1.i_3_6_2.bpl_11_p22.smt2,,ok,unsat,45.5,0,45.5,23.6
_const1.i_3_6_2.bpl_11_p23.smt2,,ok,unsat,32.5,0,32.5,23.2
_const1.i_3_6_2.bpl_11_p24.smt2,,ok,unsat,169.6,0,169.6,41.7
_const1.i_3_6_2.bpl_11_p25.smt2,,ok,unsat,174.3,0,174.2,40.4
_const1.i_3_6_2.bpl_11_p26.smt2,,ok,unsat,49.1,0,49.1,23.6
_const1.i_3_6_2.bpl_11_p27.smt2,,ok,unsat,34.7,0,34.7,22.0
_const1.i_3_6_2.bpl_11_p28.smt2,,ok,unsat,154.0,0,154.0,36.7
_const1.i_3_6_2.bpl_11_p29.smt2,,ok,unsat,153.5,0,153.5,36.2
_const1.i_3_6_2.bpl_11_p3.smt2,,ok,unsat,156.2,0,156.2,37.3
_const1.i_3_6_2.bpl_11_p30.smt2,,ok,unsat,34.1,0,34.1,22.4
_const1.i_3_6_2.bpl_11_p31.smt2,,ok,unsat,37.8,0,37.8,22.3
_const1.i_3_6_2.bpl_11_p4.smt2,,to,unknown,1201.0,0,1201.0,103.1
_const1.i_3_6_2.bpl_11_p5.smt2,,to,unknown,1201.0,0,1200.9,94.0
_const1.i_3_6_2.bpl_11_p6.smt2,,ok,unsat,377.5,0,377.5,41.7
_const1.i_3_6_2.bpl_11_p7.smt2,,ok,unsat,119.7,0,119.6,32.9
_const1.i_3_6_2.bpl_11_p8.smt2,,to,unknown,1201.0,0,1201.0,100.6
_const1.i_3_6_2.bpl_11_p9.smt2,,ok,unsat,748.7,0,748.7,79.3
