benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_two_index_04.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,443.4,0,443.4,75.8
_standard_two_index_04.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,102.5,0,102.4,39.3
_standard_two_index_04.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,23.5,0,23.4,19.1
_standard_two_index_04.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,9.3,0,9.3,16.3
_standard_two_index_04.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,44.5,0,44.4,25.7
_standard_two_index_04.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,22.1,0,22.1,18.5
_standard_two_index_04.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,51.6,0,51.6,26.9
_standard_two_index_04.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,28.4,0,28.4,20.6
_standard_two_index_04.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,60.6,0,60.5,29.2
_standard_two_index_04.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,34.5,0,34.5,23.6
_standard_two_index_04.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,65.6,0,65.6,28.8
_standard_two_index_04.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,26.0,0,26.0,20.5
_standard_two_index_04.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,104.8,0,104.8,37.7
_standard_two_index_04.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,18.4,0,18.4,19.0
_standard_two_index_04.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,10.7,0,10.6,16.7
_standard_two_index_04.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,43.2,0,43.2,25.0
_standard_two_index_04.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,16.5,0,16.5,18.4
_standard_two_index_04.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,38.0,0,37.9,22.7
_standard_two_index_04.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,24.2,0,24.2,19.5
_standard_two_index_04.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,23.5,0,23.5,18.5
_standard_two_index_04.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,14.1,0,14.1,16.1
_standard_two_index_04.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,30.4,0,30.4,20.9
_standard_two_index_04.i_3_2_2.bpl_11_p29.smt2,,ok,unsat,29.1,0,29.1,21.4
_standard_two_index_04.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,51.0,0,50.9,25.4
_standard_two_index_04.i_3_2_2.bpl_11_p30.smt2,,ok,unsat,43.3,0,43.3,25.2
_standard_two_index_04.i_3_2_2.bpl_11_p31.smt2,,ok,unsat,34.7,0,34.7,22.5
_standard_two_index_04.i_3_2_2.bpl_11_p4.smt2,,ok,unsat,43.5,0,43.4,28.1
_standard_two_index_04.i_3_2_2.bpl_11_p5.smt2,,ok,unsat,14.0,0,14.0,18.0
_standard_two_index_04.i_3_2_2.bpl_11_p6.smt2,,ok,unsat,93.3,0,93.3,37.1
_standard_two_index_04.i_3_2_2.bpl_11_p7.smt2,,ok,unsat,17.3,0,17.3,19.0
_standard_two_index_04.i_3_2_2.bpl_11_p8.smt2,,ok,unsat,55.0,0,55.0,28.9
_standard_two_index_04.i_3_2_2.bpl_11_p9.smt2,,ok,unsat,21.5,0,21.5,20.7
