benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,ok,unsat,12.3,0,12.3,86.6
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,ok,unsat,12.5,0,12.5,85.7
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,ok,unsat,12.4,0,12.3,87.3
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,ok,unsat,12.4,0,12.4,86.3
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p12.smt2,,ok,unsat,12.7,0,12.6,87.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p13.smt2,,ok,unsat,12.8,0,12.8,85.9
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p14.smt2,,ok,unsat,12.3,0,12.3,85.8
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p15.smt2,,ok,unsat,12.5,0,12.5,85.9
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p16.smt2,,to,unknown,1201.0,0,1201.0,462.7
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p17.smt2,,ok,unsat,12.4,0,12.4,86.6
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p18.smt2,,ok,unsat,12.5,0,12.5,86.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p19.smt2,,ok,unsat,12.5,0,12.5,86.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p2.smt2,,ok,unsat,12.6,0,12.6,86.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p20.smt2,,ok,unsat,12.4,0,12.4,85.9
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p21.smt2,,ok,unsat,12.4,0,12.4,85.8
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p22.smt2,,ok,unsat,12.6,0,12.6,86.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p23.smt2,,ok,unsat,12.5,0,12.5,86.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p24.smt2,,ok,unsat,12.3,0,12.3,86.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p25.smt2,,ok,unsat,12.4,0,12.3,86.3
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p26.smt2,,ok,unsat,12.4,0,12.3,87.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p27.smt2,,ok,unsat,12.3,0,12.3,86.2
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p28.smt2,,ok,unsat,12.5,0,12.4,86.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p29.smt2,,ok,unsat,12.4,0,12.3,85.8
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p3.smt2,,ok,unsat,12.5,0,12.4,86.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p30.smt2,,ok,unsat,12.5,0,12.5,85.9
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p31.smt2,,ok,unsat,12.4,0,12.4,86.3
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p4.smt2,,ok,unsat,12.5,0,12.4,87.5
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p5.smt2,,ok,unsat,12.6,0,12.5,86.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p6.smt2,,ok,unsat,12.5,0,12.5,86.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p7.smt2,,ok,unsat,12.7,0,12.6,85.9
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p8.smt2,,ok,unsat,12.5,0,12.5,86.4
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate_p9.smt2,,ok,unsat,12.9,0,12.8,86.4
