benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-40.base.cvc_p0.smt2,,ok,unsat,795.0,0,794.8,92.7
uart-40.base.cvc_p1.smt2,,ok,unsat,630.1,0,629.7,84.0
uart-40.base.cvc_p10.smt2,,ok,unsat,85.4,0,85.4,65.6
uart-40.base.cvc_p11.smt2,,ok,unsat,40.2,0,40.2,60.5
uart-40.base.cvc_p12.smt2,,ok,unsat,2.1,0,2.1,44.2
uart-40.base.cvc_p13.smt2,,ok,unsat,1.5,0,1.5,40.1
uart-40.base.cvc_p14.smt2,,ok,unsat,2.2,0,2.2,43.8
uart-40.base.cvc_p15.smt2,,ok,unsat,1.5,0,1.5,40.1
uart-40.base.cvc_p16.smt2,,ok,unsat,55.4,0,55.3,67.0
uart-40.base.cvc_p17.smt2,,ok,unsat,1.5,0,1.5,38.8
uart-40.base.cvc_p18.smt2,,ok,unsat,69.6,0,69.6,66.3
uart-40.base.cvc_p19.smt2,,ok,unsat,1.5,0,1.5,38.9
uart-40.base.cvc_p2.smt2,,ok,unsat,89.9,0,89.9,65.7
uart-40.base.cvc_p20.smt2,,ok,unsat,5.1,0,5.1,46.8
uart-40.base.cvc_p21.smt2,,ok,unsat,1.5,0,1.5,38.7
uart-40.base.cvc_p22.smt2,,ok,unsat,2.0,0,2.0,44.1
uart-40.base.cvc_p23.smt2,,ok,unsat,1.5,0,1.5,39.4
uart-40.base.cvc_p24.smt2,,ok,unsat,1.5,0,1.5,38.8
uart-40.base.cvc_p25.smt2,,ok,unsat,1.5,0,1.5,38.7
uart-40.base.cvc_p26.smt2,,ok,unsat,1.5,0,1.5,39.1
uart-40.base.cvc_p27.smt2,,ok,unsat,1.5,0,1.5,38.8
uart-40.base.cvc_p28.smt2,,ok,unsat,1.6,0,1.5,39.1
uart-40.base.cvc_p29.smt2,,ok,unsat,1.5,0,1.5,39.2
uart-40.base.cvc_p3.smt2,,ok,unsat,92.8,0,92.8,64.9
uart-40.base.cvc_p30.smt2,,ok,unsat,1.5,0,1.5,38.9
uart-40.base.cvc_p31.smt2,,ok,unsat,1.5,0,1.5,38.8
uart-40.base.cvc_p4.smt2,,ok,unsat,1.9,0,1.9,43.1
uart-40.base.cvc_p5.smt2,,ok,unsat,1.6,0,1.5,40.8
uart-40.base.cvc_p6.smt2,,ok,unsat,2.0,0,2.0,43.7
uart-40.base.cvc_p7.smt2,,ok,unsat,1.5,0,1.5,40.3
uart-40.base.cvc_p8.smt2,,ok,unsat,67.8,0,67.8,68.0
uart-40.base.cvc_p9.smt2,,ok,unsat,46.2,0,46.2,62.1
