benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_init6_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,642.4,0,642.3,115.7
_standard_init6_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,610.6,0,610.5,114.0
_standard_init6_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,659.4,0,657.9,122.6
_standard_init6_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,765.3,0,764.0,131.4
_standard_init6_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,542.4,0,542.4,100.8
_standard_init6_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,513.5,0,513.5,97.1
_standard_init6_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,637.9,0,637.9,110.8
_standard_init6_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,698.8,0,695.1,127.9
_standard_init6_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,668.9,0,668.8,121.7
_standard_init6_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,678.1,0,673.9,125.5
_standard_init6_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,700.2,0,700.2,128.7
_standard_init6_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,624.6,0,624.5,117.5
_standard_init6_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,729.9,0,729.8,128.1
_standard_init6_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,592.2,0,592.1,111.0
_standard_init6_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,575.5,0,575.5,110.7
_standard_init6_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,640.0,0,639.9,118.3
_standard_init6_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,661.1,0,661.0,117.3
_standard_init6_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,661.7,0,659.9,117.8
_standard_init6_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,696.8,0,696.8,121.8
_standard_init6_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,802.2,0,796.5,139.5
_standard_init6_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,782.1,0,780.6,134.2
_standard_init6_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,663.9,0,662.9,115.5
_standard_init6_ground.i_3_2_2.bpl_7_p29.smt2,,ok,unsat,570.4,0,570.3,105.7
_standard_init6_ground.i_3_2_2.bpl_7_p3.smt2,,ok,unsat,605.1,0,605.1,108.4
_standard_init6_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,676.8,0,672.9,126.1
_standard_init6_ground.i_3_2_2.bpl_7_p31.smt2,,ok,unsat,724.4,0,724.3,127.9
_standard_init6_ground.i_3_2_2.bpl_7_p32.smt2,,ok,unsat,673.3,0,672.6,116.9
_standard_init6_ground.i_3_2_2.bpl_7_p33.smt2,,ok,unsat,529.6,0,529.5,108.7
_standard_init6_ground.i_3_2_2.bpl_7_p34.smt2,,ok,unsat,602.8,0,602.8,114.1
_standard_init6_ground.i_3_2_2.bpl_7_p35.smt2,,ok,unsat,566.0,0,565.9,101.4
_standard_init6_ground.i_3_2_2.bpl_7_p36.smt2,,ok,unsat,495.3,0,495.2,95.1
_standard_init6_ground.i_3_2_2.bpl_7_p37.smt2,,ok,unsat,500.7,0,500.7,92.0
_standard_init6_ground.i_3_2_2.bpl_7_p38.smt2,,ok,unsat,510.8,0,510.8,96.1
_standard_init6_ground.i_3_2_2.bpl_7_p39.smt2,,ok,unsat,507.5,0,507.4,95.6
_standard_init6_ground.i_3_2_2.bpl_7_p4.smt2,,ok,unsat,591.9,0,591.8,122.2
_standard_init6_ground.i_3_2_2.bpl_7_p40.smt2,,ok,unsat,557.8,0,557.7,106.1
_standard_init6_ground.i_3_2_2.bpl_7_p41.smt2,,ok,unsat,628.7,0,628.6,112.5
_standard_init6_ground.i_3_2_2.bpl_7_p42.smt2,,ok,unsat,732.9,0,732.8,126.9
_standard_init6_ground.i_3_2_2.bpl_7_p43.smt2,,ok,unsat,702.4,0,702.4,122.8
_standard_init6_ground.i_3_2_2.bpl_7_p44.smt2,,ok,unsat,541.9,0,541.8,101.5
_standard_init6_ground.i_3_2_2.bpl_7_p45.smt2,,ok,unsat,480.1,0,480.0,88.0
_standard_init6_ground.i_3_2_2.bpl_7_p46.smt2,,ok,unsat,611.9,0,611.9,112.0
_standard_init6_ground.i_3_2_2.bpl_7_p47.smt2,,ok,unsat,592.7,0,592.6,122.5
_standard_init6_ground.i_3_2_2.bpl_7_p48.smt2,,ok,unsat,638.7,0,638.6,115.9
_standard_init6_ground.i_3_2_2.bpl_7_p49.smt2,,ok,unsat,574.5,0,574.4,108.7
_standard_init6_ground.i_3_2_2.bpl_7_p5.smt2,,ok,unsat,532.6,0,532.6,112.7
_standard_init6_ground.i_3_2_2.bpl_7_p50.smt2,,ok,unsat,710.2,0,710.0,121.1
_standard_init6_ground.i_3_2_2.bpl_7_p51.smt2,,ok,unsat,605.9,0,605.9,109.0
_standard_init6_ground.i_3_2_2.bpl_7_p52.smt2,,ok,unsat,617.0,0,616.9,122.9
_standard_init6_ground.i_3_2_2.bpl_7_p53.smt2,,ok,unsat,480.0,0,480.0,92.9
_standard_init6_ground.i_3_2_2.bpl_7_p54.smt2,,ok,unsat,539.1,0,539.0,101.6
_standard_init6_ground.i_3_2_2.bpl_7_p55.smt2,,ok,unsat,485.7,0,485.6,90.6
_standard_init6_ground.i_3_2_2.bpl_7_p56.smt2,,ok,unsat,589.3,0,589.3,111.0
_standard_init6_ground.i_3_2_2.bpl_7_p57.smt2,,ok,unsat,575.3,0,575.2,107.1
_standard_init6_ground.i_3_2_2.bpl_7_p58.smt2,,ok,unsat,854.8,0,854.7,140.0
_standard_init6_ground.i_3_2_2.bpl_7_p59.smt2,,ok,unsat,693.7,0,692.0,119.9
_standard_init6_ground.i_3_2_2.bpl_7_p6.smt2,,ok,unsat,605.7,0,605.6,125.4
_standard_init6_ground.i_3_2_2.bpl_7_p60.smt2,,ok,unsat,519.0,0,518.9,100.4
_standard_init6_ground.i_3_2_2.bpl_7_p61.smt2,,ok,unsat,550.8,0,550.8,96.8
_standard_init6_ground.i_3_2_2.bpl_7_p62.smt2,,ok,unsat,596.0,0,595.9,110.5
_standard_init6_ground.i_3_2_2.bpl_7_p63.smt2,,ok,unsat,656.8,0,656.3,119.4
_standard_init6_ground.i_3_2_2.bpl_7_p7.smt2,,ok,unsat,566.6,0,566.5,100.8
_standard_init6_ground.i_3_2_2.bpl_7_p8.smt2,,ok,unsat,614.3,0,614.2,115.8
_standard_init6_ground.i_3_2_2.bpl_7_p9.smt2,,ok,unsat,605.0,0,604.9,111.2
