benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-223827_p0.smt2,,to,unknown,1201.0,0,1201.0,73.2
constraint-223827_p1.smt2,,to,unknown,1201.0,0,1201.0,76.0
constraint-223827_p10.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p11.smt2,,to,unknown,1201.0,0,1201.0,74.5
constraint-223827_p12.smt2,,to,unknown,1201.0,0,1201.0,71.7
constraint-223827_p13.smt2,,to,unknown,1201.0,0,1201.0,74.5
constraint-223827_p14.smt2,,to,unknown,1201.0,0,1201.0,75.9
constraint-223827_p15.smt2,,to,unknown,1201.0,0,1200.9,70.0
constraint-223827_p16.smt2,,to,unknown,1201.0,0,1201.0,77.3
constraint-223827_p17.smt2,,to,unknown,1201.0,0,1200.9,74.9
constraint-223827_p18.smt2,,to,unknown,1201.0,0,1201.0,77.7
constraint-223827_p19.smt2,,to,unknown,1201.0,0,1201.0,69.6
constraint-223827_p2.smt2,,to,unknown,1201.0,0,1201.0,70.1
constraint-223827_p20.smt2,,to,unknown,1201.0,0,1201.0,69.0
constraint-223827_p21.smt2,,to,unknown,1201.0,0,1201.0,74.0
constraint-223827_p22.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p23.smt2,,ok,sat,686.6,0,686.5,68.0
constraint-223827_p24.smt2,,to,unknown,1201.0,0,1200.9,71.4
constraint-223827_p25.smt2,,to,unknown,1201.0,0,1200.9,68.6
constraint-223827_p26.smt2,,to,unknown,1201.0,0,1201.0,73.8
constraint-223827_p27.smt2,,to,unknown,1201.0,0,1201.0,69.1
constraint-223827_p28.smt2,,to,unknown,1201.0,0,1201.0,72.0
constraint-223827_p29.smt2,,ok,sat,508.2,0,508.2,66.9
constraint-223827_p3.smt2,,to,unknown,1201.0,0,1201.0,71.5
constraint-223827_p30.smt2,,to,unknown,1201.0,0,1201.0,68.9
constraint-223827_p31.smt2,,to,unknown,1201.0,0,1201.0,70.1
constraint-223827_p32.smt2,,to,unknown,1201.0,0,1201.0,79.3
constraint-223827_p33.smt2,,to,unknown,1201.0,0,1201.0,75.8
constraint-223827_p34.smt2,,to,unknown,1201.0,0,1200.9,72.8
constraint-223827_p35.smt2,,to,unknown,1201.0,0,1201.0,70.4
constraint-223827_p36.smt2,,to,unknown,1201.0,0,1201.0,74.3
constraint-223827_p37.smt2,,to,unknown,1201.0,0,1201.0,78.3
constraint-223827_p38.smt2,,to,unknown,1201.0,0,1201.0,67.4
constraint-223827_p39.smt2,,to,unknown,1201.0,0,1201.0,70.6
constraint-223827_p4.smt2,,to,unknown,1201.0,0,1201.0,72.0
constraint-223827_p40.smt2,,to,unknown,1201.0,0,1200.9,79.2
constraint-223827_p41.smt2,,ok,sat,873.0,0,873.0,72.8
constraint-223827_p42.smt2,,to,unknown,1201.0,0,1201.0,75.6
constraint-223827_p43.smt2,,to,unknown,1201.0,0,1200.9,77.9
constraint-223827_p44.smt2,,to,unknown,1201.0,0,1201.0,69.7
constraint-223827_p45.smt2,,to,unknown,1201.0,0,1201.0,82.2
constraint-223827_p46.smt2,,to,unknown,1201.0,0,1201.0,66.5
constraint-223827_p47.smt2,,to,unknown,1201.0,0,1200.9,79.6
constraint-223827_p48.smt2,,to,unknown,1201.0,0,1201.0,78.7
constraint-223827_p49.smt2,,to,unknown,1201.0,0,1201.0,77.4
constraint-223827_p5.smt2,,to,unknown,1201.0,0,1201.0,76.6
constraint-223827_p50.smt2,,to,unknown,1201.0,0,1201.0,69.3
constraint-223827_p51.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p52.smt2,,to,unknown,1201.0,0,1201.0,77.5
constraint-223827_p53.smt2,,to,unknown,1201.0,0,1200.9,76.5
constraint-223827_p54.smt2,,to,unknown,1201.0,0,1201.0,71.8
constraint-223827_p55.smt2,,to,unknown,1201.0,0,1201.0,79.9
constraint-223827_p56.smt2,,to,unknown,1201.0,0,1200.8,74.8
constraint-223827_p57.smt2,,to,unknown,1201.0,0,1201.0,71.0
constraint-223827_p58.smt2,,to,unknown,1201.0,0,1201.0,74.2
constraint-223827_p59.smt2,,ok,sat,579.2,0,579.2,66.5
constraint-223827_p6.smt2,,to,unknown,1201.0,0,1201.0,77.8
constraint-223827_p60.smt2,,to,unknown,1201.0,0,1201.0,74.9
constraint-223827_p61.smt2,,to,unknown,1201.0,0,1201.0,68.2
constraint-223827_p62.smt2,,ok,sat,366.4,0,366.4,66.7
constraint-223827_p63.smt2,,to,unknown,1201.0,0,1201.0,65.5
constraint-223827_p7.smt2,,to,unknown,1201.0,0,1201.0,77.1
constraint-223827_p8.smt2,,to,unknown,1201.0,0,1201.0,67.5
constraint-223827_p9.smt2,,to,unknown,1201.0,0,1200.8,67.2
