benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple_startup_14nodes.abstract.induct_p0.smt2,,ok,unsat,691.9,0,691.8,238.9
simple_startup_14nodes.abstract.induct_p1.smt2,,ok,unsat,600.0,0,600.0,207.5
simple_startup_14nodes.abstract.induct_p10.smt2,,ok,unsat,644.5,0,644.4,205.8
simple_startup_14nodes.abstract.induct_p11.smt2,,ok,unsat,610.4,0,610.3,212.0
simple_startup_14nodes.abstract.induct_p12.smt2,,ok,unsat,760.2,0,760.1,260.4
simple_startup_14nodes.abstract.induct_p13.smt2,,ok,unsat,685.4,0,685.4,232.6
simple_startup_14nodes.abstract.induct_p14.smt2,,ok,unsat,695.9,0,695.8,241.2
simple_startup_14nodes.abstract.induct_p15.smt2,,ok,unsat,760.5,0,760.5,245.4
simple_startup_14nodes.abstract.induct_p16.smt2,,ok,unsat,2.1,0,2.1,45.1
simple_startup_14nodes.abstract.induct_p17.smt2,,ok,unsat,2.3,0,2.2,46.2
simple_startup_14nodes.abstract.induct_p18.smt2,,ok,unsat,2.1,0,2.1,45.2
simple_startup_14nodes.abstract.induct_p19.smt2,,ok,unsat,2.0,0,2.0,45.4
simple_startup_14nodes.abstract.induct_p2.smt2,,ok,unsat,648.6,0,648.5,213.7
simple_startup_14nodes.abstract.induct_p20.smt2,,ok,unsat,2.1,0,2.1,45.6
simple_startup_14nodes.abstract.induct_p21.smt2,,ok,unsat,2.1,0,2.1,45.4
simple_startup_14nodes.abstract.induct_p22.smt2,,ok,unsat,2.1,0,2.1,46.0
simple_startup_14nodes.abstract.induct_p23.smt2,,ok,unsat,2.1,0,2.1,45.7
simple_startup_14nodes.abstract.induct_p24.smt2,,ok,unsat,2.1,0,2.1,45.5
simple_startup_14nodes.abstract.induct_p25.smt2,,ok,unsat,2.2,0,2.1,46.1
simple_startup_14nodes.abstract.induct_p26.smt2,,ok,unsat,2.2,0,2.2,45.4
simple_startup_14nodes.abstract.induct_p27.smt2,,ok,unsat,2.2,0,2.1,45.0
simple_startup_14nodes.abstract.induct_p28.smt2,,ok,unsat,2.1,0,2.1,45.9
simple_startup_14nodes.abstract.induct_p29.smt2,,ok,unsat,2.1,0,2.1,45.7
simple_startup_14nodes.abstract.induct_p3.smt2,,ok,unsat,661.7,0,661.6,220.4
simple_startup_14nodes.abstract.induct_p30.smt2,,ok,unsat,2.2,0,2.2,45.8
simple_startup_14nodes.abstract.induct_p31.smt2,,ok,unsat,2.2,0,2.2,46.3
simple_startup_14nodes.abstract.induct_p32.smt2,,ok,unsat,2.2,0,2.2,46.1
simple_startup_14nodes.abstract.induct_p33.smt2,,ok,unsat,2.2,0,2.2,45.6
simple_startup_14nodes.abstract.induct_p34.smt2,,ok,unsat,2.1,0,2.1,45.5
simple_startup_14nodes.abstract.induct_p35.smt2,,ok,unsat,2.4,0,2.3,45.7
simple_startup_14nodes.abstract.induct_p36.smt2,,ok,unsat,643.8,0,643.7,205.5
simple_startup_14nodes.abstract.induct_p37.smt2,,ok,unsat,625.3,0,625.3,213.0
simple_startup_14nodes.abstract.induct_p38.smt2,,ok,unsat,623.1,0,623.1,207.3
simple_startup_14nodes.abstract.induct_p39.smt2,,ok,unsat,637.6,0,637.5,219.9
simple_startup_14nodes.abstract.induct_p4.smt2,,ok,unsat,628.9,0,628.9,216.8
simple_startup_14nodes.abstract.induct_p40.smt2,,ok,unsat,2.2,0,2.2,45.8
simple_startup_14nodes.abstract.induct_p41.smt2,,ok,unsat,2.3,0,2.0,45.4
simple_startup_14nodes.abstract.induct_p42.smt2,,ok,unsat,2.2,0,2.2,45.5
simple_startup_14nodes.abstract.induct_p43.smt2,,ok,unsat,2.2,0,2.2,46.1
simple_startup_14nodes.abstract.induct_p44.smt2,,ok,unsat,615.5,0,615.4,220.7
simple_startup_14nodes.abstract.induct_p45.smt2,,ok,unsat,744.8,0,744.7,245.0
simple_startup_14nodes.abstract.induct_p46.smt2,,ok,unsat,636.3,0,636.3,209.5
simple_startup_14nodes.abstract.induct_p47.smt2,,ok,unsat,595.6,0,595.6,214.8
simple_startup_14nodes.abstract.induct_p48.smt2,,ok,unsat,2.1,0,2.1,45.8
simple_startup_14nodes.abstract.induct_p49.smt2,,ok,unsat,2.1,0,2.1,45.5
simple_startup_14nodes.abstract.induct_p5.smt2,,ok,unsat,739.0,0,738.9,254.1
simple_startup_14nodes.abstract.induct_p50.smt2,,ok,unsat,2.1,0,2.1,45.8
simple_startup_14nodes.abstract.induct_p51.smt2,,ok,unsat,2.3,0,2.3,45.2
simple_startup_14nodes.abstract.induct_p52.smt2,,ok,unsat,594.4,0,594.3,217.6
simple_startup_14nodes.abstract.induct_p53.smt2,,ok,unsat,622.2,0,622.2,215.6
simple_startup_14nodes.abstract.induct_p54.smt2,,ok,unsat,594.0,0,593.9,216.8
simple_startup_14nodes.abstract.induct_p55.smt2,,ok,unsat,627.6,0,627.3,213.6
simple_startup_14nodes.abstract.induct_p56.smt2,,ok,unsat,2.2,0,2.2,45.9
simple_startup_14nodes.abstract.induct_p57.smt2,,ok,unsat,2.3,0,2.3,46.1
simple_startup_14nodes.abstract.induct_p58.smt2,,ok,unsat,2.2,0,2.2,45.4
simple_startup_14nodes.abstract.induct_p59.smt2,,ok,unsat,2.4,0,2.2,45.3
simple_startup_14nodes.abstract.induct_p6.smt2,,ok,unsat,667.5,0,667.4,227.7
simple_startup_14nodes.abstract.induct_p60.smt2,,ok,unsat,615.0,0,615.0,219.1
simple_startup_14nodes.abstract.induct_p61.smt2,,ok,unsat,613.4,0,613.4,218.0
simple_startup_14nodes.abstract.induct_p62.smt2,,ok,unsat,627.9,0,627.9,209.1
simple_startup_14nodes.abstract.induct_p63.smt2,,ok,unsat,687.4,0,687.3,230.1
simple_startup_14nodes.abstract.induct_p7.smt2,,ok,unsat,670.7,0,670.6,218.8
simple_startup_14nodes.abstract.induct_p8.smt2,,ok,unsat,601.3,0,601.3,194.1
