benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_91_p0.smt2,,to,unknown,1201.0,0,1201.0,94.4
smtcomp_91_p1.smt2,,to,unknown,1201.0,0,1201.0,115.4
smtcomp_91_p10.smt2,,to,unknown,1201.0,0,1201.0,110.0
smtcomp_91_p11.smt2,,to,unknown,1201.0,0,1201.0,92.5
smtcomp_91_p12.smt2,,to,unknown,1201.0,0,1201.0,89.9
smtcomp_91_p13.smt2,,to,unknown,1201.0,0,1201.0,97.3
smtcomp_91_p14.smt2,,to,unknown,1201.0,0,1201.0,88.7
smtcomp_91_p15.smt2,,to,unknown,1201.0,0,1201.0,94.9
smtcomp_91_p16.smt2,,to,unknown,1201.0,0,1201.0,112.8
smtcomp_91_p17.smt2,,to,unknown,1201.0,0,1201.0,91.1
smtcomp_91_p18.smt2,,to,unknown,1201.0,0,1201.0,96.3
smtcomp_91_p19.smt2,,to,unknown,1201.0,0,1201.0,92.6
smtcomp_91_p2.smt2,,to,unknown,1201.0,0,1201.0,93.4
smtcomp_91_p20.smt2,,to,unknown,1201.0,0,1201.0,111.7
smtcomp_91_p21.smt2,,to,unknown,1201.0,0,1201.0,93.6
smtcomp_91_p22.smt2,,to,unknown,1201.0,0,1201.0,95.2
smtcomp_91_p23.smt2,,to,unknown,1201.0,0,1201.0,110.1
smtcomp_91_p24.smt2,,to,unknown,1201.0,0,1201.0,114.4
smtcomp_91_p25.smt2,,to,unknown,1201.0,0,1201.0,96.2
smtcomp_91_p26.smt2,,ok,sat,381.2,0,381.2,110.0
smtcomp_91_p27.smt2,,to,unknown,1201.0,0,1201.0,94.0
smtcomp_91_p28.smt2,,to,unknown,1201.0,0,1201.0,95.8
smtcomp_91_p29.smt2,,to,unknown,1201.0,0,1201.0,111.1
smtcomp_91_p3.smt2,,to,unknown,1201.0,0,1201.0,95.6
smtcomp_91_p30.smt2,,ok,sat,379.8,0,379.8,114.4
smtcomp_91_p31.smt2,,to,unknown,1201.0,0,1200.9,97.3
smtcomp_91_p32.smt2,,to,unknown,1201.0,0,1201.0,113.5
smtcomp_91_p33.smt2,,to,unknown,1201.0,0,1201.0,92.2
smtcomp_91_p34.smt2,,to,unknown,1201.0,0,1201.0,116.2
smtcomp_91_p35.smt2,,to,unknown,1201.0,0,1201.0,110.7
smtcomp_91_p36.smt2,,to,unknown,1201.0,0,1201.0,95.2
smtcomp_91_p37.smt2,,to,unknown,1201.0,0,1201.0,93.4
smtcomp_91_p38.smt2,,to,unknown,1201.0,0,1201.0,94.0
smtcomp_91_p39.smt2,,to,unknown,1201.0,0,1201.0,93.8
smtcomp_91_p4.smt2,,to,unknown,1201.0,0,1201.0,95.0
smtcomp_91_p40.smt2,,to,unknown,1201.0,0,1201.0,94.5
smtcomp_91_p41.smt2,,to,unknown,1201.0,0,1201.0,91.1
smtcomp_91_p42.smt2,,to,unknown,1201.0,0,1201.0,96.3
smtcomp_91_p43.smt2,,ok,sat,239.9,0,239.9,115.7
smtcomp_91_p44.smt2,,to,unknown,1201.0,0,1201.0,98.5
smtcomp_91_p45.smt2,,to,unknown,1201.0,0,1201.0,95.7
smtcomp_91_p46.smt2,,to,unknown,1201.0,0,1201.0,117.4
smtcomp_91_p47.smt2,,to,unknown,1201.0,0,1201.0,120.9
smtcomp_91_p48.smt2,,to,unknown,1201.0,0,1201.0,111.3
smtcomp_91_p49.smt2,,to,unknown,1201.0,0,1201.0,113.5
smtcomp_91_p5.smt2,,to,unknown,1201.0,0,1201.0,110.4
smtcomp_91_p50.smt2,,to,unknown,1201.0,0,1201.0,114.6
smtcomp_91_p51.smt2,,to,unknown,1201.0,0,1201.0,97.9
smtcomp_91_p52.smt2,,to,unknown,1201.0,0,1201.0,97.6
smtcomp_91_p53.smt2,,ok,sat,936.4,0,936.3,127.6
smtcomp_91_p54.smt2,,to,unknown,1201.0,0,1201.0,117.6
smtcomp_91_p55.smt2,,to,unknown,1201.0,0,1201.0,94.6
smtcomp_91_p56.smt2,,to,unknown,1201.0,0,1201.0,96.7
smtcomp_91_p57.smt2,,to,unknown,1201.0,0,1200.9,99.2
smtcomp_91_p58.smt2,,to,unknown,1201.0,0,1201.0,113.6
smtcomp_91_p59.smt2,,to,unknown,1201.0,0,1201.0,93.3
smtcomp_91_p6.smt2,,to,unknown,1201.0,0,1201.0,92.2
smtcomp_91_p60.smt2,,to,unknown,1201.0,0,1201.0,112.0
smtcomp_91_p61.smt2,,to,unknown,1201.0,0,1201.0,96.4
smtcomp_91_p62.smt2,,to,unknown,1201.0,0,1201.0,113.9
smtcomp_91_p63.smt2,,to,unknown,1201.0,0,1201.0,124.0
smtcomp_91_p7.smt2,,to,unknown,1201.0,0,1201.0,94.7
smtcomp_91_p8.smt2,,to,unknown,1201.0,0,1201.0,92.8
smtcomp_91_p9.smt2,,to,unknown,1201.0,0,1200.9,97.9
