benchmark,config,status,result,time_real,exit_code,time_cpu,memory
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p0.smt2,,ok,sat,679.6,0,679.6,347.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p1.smt2,,ok,sat,499.1,0,499.0,328.0
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p10.smt2,,ok,sat,876.9,0,876.8,346.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p100.smt2,,ok,sat,616.6,0,616.4,329.2
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p101.smt2,,ok,sat,922.1,0,922.1,366.0
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p102.smt2,,ok,sat,818.4,0,818.3,341.2
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p103.smt2,,ok,unsat,31.0,0,30.9,195.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p104.smt2,,ok,sat,908.8,0,908.7,348.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p105.smt2,,ok,sat,739.4,0,739.3,340.7
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p106.smt2,,ok,sat,767.4,0,767.3,323.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p107.smt2,,ok,unsat,31.1,0,31.0,195.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p108.smt2,,ok,unsat,31.1,0,31.1,195.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p109.smt2,,ok,unsat,31.5,0,31.4,195.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p11.smt2,,ok,unsat,31.0,0,31.0,196.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p110.smt2,,ok,unsat,31.3,0,31.2,195.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p111.smt2,,ok,unsat,30.9,0,30.9,195.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p112.smt2,,ok,unsat,31.1,0,30.9,195.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p113.smt2,,ok,unsat,30.9,0,30.8,195.3
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p114.smt2,,ok,unsat,31.1,0,31.0,195.8
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p115.smt2,,ok,unsat,31.0,0,31.0,195.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p116.smt2,,ok,unsat,31.0,0,30.9,195.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p117.smt2,,ok,unsat,31.1,0,31.0,195.1
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p118.smt2,,ok,unsat,31.1,0,31.0,195.5
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p119.smt2,,ok,unsat,31.0,0,30.9,195.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p12.smt2,,ok,unsat,31.1,0,31.1,195.4
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate_p120.smt2,,ok,unsat,31.3,0,31.3,195.6
