benchmark,config,status,result,time_real,exit_code,time_cpu,memory
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p0.smt2,,ok,sat,157.3,0,157.2,371.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p1.smt2,,ok,sat,176.7,0,176.6,392.3
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p10.smt2,,ok,sat,924.4,0,924.3,441.8
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p100.smt2,,ok,unsat,180.7,0,180.7,327.6
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p101.smt2,,ok,unsat,140.3,0,140.2,308.5
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p102.smt2,,ok,unsat,50.2,0,50.0,296.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p103.smt2,,ok,unsat,20.7,0,20.6,222.5
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p104.smt2,,ok,unsat,91.4,0,91.4,313.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p105.smt2,,ok,unsat,175.9,0,175.8,382.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p106.smt2,,ok,unsat,142.5,0,142.4,389.4
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p107.smt2,,ok,unsat,21.2,0,21.1,223.1
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p108.smt2,,ok,unsat,20.8,0,20.7,222.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p109.smt2,,ok,unsat,21.2,0,21.2,222.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,20.8,0,20.7,223.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p110.smt2,,ok,unsat,20.8,0,20.7,222.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p111.smt2,,ok,unsat,21.0,0,20.9,222.6
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p112.smt2,,ok,unsat,20.8,0,20.7,222.6
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p113.smt2,,ok,unsat,20.8,0,20.7,222.5
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p114.smt2,,ok,unsat,20.8,0,20.8,222.2
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p115.smt2,,ok,unsat,20.7,0,20.6,222.6
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p116.smt2,,ok,unsat,20.9,0,20.9,223.3
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p117.smt2,,ok,unsat,20.9,0,20.8,222.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p118.smt2,,ok,unsat,20.8,0,20.8,222.7
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p119.smt2,,ok,unsat,21.1,0,21.0,222.6
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p12.smt2,,ok,unsat,20.7,0,20.7,222.5
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate_p120.smt2,,ok,unsat,21.0,0,20.9,222.4
