benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple_startup_15nodes.abstract.induct_p0.smt2,,ok,unsat,0.8,0,0.8,16.5
simple_startup_15nodes.abstract.induct_p1.smt2,,ok,unsat,0.9,0,0.9,16.7
simple_startup_15nodes.abstract.induct_p10.smt2,,ok,unsat,0.8,0,0.8,16.3
simple_startup_15nodes.abstract.induct_p100.smt2,,ok,unsat,2.4,0,2.3,50.7
simple_startup_15nodes.abstract.induct_p101.smt2,,ok,unsat,2.4,0,2.4,50.7
simple_startup_15nodes.abstract.induct_p102.smt2,,ok,unsat,2.5,0,2.4,50.4
simple_startup_15nodes.abstract.induct_p103.smt2,,ok,unsat,2.5,0,2.5,50.3
simple_startup_15nodes.abstract.induct_p104.smt2,,ok,unsat,1.2,0,0.9,16.3
simple_startup_15nodes.abstract.induct_p105.smt2,,ok,unsat,0.8,0,0.8,16.9
simple_startup_15nodes.abstract.induct_p106.smt2,,ok,unsat,0.8,0,0.8,16.4
simple_startup_15nodes.abstract.induct_p107.smt2,,ok,unsat,0.8,0,0.8,17.2
simple_startup_15nodes.abstract.induct_p108.smt2,,ok,unsat,0.9,0,0.9,16.4
simple_startup_15nodes.abstract.induct_p109.smt2,,ok,unsat,0.8,0,0.8,16.9
simple_startup_15nodes.abstract.induct_p11.smt2,,ok,unsat,0.8,0,0.8,16.7
simple_startup_15nodes.abstract.induct_p110.smt2,,ok,unsat,0.9,0,0.9,16.5
simple_startup_15nodes.abstract.induct_p111.smt2,,ok,unsat,0.8,0,0.8,16.5
simple_startup_15nodes.abstract.induct_p112.smt2,,ok,unsat,883.4,0,883.0,286.4
simple_startup_15nodes.abstract.induct_p113.smt2,,ok,unsat,82.2,0,82.2,103.8
simple_startup_15nodes.abstract.induct_p114.smt2,,ok,unsat,964.2,0,964.1,304.4
simple_startup_15nodes.abstract.induct_p115.smt2,,ok,unsat,131.6,0,131.6,128.0
simple_startup_15nodes.abstract.induct_p116.smt2,,ok,unsat,805.7,0,805.3,257.2
simple_startup_15nodes.abstract.induct_p117.smt2,,ok,unsat,32.9,0,32.9,84.4
simple_startup_15nodes.abstract.induct_p118.smt2,,ok,unsat,734.9,0,734.8,244.4
simple_startup_15nodes.abstract.induct_p119.smt2,,ok,unsat,36.5,0,36.4,83.9
simple_startup_15nodes.abstract.induct_p12.smt2,,ok,unsat,1.1,0,0.8,16.4
simple_startup_15nodes.abstract.induct_p120.smt2,,ok,unsat,0.8,0,0.8,16.7
simple_startup_15nodes.abstract.induct_p121.smt2,,ok,unsat,0.8,0,0.8,16.9
simple_startup_15nodes.abstract.induct_p122.smt2,,ok,unsat,0.9,0,0.9,16.4
simple_startup_15nodes.abstract.induct_p123.smt2,,ok,unsat,1.1,0,0.8,16.5
simple_startup_15nodes.abstract.induct_p124.smt2,,ok,unsat,0.8,0,0.8,17.2
simple_startup_15nodes.abstract.induct_p125.smt2,,ok,unsat,0.9,0,0.8,16.6
simple_startup_15nodes.abstract.induct_p126.smt2,,ok,unsat,0.9,0,0.8,16.3
simple_startup_15nodes.abstract.induct_p127.smt2,,ok,unsat,1.1,0,0.8,16.8
simple_startup_15nodes.abstract.induct_p13.smt2,,ok,unsat,0.8,0,0.8,16.1
simple_startup_15nodes.abstract.induct_p14.smt2,,ok,unsat,0.8,0,0.8,16.1
simple_startup_15nodes.abstract.induct_p15.smt2,,ok,unsat,0.8,0,0.8,16.7
simple_startup_15nodes.abstract.induct_p16.smt2,,ok,unsat,1.2,0,0.9,16.9
simple_startup_15nodes.abstract.induct_p17.smt2,,ok,unsat,0.9,0,0.9,16.2
simple_startup_15nodes.abstract.induct_p18.smt2,,ok,unsat,0.8,0,0.8,16.9
simple_startup_15nodes.abstract.induct_p19.smt2,,ok,unsat,0.8,0,0.8,16.6
simple_startup_15nodes.abstract.induct_p2.smt2,,ok,unsat,1.1,0,0.8,16.7
simple_startup_15nodes.abstract.induct_p20.smt2,,ok,unsat,0.9,0,0.9,16.5
simple_startup_15nodes.abstract.induct_p21.smt2,,ok,unsat,0.8,0,0.8,16.7
simple_startup_15nodes.abstract.induct_p22.smt2,,ok,unsat,0.8,0,0.8,16.9
simple_startup_15nodes.abstract.induct_p23.smt2,,ok,unsat,1.1,0,0.8,16.5
simple_startup_15nodes.abstract.induct_p24.smt2,,ok,unsat,0.8,0,0.8,17.0
simple_startup_15nodes.abstract.induct_p25.smt2,,ok,unsat,0.8,0,0.8,16.8
