benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p0.smt2,,ok,sat,966.2,0,965.9,519.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p1.smt2,,ok,sat,668.4,0,668.2,475.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p10.smt2,,ok,sat,800.4,0,800.1,491.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p100.smt2,,ok,sat,689.6,0,689.5,489.2
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p101.smt2,,ok,sat,718.7,0,718.6,560.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p102.smt2,,ok,unsat,39.5,0,39.3,284.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p103.smt2,,ok,unsat,39.5,0,39.2,284.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p104.smt2,,ok,sat,744.6,0,744.5,546.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p105.smt2,,ok,sat,1009.9,0,1009.8,569.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p106.smt2,,ok,sat,1199.1,0,1198.9,544.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p107.smt2,,ok,sat,804.2,0,804.0,508.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p108.smt2,,ok,sat,722.5,0,722.3,549.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p109.smt2,,ok,sat,755.6,0,755.5,514.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p11.smt2,,ok,sat,836.0,0,835.7,557.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p110.smt2,,ok,unsat,39.5,0,39.4,283.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p111.smt2,,ok,unsat,39.6,0,39.6,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p112.smt2,,ok,sat,781.8,0,781.6,525.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p113.smt2,,ok,sat,761.5,0,761.0,580.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p114.smt2,,ok,sat,882.9,0,882.6,636.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p115.smt2,,ok,sat,806.8,0,806.7,598.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p116.smt2,,ok,sat,1080.4,0,1080.0,569.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p117.smt2,,ok,sat,956.4,0,956.1,585.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p118.smt2,,ok,unsat,39.7,0,39.5,283.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p119.smt2,,ok,unsat,40.4,0,39.6,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p12.smt2,,ok,sat,561.9,0,561.7,480.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p120.smt2,,ok,unsat,39.8,0,39.7,283.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p121.smt2,,ok,unsat,39.6,0,39.4,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p122.smt2,,ok,unsat,40.7,0,40.1,284.8
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p123.smt2,,ok,unsat,39.2,0,39.0,283.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p124.smt2,,ok,unsat,39.4,0,39.4,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p125.smt2,,ok,unsat,39.6,0,39.4,284.2
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p126.smt2,,ok,unsat,39.6,0,39.1,284.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p127.smt2,,ok,unsat,39.6,0,39.4,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p13.smt2,,ok,sat,579.8,0,579.5,506.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p14.smt2,,ok,unsat,40.1,0,39.4,284.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p15.smt2,,ok,unsat,39.5,0,39.2,284.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p16.smt2,,ok,sat,984.2,0,984.1,574.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p17.smt2,,ok,sat,938.2,0,938.1,527.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p18.smt2,,ok,sat,836.0,0,835.8,547.3
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p19.smt2,,to,unknown,1201.0,0,1201.0,555.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p2.smt2,,ok,sat,765.3,0,765.2,561.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p20.smt2,,ok,sat,819.3,0,819.1,583.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p21.smt2,,ok,sat,838.7,0,838.3,557.1
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p22.smt2,,ok,unsat,39.6,0,39.4,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p23.smt2,,ok,unsat,40.3,0,40.2,283.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p24.smt2,,ok,unsat,39.4,0,39.3,284.5
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p25.smt2,,ok,unsat,39.8,0,39.3,284.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p26.smt2,,ok,unsat,39.3,0,39.2,283.9
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p27.smt2,,ok,unsat,39.6,0,39.5,283.7
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p28.smt2,,ok,unsat,39.7,0,39.5,284.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p29.smt2,,ok,unsat,39.6,0,39.3,284.4
sumit.t2.c_Iteration2_Loop_7-phaseTemplate_p3.smt2,,ok,sat,843.8,0,843.7,517.0
