benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-38.base.cvc_p0.smt2,,ok,unsat,0.6,0,0.5,12.4
uart-38.base.cvc_p1.smt2,,ok,unsat,0.5,0,0.5,13.4
uart-38.base.cvc_p10.smt2,,ok,unsat,0.7,0,0.7,13.9
uart-38.base.cvc_p100.smt2,,ok,unsat,443.7,0,443.7,76.9
uart-38.base.cvc_p101.smt2,,ok,unsat,82.8,0,82.8,63.0
uart-38.base.cvc_p102.smt2,,ok,unsat,1.4,0,1.4,37.2
uart-38.base.cvc_p103.smt2,,ok,unsat,1.4,0,1.4,37.9
uart-38.base.cvc_p104.smt2,,ok,unsat,68.1,0,68.1,62.6
uart-38.base.cvc_p105.smt2,,ok,unsat,40.3,0,40.3,58.1
uart-38.base.cvc_p106.smt2,,ok,unsat,1.6,0,1.5,37.3
uart-38.base.cvc_p107.smt2,,ok,unsat,1.4,0,1.4,37.1
uart-38.base.cvc_p108.smt2,,ok,unsat,1.4,0,1.4,37.9
uart-38.base.cvc_p109.smt2,,ok,unsat,1.5,0,1.5,38.1
uart-38.base.cvc_p11.smt2,,ok,unsat,0.6,0,0.5,12.0
uart-38.base.cvc_p110.smt2,,ok,unsat,1.5,0,1.5,38.0
uart-38.base.cvc_p111.smt2,,ok,unsat,1.4,0,1.4,37.2
uart-38.base.cvc_p112.smt2,,ok,unsat,52.1,0,52.1,61.0
uart-38.base.cvc_p113.smt2,,ok,unsat,33.1,0,33.1,57.8
uart-38.base.cvc_p114.smt2,,ok,unsat,1.4,0,1.4,37.1
uart-38.base.cvc_p115.smt2,,ok,unsat,1.4,0,1.4,37.3
uart-38.base.cvc_p116.smt2,,ok,unsat,1.5,0,1.5,38.0
uart-38.base.cvc_p117.smt2,,ok,unsat,1.5,0,1.5,38.2
uart-38.base.cvc_p118.smt2,,ok,unsat,1.5,0,1.4,37.1
uart-38.base.cvc_p119.smt2,,ok,unsat,1.4,0,1.4,37.5
uart-38.base.cvc_p12.smt2,,ok,unsat,0.6,0,0.5,12.7
uart-38.base.cvc_p120.smt2,,ok,unsat,122.4,0,122.4,65.5
uart-38.base.cvc_p121.smt2,,ok,unsat,151.5,0,151.5,71.3
uart-38.base.cvc_p122.smt2,,ok,unsat,1.4,0,1.4,37.3
uart-38.base.cvc_p123.smt2,,ok,unsat,1.4,0,1.4,37.2
uart-38.base.cvc_p124.smt2,,ok,unsat,1.5,0,1.5,38.5
uart-38.base.cvc_p125.smt2,,ok,unsat,1.6,0,1.6,38.5
uart-38.base.cvc_p126.smt2,,ok,unsat,1.5,0,1.5,37.2
uart-38.base.cvc_p127.smt2,,ok,unsat,1.4,0,1.4,37.6
uart-38.base.cvc_p13.smt2,,ok,unsat,0.6,0,0.6,13.0
uart-38.base.cvc_p14.smt2,,ok,unsat,0.5,0,0.5,12.9
uart-38.base.cvc_p15.smt2,,ok,unsat,0.5,0,0.5,12.8
uart-38.base.cvc_p16.smt2,,ok,unsat,0.6,0,0.6,12.5
uart-38.base.cvc_p17.smt2,,ok,unsat,0.6,0,0.6,12.5
uart-38.base.cvc_p18.smt2,,ok,unsat,0.9,0,0.8,13.1
uart-38.base.cvc_p19.smt2,,ok,unsat,0.5,0,0.5,13.0
uart-38.base.cvc_p2.smt2,,ok,unsat,0.6,0,0.6,12.4
uart-38.base.cvc_p20.smt2,,ok,unsat,0.5,0,0.5,12.4
uart-38.base.cvc_p21.smt2,,ok,unsat,0.5,0,0.5,12.3
uart-38.base.cvc_p22.smt2,,ok,unsat,0.6,0,0.6,12.8
uart-38.base.cvc_p23.smt2,,ok,unsat,0.6,0,0.5,13.2
uart-38.base.cvc_p24.smt2,,ok,unsat,0.5,0,0.5,12.8
uart-38.base.cvc_p25.smt2,,ok,unsat,0.7,0,0.7,12.6
uart-38.base.cvc_p26.smt2,,ok,unsat,0.6,0,0.5,12.2
