benchmark,config,status,result,time_real,exit_code,time_cpu,memory
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1201.1,2475.3
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1201.3,4519.1
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1201.2,4492.9
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p100.smt2,,to,unknown,1201.0,0,1201.2,4500.9
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p101.smt2,,to,unknown,1201.0,0,1200.0,4487.9
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p102.smt2,,ok,unsat,100.5,0,100.4,486.5
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p103.smt2,,ok,unsat,100.5,0,100.4,486.5
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p104.smt2,,to,unknown,1201.0,0,1201.1,4499.2
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p105.smt2,,to,unknown,1201.0,0,1201.2,4500.9
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p106.smt2,,to,unknown,1201.0,0,1201.3,4490.0
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p107.smt2,,to,unknown,1201.0,0,1201.2,4500.4
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p108.smt2,,to,unknown,1201.0,0,1201.2,4495.1
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p109.smt2,,to,unknown,1201.0,0,1201.1,2468.6
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,2473.5
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate_p110.smt2,,ok,unsat,98.7,0,98.7,486.6
