benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-330061_p0.smt2,,to,unknown,1201.0,0,1201.0,91.4
constraint-330061_p1.smt2,,to,unknown,1201.0,0,1201.0,123.8
constraint-330061_p10.smt2,,to,unknown,1201.0,0,1201.0,79.7
constraint-330061_p11.smt2,,to,unknown,1201.0,0,1201.0,80.1
constraint-330061_p12.smt2,,to,unknown,1201.0,0,1201.0,82.1
constraint-330061_p13.smt2,,to,unknown,1201.0,0,1201.0,82.9
constraint-330061_p14.smt2,,to,unknown,1201.0,0,1201.0,83.6
constraint-330061_p15.smt2,,to,unknown,1201.0,0,1201.0,84.2
constraint-330061_p2.smt2,,to,unknown,1201.0,0,1201.0,80.4
constraint-330061_p3.smt2,,to,unknown,1201.0,0,1200.9,80.9
constraint-330061_p4.smt2,,to,unknown,1201.0,0,1201.0,82.3
constraint-330061_p5.smt2,,to,unknown,1201.0,0,1201.0,82.6
constraint-330061_p6.smt2,,to,unknown,1201.0,0,1201.0,83.9
constraint-330061_p7.smt2,,to,unknown,1201.0,0,1201.0,84.4
constraint-330061_p8.smt2,,to,unknown,1201.0,0,1201.0,111.7
constraint-330061_p9.smt2,,to,unknown,1201.0,0,1200.9,114.8
